angle_deg,range_m,hit,local_x_m,local_y_m
-180.000000,6.000000,0,-6.000000,-0.000000
-179.000000,6.000000,0,-5.999086,-0.104714
-178.000000,6.000000,0,-5.996345,-0.209397
-177.000000,6.000000,0,-5.991777,-0.314016
-176.000000,6.000000,0,-5.985384,-0.418539
-175.000000,6.000000,0,-5.977168,-0.522934
-174.000000,6.000000,0,-5.967131,-0.627171
-173.000000,6.000000,0,-5.955277,-0.731216
-172.000000,6.000000,0,-5.941608,-0.835039
-171.000000,6.000000,0,-5.926130,-0.938607
-170.000000,5.758807,1,-5.671318,-1.000006
-169.000000,5.249805,1,-5.153352,-1.001710
-168.000000,6.000000,0,-5.868886,-1.247470
-167.000000,4.418694,1,-4.305443,-0.993990
-166.000000,4.119925,1,-3.997546,-0.996700
-165.000000,3.833954,1,-3.703315,-0.992300
-164.000000,3.629760,1,-3.489149,-1.000497
-163.000000,3.460510,1,-3.309302,-1.011755
-162.000000,3.221302,1,-3.063640,-0.995437
-161.000000,6.000000,0,-5.673111,-1.953409
-160.000000,2.938500,1,-2.761286,-1.005026
-159.000000,2.801135,1,-2.615085,-1.003837
-158.000000,2.672630,1,-2.478019,-1.001185
-157.000000,2.531391,1,-2.330157,-0.989093
-156.000000,2.457716,1,-2.245235,-0.999643
-155.000000,6.000000,0,-5.437847,-2.535710
-154.000000,2.240846,1,-2.014059,-0.982322
-153.000000,6.000000,0,-5.346039,-2.723943
-152.000000,2.073018,1,-1.830366,-0.973223
-151.000000,2.023979,1,-1.770212,-0.981245
-150.000000,1.944748,1,-1.684201,-0.972374
-149.000000,1.934551,1,-1.658234,-0.996368
-148.000000,1.849057,1,-1.568089,-0.979851
-147.000000,1.844216,1,-1.546690,-1.004432
-146.000000,1.804584,1,-1.496068,-1.009111
-145.000000,1.794144,1,-1.469677,-1.029079
-144.000000,1.724368,1,-1.395043,-1.013558
-143.000000,1.783595,1,-1.424443,-1.073394
-142.000000,6.000000,0,-4.728065,-3.693969
-141.000000,1.803160,1,-1.401318,-1.134765
-140.000000,1.753947,1,-1.343602,-1.127416
-139.000000,1.785433,1,-1.347483,-1.171349
-138.000000,1.770486,1,-1.315728,-1.184687
-137.000000,1.775505,1,-1.298522,-1.210892
-136.000000,1.831660,1,-1.317586,-1.272378
-135.000000,1.775550,1,-1.255503,-1.255503
-134.000000,1.798849,1,-1.249586,-1.293984
-133.000000,1.826313,1,-1.245543,-1.335681
-132.000000,1.782308,1,-1.192597,-1.324513
-131.000000,1.796437,1,-1.178569,-1.355788
-130.000000,1.803123,1,-1.159025,-1.381272
-129.000000,1.801708,1,-1.133852,-1.400190
-128.000000,1.763050,1,-1.085442,-1.389302
-127.000000,6.000000,0,-3.610890,-4.791813
-126.000000,1.840559,1,-1.081853,-1.489044
-125.000000,1.753395,1,-1.005706,-1.436297
-124.000000,1.825569,1,-1.020845,-1.513465
-123.000000,1.803398,1,-0.982201,-1.512456
-122.000000,1.780537,1,-0.943541,-1.509981
-121.000000,1.859838,1,-0.957887,-1.594192
-120.000000,6.000000,0,-3.000000,-5.196152
-119.000000,1.763855,1,-0.855134,-1.542702
-118.000000,1.802006,1,-0.845990,-1.591077
-117.000000,1.817143,1,-0.824966,-1.619086
-116.000000,6.000000,0,-2.630227,-5.392764
-115.000000,1.820339,1,-0.769309,-1.649788
-114.000000,1.797765,1,-0.731217,-1.642340
-113.000000,6.000000,0,-2.344387,-5.523029
-112.000000,1.842912,1,-0.690367,-1.708718
-111.000000,1.779602,1,-0.637752,-1.661401
-110.000000,1.805846,1,-0.617636,-1.696940
-109.000000,1.785983,1,-0.581459,-1.688680
-108.000000,1.803566,1,-0.557333,-1.715294
-107.000000,1.764277,1,-0.515825,-1.687186
-106.000000,1.782366,1,-0.491287,-1.713320
-105.000000,1.794018,1,-0.464326,-1.732888
-104.000000,1.826705,1,-0.441920,-1.772444
-103.000000,1.834272,1,-0.412621,-1.787260
-102.000000,1.760034,1,-0.365932,-1.721573
-101.000000,1.776088,1,-0.338894,-1.743456
-100.000000,6.000000,0,-1.041889,-5.908847
-99.000000,1.740167,1,-0.272222,-1.718743
-98.000000,1.785841,1,-0.248541,-1.768461
-97.000000,1.797034,1,-0.219003,-1.783639
-96.000000,1.837445,1,-0.192065,-1.827379
-95.000000,1.820648,1,-0.158680,-1.813720
-94.000000,1.789917,1,-0.124858,-1.785557
-93.000000,1.788922,1,-0.093625,-1.786470
-92.000000,1.792227,1,-0.062548,-1.791136
-91.000000,1.845699,1,-0.032212,-1.845418
-90.000000,1.786892,1,0.000000,-1.786892
-89.000000,1.790883,1,0.031255,-1.790610
-88.000000,1.810311,1,0.063179,-1.809208
-87.000000,1.796356,1,0.094014,-1.793894
-86.000000,1.793815,1,0.125130,-1.789446
-85.000000,1.766544,1,0.153964,-1.759821
-84.000000,1.799389,1,0.188087,-1.789532
-83.000000,6.000000,0,0.731216,-5.955277
-82.000000,6.000000,0,0.835039,-5.941608
-81.000000,1.819532,1,0.284638,-1.797131
-80.000000,1.799013,1,0.312395,-1.771682
-79.000000,1.819979,1,0.347268,-1.786541
-78.000000,1.789544,1,0.372067,-1.750438
-77.000000,1.831479,1,0.411993,-1.784539
-76.000000,1.799580,1,0.435358,-1.746125
-75.000000,1.817405,1,0.470379,-1.755479
-74.000000,1.761018,1,0.485402,-1.692799
-73.000000,1.810293,1,0.529279,-1.731192
-72.000000,6.000000,0,1.854102,-5.706339
-71.000000,6.000000,0,1.953409,-5.673111
-70.000000,1.790618,1,0.612427,-1.682630
-69.000000,1.772874,1,0.635341,-1.655120
-68.000000,1.804678,1,0.676044,-1.673268
-67.000000,1.867204,1,0.729575,-1.718771
-66.000000,1.774809,1,0.721880,-1.621368
-65.000000,1.781134,1,0.752740,-1.614255
-64.000000,1.805927,1,0.791666,-1.623157
-63.000000,1.814633,1,0.823826,-1.616850
-62.000000,1.794478,1,0.842456,-1.584430
-61.000000,1.793656,1,0.869582,-1.568767
-60.000000,6.000000,0,3.000000,-5.196152
-59.000000,1.815422,1,0.935012,-1.556121
-58.000000,1.768771,1,0.937306,-1.500003
-57.000000,1.797441,1,0.978957,-1.507461
-56.000000,1.800846,1,1.007020,-1.492969
-55.000000,1.768175,1,1.014183,-1.448404
-54.000000,1.807590,1,1.062474,-1.462371
-53.000000,1.774063,1,1.067658,-1.416830
-52.000000,6.000000,0,3.693969,-4.728065
-51.000000,1.805577,1,1.136286,-1.403197
-50.000000,1.802488,1,1.158617,-1.380786
-49.000000,1.782057,1,1.169135,-1.344936
-48.000000,1.796258,1,1.201931,-1.334880
-47.000000,1.739849,1,1.186574,-1.272445
-46.000000,1.765882,1,1.226685,-1.270270
-45.000000,1.810661,1,1.280331,-1.280331
-44.000000,6.000000,0,4.316039,-4.167950
-43.000000,1.825169,1,1.334844,-1.244762
-42.000000,1.747459,1,1.298615,-1.169278
-41.000000,1.822467,1,1.375434,-1.195646
-40.000000,1.774486,1,1.359335,-1.140618
-39.000000,1.823130,1,1.416838,-1.147333
-38.000000,1.803790,1,1.421406,-1.110524
-37.000000,6.000000,0,4.791813,-3.610890
-36.000000,1.837345,1,1.486444,-1.079965
-35.000000,1.843003,1,1.509700,-1.057103
-34.000000,1.797907,1,1.490533,-1.005377
-33.000000,1.827861,1,1.532973,-0.995524
-32.000000,1.882284,1,1.596267,-0.997459
-31.000000,6.000000,0,5.143004,-3.090228
-30.000000,2.032958,1,1.760593,-1.016479
-29.000000,2.046379,1,1.789803,-0.992104
-28.000000,2.128519,1,1.879371,-0.999279
-27.000000,2.178890,1,1.941406,-0.989196
-26.000000,2.262390,1,2.033423,-0.991766
-25.000000,2.327870,1,2.109767,-0.983800
-24.000000,2.496305,1,2.280488,-1.015339
-23.000000,2.554682,1,2.351597,-0.998194
-22.000000,6.000000,0,5.563103,-2.247640
-21.000000,2.790828,1,2.605462,-1.000143
-20.000000,2.902972,1,2.727902,-0.992875
-19.000000,3.061753,1,2.894944,-0.996809
-18.000000,3.219261,1,3.061699,-0.994806
-17.000000,3.420542,1,3.271081,-1.000070
-16.000000,3.616697,1,3.476593,-0.996897
-15.000000,3.854706,1,3.723360,-0.997671
-14.000000,4.092208,1,3.970652,-0.989995
-13.000000,4.421206,1,4.307891,-0.994555
-12.000000,6.000000,0,5.868886,-1.247470
-11.000000,5.220706,1,5.124787,-0.996158
-10.000000,5.727148,1,5.640139,-0.994509
-9.000000,6.000000,0,5.926130,-0.938607
-8.000000,6.000000,0,5.941608,-0.835039
-7.000000,6.000000,0,5.955277,-0.731216
-6.000000,6.000000,0,5.967131,-0.627171
-5.000000,6.000000,0,5.977168,-0.522934
-4.000000,6.000000,0,5.985384,-0.418539
-3.000000,6.000000,0,5.991777,-0.314016
-2.000000,6.000000,0,5.996345,-0.209397
-1.000000,6.000000,0,5.999086,-0.104714
0.000000,6.000000,0,6.000000,0.000000
1.000000,6.000000,0,5.999086,0.104714
2.000000,6.000000,0,5.996345,0.209397
3.000000,6.000000,0,5.991777,0.314016
4.000000,6.000000,0,5.985384,0.418539
5.000000,6.000000,0,5.977168,0.522934
6.000000,6.000000,0,5.967131,0.627171
7.000000,6.000000,0,5.955277,0.731216
8.000000,6.000000,0,5.941608,0.835039
9.000000,6.000000,0,5.926130,0.938607
10.000000,5.768890,1,5.681248,1.001757
11.000000,5.283061,1,5.185997,1.008056
12.000000,4.766114,1,4.661963,0.990931
13.000000,4.439156,1,4.325381,0.998593
14.000000,4.114604,1,3.992383,0.995413
15.000000,3.810873,1,3.681020,0.986326
16.000000,3.650003,1,3.508608,1.006077
17.000000,3.419600,1,3.270180,0.999794
18.000000,3.238211,1,3.079722,1.000662
19.000000,3.048984,1,2.882871,0.992652
20.000000,2.937448,1,2.760298,1.004666
21.000000,2.774249,1,2.589985,0.994202
