case,candidate_id,grid_stage,forward_offset,lateral_offset,forward_ratio_W,lateral_ratio_W,distance_ratio_W,candidate_valid,candidate_inside_free_space_eval,robot_footprint_walkable_eval,robot_radius,wall_clearance_eval,straight_line_path_clear_eval,valid_lidar_hits,max_range_count,plus90_axis_los_eval,minus90_axis_los_eval,forward_axis_los_eval,incoming_axis_los_eval,plus90_mouth_visible_fraction_eval,minus90_mouth_visible_fraction_eval,forward_mouth_visible_fraction_eval,plus90_detected_eval,minus90_detected_eval,forward_detected_eval,incoming_detected_eval,opening_count,outgoing_match_count_eval,outgoing_total_eval,false_opening_count_eval,lateral_false_opening_count_eval,axial_false_opening_count_eval,opening_center_error_eval,opening_IoU_eval,wall_support_count,tangent_support_count
M1_CROSS_BASELINE,F-0.100_L-0.700,COARSE_0.10W,-8.4,-58.8,-0.1,-0.7,0.7071067811865475,False,False,False,1.1199999999999999,15.037945796943532,False,212,148,True,False,False,True,0.0,0.0,0.0,False,False,True,False,1,1,3,0,0,0,89.5,0.02433240522891559,45,1
M1_CROSS_BASELINE,F-0.100_L-0.600,COARSE_0.10W,-8.4,-50.4,-0.1,-0.6,0.6082762530298219,False,False,False,1.1199999999999999,6.637945796943534,False,215,145,True,False,False,True,0.0,0.0,0.0,False,False,True,False,1,1,3,0,0,0,89.5,0.017292479205482315,41,1
M1_CROSS_BASELINE,F-0.100_L-0.500,COARSE_0.10W,-8.4,-42.0,-0.1,-0.5,0.5099019513592785,True,True,True,1.1199999999999999,1.762054203056465,True,291,69,False,False,True,True,0.38095238095238093,0.09523809523809523,0.0,False,False,True,True,2,1,3,0,0,0,38.5,0.2773007802361175,95,2
M1_CROSS_BASELINE,F-0.100_L-0.400,COARSE_0.10W,-8.4,-33.6,-0.1,-0.4,0.41231056256176607,True,True,True,1.1199999999999999,10.162054203056467,True,291,69,False,False,True,True,0.38095238095238093,0.14285714285714285,0.0,False,False,True,True,2,1,3,0,0,0,25.0,0.36586287368387527,57,2
M1_CROSS_BASELINE,F-0.100_L-0.300,COARSE_0.10W,-8.4,-25.2,-0.1,-0.3,0.31622776601683794,True,True,True,1.1199999999999999,18.56205420305647,True,290,70,False,False,True,True,0.3333333333333333,0.19047619047619047,0.0,False,False,True,True,2,1,3,0,0,0,16.5,0.431354234714784,37,2
M1_CROSS_BASELINE,F-0.100_L-0.200,COARSE_0.10W,-8.4,-16.8,-0.1,-0.2,0.223606797749979,True,True,True,1.1199999999999999,26.962054203056468,True,289,71,False,False,True,True,0.3333333333333333,0.23809523809523808,0.0,False,False,True,True,2,1,3,0,0,0,7.0,0.5457139771650269,13,2
M1_CROSS_BASELINE,F-0.100_L-0.100,COARSE_0.10W,-8.4,-8.4,-0.1,-0.1,0.1414213562373095,True,True,True,1.1199999999999999,35.362054203056466,True,289,71,False,False,True,True,0.3333333333333333,0.2857142857142857,0.0,False,False,True,True,2,1,3,0,0,0,3.0,0.5479997261638172,10,2
M1_CROSS_BASELINE,F-0.100_L+0.000,COARSE_0.10W,-8.4,0.0,-0.1,0.0,0.1,True,True,True,1.1199999999999999,40.237945796943535,True,289,71,False,False,True,True,0.2857142857142857,0.2857142857142857,0.0,False,False,True,True,2,1,3,0,0,0,1.0,0.5485163845590417,10,2
M1_CROSS_BASELINE,F-0.100_L+0.100,COARSE_0.10W,-8.4,8.4,-0.1,0.1,0.1414213562373095,True,True,True,1.1199999999999999,31.837945796943533,True,289,71,False,False,True,True,0.2857142857142857,0.3333333333333333,0.0,False,False,True,True,2,1,3,0,0,0,4.5,0.5602843736502932,10,2
M1_CROSS_BASELINE,F-0.100_L+0.200,COARSE_0.10W,-8.4,16.8,-0.1,0.2,0.223606797749979,True,True,True,1.1199999999999999,23.43794579694353,True,290,70,False,False,True,True,0.23809523809523808,0.3333333333333333,0.0,False,False,True,True,2,1,3,0,0,0,9.5,0.5087433964634578,20,2
