case,candidate_id,candidate_valid,forward_ratio_W,lateral_ratio_W,opening_id,start_angle_deg,end_angle_deg,center_angle_deg,angular_width_deg,confidence,matched_GT_branch_eval_only,center_error_deg_eval_only,GT_mouth_IoU_eval_only,wall_support,tangent_support
M1_CROSS_BASELINE,F-0.100_L-0.700,False,-0.1,-0.7,0,171.5,9.5,-89.5,198.0,0.9652527626621723,0,89.5,0.02433240522891559,45,True
M1_CROSS_BASELINE,F-0.100_L-0.600,False,-0.1,-0.6,0,175.5,5.5,-89.5,190.0,0.9715902626884911,0,89.5,0.017292479205482315,41,True
M1_CROSS_BASELINE,F-0.100_L-0.500,True,-0.1,-0.5,0,-2.5,79.5,38.5,82.0,0.7893523761044924,0,38.5,0.2773007802361175,47,True
M1_CROSS_BASELINE,F-0.100_L-0.500,True,-0.1,-0.5,1,100.5,-177.5,141.5,82.0,0.7891804474994006,INCOMING,38.5,,48,True
M1_CROSS_BASELINE,F-0.100_L-0.400,True,-0.1,-0.4,0,-6.5,56.5,25.0,63.0,0.811756007442703,0,25.0,0.36586287368387527,27,True
M1_CROSS_BASELINE,F-0.100_L-0.400,True,-0.1,-0.4,1,123.5,-173.5,155.0,63.0,0.8106678787761771,INCOMING,25.0,,30,True
M1_CROSS_BASELINE,F-0.100_L-0.300,True,-0.1,-0.3,0,-10.5,43.5,16.5,54.0,0.905682213418262,0,16.5,0.431354234714784,17,True
M1_CROSS_BASELINE,F-0.100_L-0.300,True,-0.1,-0.3,1,136.5,-170.5,163.0,53.0,0.902202722290231,INCOMING,17.0,,20,True
M1_CROSS_BASELINE,F-0.100_L-0.200,True,-0.1,-0.2,0,-14.5,28.5,7.0,43.0,0.944994968698246,0,7.0,0.5457139771650269,5,True
M1_CROSS_BASELINE,F-0.100_L-0.200,True,-0.1,-0.2,1,151.5,-167.5,172.0,41.0,0.9377540615383995,INCOMING,8.0,,8,True
M1_CROSS_BASELINE,F-0.100_L-0.100,True,-0.1,-0.1,0,-18.5,24.5,3.0,43.0,0.9577329927265059,0,3.0,0.5479997261638172,4,True
M1_CROSS_BASELINE,F-0.100_L-0.100,True,-0.1,-0.1,1,158.5,-163.5,177.5,38.0,0.9457167151285826,INCOMING,2.5,,6,True
M1_CROSS_BASELINE,F-0.100_L+0.000,True,-0.1,0.0,0,161.5,-160.5,-179.5,38.0,0.9363853748788096,INCOMING,0.5,,6,True
M1_CROSS_BASELINE,F-0.100_L+0.000,True,-0.1,0.0,1,-22.5,20.5,-1.0,43.0,0.9476906175418314,0,1.0,0.5485163845590417,4,True
M1_CROSS_BASELINE,F-0.100_L+0.100,True,-0.1,0.1,0,165.5,-155.5,-175.0,39.0,0.9376685974956276,INCOMING,5.0,,6,True
M1_CROSS_BASELINE,F-0.100_L+0.100,True,-0.1,0.1,1,-25.5,16.5,-4.5,42.0,0.9456417097505472,0,4.5,0.5602843736502932,4,True
M1_CROSS_BASELINE,F-0.100_L+0.200,True,-0.1,0.2,0,168.5,-147.5,-169.5,44.0,0.9277268241916317,INCOMING,10.5,,12,True
M1_CROSS_BASELINE,F-0.100_L+0.200,True,-0.1,0.2,1,-32.5,13.5,-9.5,46.0,0.9347378273145783,0,9.5,0.5087433964634578,8,True
M1_CROSS_BASELINE,F-0.100_L+0.300,True,-0.1,0.3,0,171.5,-131.5,-160.0,57.0,0.8611102732679232,INCOMING,20.0,,24,True
M1_CROSS_BASELINE,F-0.100_L+0.300,True,-0.1,0.3,1,-48.5,9.5,-19.5,58.0,0.8663310439178775,0,19.5,0.3999880590485027,20,True
M1_CROSS_BASELINE,F-0.100_L+0.400,True,-0.1,0.4,0,175.5,-116.5,-150.5,68.0,0.792400658504481,INCOMING,29.5,,34,True
M1_CROSS_BASELINE,F-0.100_L+0.400,True,-0.1,0.4,1,-63.5,5.5,-29.0,69.0,0.7910462237399254,0,29.0,0.33227360624464036,33,True
M1_CROSS_BASELINE,F-0.100_L+0.500,False,-0.1,0.5,0,-2.5,-177.5,90.0,185.0,0.9742452074574015,0,90.0,0.009718808517770983,38,True
M1_CROSS_BASELINE,F-0.100_L+0.600,False,-0.1,0.6,0,-7.5,-173.5,89.5,194.0,0.969447392939669,0,89.5,0.021777846180844843,42,True
M1_CROSS_BASELINE,F-0.100_L+0.700,False,-0.1,0.7,0,-11.5,-170.5,89.0,201.0,0.9625268586471969,0,89.0,0.028763052408875386,46,True
M1_CROSS_BASELINE,F+0.000_L-0.700,False,0.0,-0.7,0,171.5,10.5,-89.0,199.0,0.953500678002658,0,89.0,0.027997480469851014,50,True
M1_CROSS_BASELINE,F+0.000_L-0.600,False,0.0,-0.6,0,175.5,5.5,-89.5,190.0,0.9611964320455022,0,89.5,0.016823397262326144,46,True
M1_CROSS_BASELINE,F+0.000_L-0.500,True,0.0,-0.5,0,-2.5,79.5,38.5,82.0,0.7991137325133536,0,38.5,0.28816707968448335,45,True
M1_CROSS_BASELINE,F+0.000_L-0.500,True,0.0,-0.5,1,100.5,-177.5,141.5,82.0,0.7979627524796199,INCOMING,38.5,,48,True
M1_CROSS_BASELINE,F+0.000_L-0.400,True,0.0,-0.4,0,-7.5,56.5,24.5,64.0,0.8223462903073648,0,24.5,0.3746672255667747,25,True
M1_CROSS_BASELINE,F+0.000_L-0.400,True,0.0,-0.4,1,123.5,-173.5,155.0,63.0,0.8201790891328061,INCOMING,25.0,,30,True
M1_CROSS_BASELINE,F+0.000_L-0.300,True,0.0,-0.3,0,-11.5,43.5,16.0,55.0,0.9215665956654773,0,16.0,0.44096354294782303,15,True
M1_CROSS_BASELINE,F+0.000_L-0.300,True,0.0,-0.3,1,136.5,-170.5,163.0,53.0,0.9113502832881173,INCOMING,17.0,,20,True
M1_CROSS_BASELINE,F+0.000_L-0.200,True,0.0,-0.2,0,-15.5,29.5,7.0,45.0,0.9543077309563983,0,7.0,0.5432761436627099,4,True
M1_CROSS_BASELINE,F+0.000_L-0.200,True,0.0,-0.2,1,151.5,-167.5,172.0,41.0,0.9377540615383995,INCOMING,8.0,,8,True
M1_CROSS_BASELINE,F+0.000_L-0.100,True,0.0,-0.1,0,-19.5,25.5,3.0,45.0,0.9657545611880984,0,3.0,0.5457390144181002,4,True
M1_CROSS_BASELINE,F+0.000_L-0.100,True,0.0,-0.1,1,158.5,-163.5,177.5,38.0,0.9457167151285826,INCOMING,2.5,,6,True
M1_CROSS_BASELINE,F+0.000_L+0.000,True,0.0,0.0,0,161.5,-160.5,-179.5,38.0,0.9363853748788096,INCOMING,0.5,,6,True
M1_CROSS_BASELINE,F+0.000_L+0.000,True,0.0,0.0,1,-23.5,21.5,-1.0,45.0,0.955129169385331,0,1.0,0.5462959141663949,4,True
M1_CROSS_BASELINE,F+0.000_L+0.100,True,0.0,0.1,0,165.5,-155.5,-175.0,39.0,0.9376685974956276,INCOMING,5.0,,6,True
M1_CROSS_BASELINE,F+0.000_L+0.100,True,0.0,0.1,1,-27.5,18.5,-4.5,46.0,0.9605913346234016,0,4.5,0.5330894504385106,4,True
M1_CROSS_BASELINE,F+0.000_L+0.200,True,0.0,0.2,0,168.5,-147.5,-169.5,44.0,0.9277268241916317,INCOMING,10.5,,12,True
M1_CROSS_BASELINE,F+0.000_L+0.200,True,0.0,0.2,1,-32.5,13.5,-9.5,46.0,0.9389887361051883,0,9.5,0.5299098629745067,6,True
M1_CROSS_BASELINE,F+0.000_L+0.300,True,0.0,0.3,0,171.5,-131.5,-160.0,57.0,0.8619874479789846,INCOMING,20.0,,24,True
M1_CROSS_BASELINE,F+0.000_L+0.300,True,0.0,0.3,1,-48.5,9.5,-19.5,58.0,0.8687181323132708,0,19.5,0.41633407392383404,19,True
M1_CROSS_BASELINE,F+0.000_L+0.400,True,0.0,0.4,0,175.5,-116.5,-150.5,68.0,0.8013589126237798,INCOMING,29.5,,34,True
M1_CROSS_BASELINE,F+0.000_L+0.400,True,0.0,0.4,1,-63.5,5.5,-29.0,69.0,0.8014194812734705,0,29.0,0.34552230742223566,31,True
M1_CROSS_BASELINE,F+0.000_L+0.500,False,0.0,0.5,0,-2.5,-177.5,90.0,185.0,0.9662632466013628,0,90.0,0.009570771818267083,43,True
M1_CROSS_BASELINE,F+0.000_L+0.600,False,0.0,0.6,0,-7.5,-173.5,89.5,194.0,0.9585083268936119,0,89.5,0.0210884273290902,48,True
M1_CROSS_BASELINE,F+0.000_L+0.700,False,0.0,0.7,0,-11.5,-170.5,89.0,201.0,0.9501235108978909,0,89.0,0.02758066462619333,52,True
M1_CROSS_BASELINE,F+0.100_L-0.700,False,0.1,-0.7,0,171.5,10.5,-89.0,199.0,0.9401713965369218,0,89.0,0.02692791185492537,55,True
M1_CROSS_BASELINE,F+0.100_L-0.600,False,0.1,-0.6,0,175.5,5.5,-89.5,190.0,0.9493813777745297,0,89.5,0.016317558397234137,50,True
M1_CROSS_BASELINE,F+0.100_L-0.500,True,0.1,-0.5,0,-2.5,79.5,38.5,82.0,0.8158273457529668,0,38.5,0.2998690459872326,43,True
M1_CROSS_BASELINE,F+0.100_L-0.500,True,0.1,-0.5,1,100.5,-177.5,141.5,82.0,0.8129320113224153,INCOMING,38.5,,48,True
M1_CROSS_BASELINE,F+0.100_L-0.400,True,0.1,-0.4,0,-7.5,56.5,24.5,64.0,0.8332469168576828,0,24.5,0.3903586334476512,23,True
M1_CROSS_BASELINE,F+0.100_L-0.400,True,0.1,-0.4,1,123.5,-173.5,155.0,63.0,0.8279162941522672,INCOMING,25.0,,30,True
M1_CROSS_BASELINE,F+0.100_L-0.300,True,0.1,-0.3,0,-12.5,37.5,12.5,50.0,0.9398749060963212,0,12.5,0.5058591677705175,7,True
M1_CROSS_BASELINE,F+0.100_L-0.300,True,0.1,-0.3,1,142.5,-170.5,166.0,47.0,0.9251601290495561,INCOMING,14.0,,14,True
M1_CROSS_BASELINE,F+0.100_L-0.200,True,0.1,-0.2,0,-16.5,31.5,7.5,48.0,0.9610932578385434,0,7.5,0.531521224839493,4,True
M1_CROSS_BASELINE,F+0.100_L-0.200,True,0.1,-0.2,1,151.5,-167.5,172.0,41.0,0.9377540615383995,INCOMING,8.0,,8,True
M1_CROSS_BASELINE,F+0.100_L-0.100,True,0.1,-0.1,0,-21.5,27.5,3.0,49.0,0.9735394266231618,0,3.0,0.523236178226047,4,True
M1_CROSS_BASELINE,F+0.100_L-0.100,True,0.1,-0.1,1,158.5,-163.5,177.5,38.0,0.9457167151285826,INCOMING,2.5,,6,True
M1_CROSS_BASELINE,F+0.100_L+0.000,True,0.1,0.0,0,161.5,-160.5,-179.5,38.0,0.9363853748788096,INCOMING,0.5,,6,True
M1_CROSS_BASELINE,F+0.100_L+0.000,True,0.1,0.0,1,-25.5,23.5,-1.0,49.0,0.9744816918967101,0,1.0,0.5238158040810506,4,True
M1_CROSS_BASELINE,F+0.100_L+0.100,True,0.1,0.1,0,165.5,-155.5,-175.0,39.0,0.9376685974956276,INCOMING,5.0,,6,True
M1_CROSS_BASELINE,F+0.100_L+0.100,True,0.1,0.1,1,-29.5,19.5,-5.0,49.0,0.9687904219648562,0,5.0,0.522400426337977,4,True
M1_CROSS_BASELINE,F+0.100_L+0.200,True,0.1,0.2,0,168.5,-147.5,-169.5,44.0,0.9277268241916317,INCOMING,10.5,,12,True
M1_CROSS_BASELINE,F+0.100_L+0.200,True,0.1,0.2,1,-32.5,14.5,-9.0,47.0,0.9493023917316572,0,9.0,0.5411059908217672,4,True
M1_CROSS_BASELINE,F+0.100_L+0.300,True,0.1,0.3,0,171.5,-131.5,-160.0,57.0,0.875802603894841,INCOMING,20.0,,24,True
M1_CROSS_BASELINE,F+0.100_L+0.300,True,0.1,0.3,1,-48.5,10.5,-19.0,59.0,0.8859885149954436,0,19.0,0.42666994376586503,17,True
M1_CROSS_BASELINE,F+0.100_L+0.400,True,0.1,0.4,0,175.5,-116.5,-150.5,68.0,0.8128656981273433,INCOMING,29.5,,34,True
M1_CROSS_BASELINE,F+0.100_L+0.400,True,0.1,0.4,1,-63.5,5.5,-29.0,69.0,0.8168917179397635,0,29.0,0.3598197254636136,28,True
M1_CROSS_BASELINE,F+0.100_L+0.500,False,0.1,0.5,0,-3.5,-177.5,89.5,186.0,0.9553129661531519,0,89.5,0.014231807893645946,47,True
M1_CROSS_BASELINE,F+0.100_L+0.600,False,0.1,0.6,0,-7.5,-173.5,89.5,194.0,0.9460619521931379,0,89.5,0.02034499298150073,52,True
M1_CROSS_BASELINE,F+0.100_L+0.700,False,0.1,0.7,0,-12.5,-170.5,88.5,202.0,0.9360951922919831,0,88.5,0.030881097032635765,57,True
M1_CROSS_BASELINE,F+0.200_L-0.700,False,0.2,-0.7,0,171.5,11.5,-88.5,200.0,0.926519873224845,0,88.5,0.03036123925404368,61,True
M1_CROSS_BASELINE,F+0.200_L-0.600,False,0.2,-0.6,0,175.5,6.5,-89.0,191.0,0.9375094110542417,0,89.0,0.020492821611788992,56,True
M1_CROSS_BASELINE,F+0.200_L-0.500,True,0.2,-0.5,0,-3.5,79.5,38.0,83.0,0.853196468391374,0,38.0,0.3087351173920772,40,True
M1_CROSS_BASELINE,F+0.200_L-0.500,True,0.2,-0.5,1,100.5,-177.5,141.5,82.0,0.8447087595716674,INCOMING,38.5,,48,True
M1_CROSS_BASELINE,F+0.200_L-0.400,True,0.2,-0.4,0,-8.5,56.5,24.0,65.0,0.8594544990378397,0,24.0,0.4010942218920403,20,True
M1_CROSS_BASELINE,F+0.200_L-0.400,True,0.2,-0.4,1,123.5,-173.5,155.0,63.0,0.8441247799524999,INCOMING,25.0,,30,True
M1_CROSS_BASELINE,F+0.200_L-0.300,True,0.2,-0.3,0,-13.5,37.5,12.0,51.0,0.9504834928874697,0,12.0,0.5181010314370325,5,True
M1_CROSS_BASELINE,F+0.200_L-0.300,True,0.2,-0.3,1,142.5,-170.5,166.0,47.0,0.9251601290495561,INCOMING,14.0,,14,True
M1_CROSS_BASELINE,F+0.200_L-0.200,True,0.2,-0.2,0,-18.5,33.5,7.5,52.0,0.9745533405773263,0,7.5,0.5129507550576056,4,True
M1_CROSS_BASELINE,F+0.200_L-0.200,True,0.2,-0.2,1,151.5,-167.5,172.0,41.0,0.9377540615383995,INCOMING,8.0,,8,True
M1_CROSS_BASELINE,F+0.200_L-0.100,True,0.2,-0.1,0,-22.5,29.5,3.5,52.0,0.9777756962822948,0,3.5,0.515699718230066,4,True
M1_CROSS_BASELINE,F+0.200_L-0.100,True,0.2,-0.1,1,158.5,-163.5,177.5,38.0,0.9457167151285826,INCOMING,2.5,,6,True
M1_CROSS_BASELINE,F+0.200_L+0.000,True,0.2,0.0,0,161.5,-160.5,-179.5,38.0,0.9363853748788096,INCOMING,0.5,,6,True
M1_CROSS_BASELINE,F+0.200_L+0.000,True,0.2,0.0,1,-26.5,25.5,-0.5,52.0,0.9729717680553416,0,0.5,0.5163218472386077,4,True
M1_CROSS_BASELINE,F+0.200_L+0.100,True,0.2,0.1,0,165.5,-155.5,-175.0,39.0,0.9376685974956276,INCOMING,5.0,,6,True
M1_CROSS_BASELINE,F+0.200_L+0.100,True,0.2,0.1,1,-31.5,20.5,-5.5,52.0,0.9729796406011608,0,5.5,0.5148028659476017,4,True
M1_CROSS_BASELINE,F+0.200_L+0.200,True,0.2,0.2,0,168.5,-147.5,-169.5,44.0,0.9277268241916317,INCOMING,10.5,,12,True
M1_CROSS_BASELINE,F+0.200_L+0.200,True,0.2,0.2,1,-34.5,16.5,-9.0,51.0,0.961092814831292,0,9.0,0.5212006483117695,4,True
M1_CROSS_BASELINE,F+0.200_L+0.300,True,0.2,0.3,0,171.5,-131.5,-160.0,57.0,0.8892908568516253,INCOMING,20.0,,24,True
M1_CROSS_BASELINE,F+0.200_L+0.300,True,0.2,0.3,1,-48.5,11.5,-18.5,60.0,0.9116639453505396,0,18.5,0.43812423356671576,14,True
M1_CROSS_BASELINE,F+0.200_L+0.400,True,0.2,0.4,0,175.5,-116.5,-150.5,68.0,0.8254472886089449,INCOMING,29.5,,34,True
M1_CROSS_BASELINE,F+0.200_L+0.400,True,0.2,0.4,1,-63.5,6.5,-28.5,70.0,0.8363484758632428,0,28.5,0.3699273710011653,26,True
M1_CROSS_BASELINE,F+0.200_L+0.500,False,0.2,0.5,0,-3.5,-177.5,89.5,186.0,0.9428650984704221,0,89.5,0.014035611760883963,53,True
M1_CROSS_BASELINE,F+0.200_L+0.600,False,0.2,0.6,0,-8.5,-173.5,89.0,195.0,0.9334269177854915,0,89.0,0.024199442082809483,58,True
M1_CROSS_BASELINE,F+0.200_L+0.700,False,0.2,0.7,0,-13.5,-4.5,-9.0,9.0,0.470131162068026,,nan,,7,True
M1_CROSS_BASELINE,F+0.200_L+0.700,False,0.2,0.7,1,4.5,-170.5,97.0,185.0,0.7440742491011634,1,7.0,0.0,47,True
M1_CROSS_BASELINE,F+0.300_L-0.700,False,0.3,-0.7,0,171.5,-27.5,-108.0,161.0,0.9549902493430598,2,18.0,0.0,28,True
M1_CROSS_BASELINE,F+0.300_L-0.600,False,0.3,-0.6,0,175.5,-9.5,-97.0,175.0,0.9273439857987057,2,7.0,0.0,46,True
M1_CROSS_BASELINE,F+0.300_L-0.500,True,0.3,-0.5,0,-3.5,79.5,38.0,83.0,0.873357988262805,0,38.0,0.322237494784732,38,True
M1_CROSS_BASELINE,F+0.300_L-0.500,True,0.3,-0.5,1,100.5,-177.5,141.5,82.0,0.8615593008922171,INCOMING,38.5,,48,True
M1_CROSS_BASELINE,F+0.300_L-0.400,True,0.3,-0.4,0,-8.5,56.5,24.0,65.0,0.8722592607183832,0,24.0,0.4192870857146322,18,True
M1_CROSS_BASELINE,F+0.300_L-0.400,True,0.3,-0.4,1,123.5,-173.5,155.0,63.0,0.8514615073298131,INCOMING,25.0,,30,True
M1_CROSS_BASELINE,F+0.300_L-0.300,True,0.3,-0.3,0,-14.5,39.5,12.5,54.0,0.9621190616605342,0,12.5,0.5121376741445998,4,True
M1_CROSS_BASELINE,F+0.300_L-0.300,True,0.3,-0.3,1,142.5,-170.5,166.0,47.0,0.9251601290495561,INCOMING,14.0,,14,True
M1_CROSS_BASELINE,F+0.300_L-0.200,True,0.3,-0.2,0,-19.5,35.5,8.0,55.0,0.9791683724406126,0,8.0,0.5080289865783837,4,True
M1_CROSS_BASELINE,F+0.300_L-0.200,True,0.3,-0.2,1,151.5,-167.5,172.0,41.0,0.9377540615383995,INCOMING,8.0,,8,True
M1_CROSS_BASELINE,F+0.300_L-0.100,True,0.3,-0.1,0,-24.5,31.5,3.5,56.0,0.9767455115533383,0,3.5,0.5018788523646062,4,True
M1_CROSS_BASELINE,F+0.300_L-0.100,True,0.3,-0.1,1,158.5,-163.5,177.5,38.0,0.9457167151285826,INCOMING,2.5,,6,True
M1_CROSS_BASELINE,F+0.300_L+0.000,True,0.3,0.0,0,161.5,-160.5,-179.5,38.0,0.9363853748788096,INCOMING,0.5,,6,True
M1_CROSS_BASELINE,F+0.300_L+0.000,True,0.3,0.0,1,-29.5,27.5,-1.0,57.0,0.982570471695936,0,1.0,0.4937239366383752,4,True
M1_CROSS_BASELINE,F+0.300_L+0.100,True,0.3,0.1,0,165.5,-155.5,-175.0,39.0,0.9376685974956276,INCOMING,5.0,,6,True
M1_CROSS_BASELINE,F+0.300_L+0.100,True,0.3,0.1,1,-33.5,22.5,-5.5,56.0,0.9775990341194378,0,5.5,0.5009253416658395,4,True
M1_CROSS_BASELINE,F+0.300_L+0.200,True,0.3,0.2,0,168.5,-147.5,-169.5,44.0,0.9277268241916317,INCOMING,10.5,,12,True
M1_CROSS_BASELINE,F+0.300_L+0.200,True,0.3,0.2,1,-37.5,17.5,-10.0,55.0,0.9747415583668007,0,10.0,0.5061113395191357,4,True
M1_CROSS_BASELINE,F+0.300_L+0.300,True,0.3,0.3,0,171.5,-131.5,-160.0,57.0,0.9014458100053608,INCOMING,20.0,,24,True
M1_CROSS_BASELINE,F+0.300_L+0.300,True,0.3,0.3,1,-48.5,11.5,-18.5,60.0,0.9305843893986465,0,18.5,0.45834102412283123,12,True
M1_CROSS_BASELINE,F+0.300_L+0.400,True,0.3,0.4,0,175.5,-116.5,-150.5,68.0,0.8427468142254086,INCOMING,29.5,,34,True
