frame,time,profile_junction_detected,detection_latched,phase,forward_propulsion_enabled,leader_braking,leader_speed,stationary,stationary_dwell,stationary_dwell_target,anchor_active,pointcloud_ready,first_detection_time,detection_latch_time,hold_entry_time,braking_start_time,stationary_confirmation_time,anchor_entry_time,distance_since_detection_eval,distance_during_braking_eval,distance_since_anchor_eval,anchor_heading_drift_eval,leader_gap,connected_component_size,follower_mean_speed,follower_moving_fraction,mean_lateral_sph_force,lateral_span,min_robot_distance,overlap_pairs,max_speed,nan_inf_state_count,outside_free_space_robot_count,GT_phase_eval_only
0,0.016666666666666666,False,False,LOCAL_FORWARD,True,False,1.799992790879454,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,2.6746962444360176,680,0.7831622973702062,0.28424153166421207,147.31150374750158,75.64908377430557,2.659602386267772,0,1.8,0,0,CORRIDOR
6,0.11666666666666665,False,False,LOCAL_FORWARD,True,False,35.799365270424715,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,2.7544739709507624,680,13.676764597217119,1.0,157.3063847851602,77.99947357068339,2.6602904825954905,0,35.799365270424715,0,0,CORRIDOR
12,0.21666666666666665,False,False,LOCAL_FORWARD,True,False,74.70761113595074,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,2.897871550809062,680,26.52958955156861,0.9985272459499264,157.76694416147203,81.74306965655248,2.617382846708036,0,75.86092663950693,0,0,CORRIDOR
18,0.31666666666666665,False,False,LOCAL_FORWARD,True,False,90.70103164960238,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,3.030805536098666,680,32.003652852520396,0.9985272459499264,109.42183170829294,81.74857406793244,2.3177807237306154,0,90.70103164960238,0,0,CORRIDOR
24,0.41666666666666663,False,False,LOCAL_FORWARD,True,False,91.83054442580814,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,3.2951930165349452,680,32.5318141269124,0.9896907216494846,70.00603654918032,81.74857406793244,2.265644788157895,0,91.83054442580814,0,0,CORRIDOR
30,0.5166666666666666,False,False,LOCAL_FORWARD,True,False,86.6023285696093,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,3.700260890984119,680,32.17899201159829,0.9852724594992637,56.94004712436417,81.74857406793244,2.1745396612541086,11,86.6023285696093,0,0,CORRIDOR
36,0.6166666666666669,True,True,JUNCTION_HOLD,False,False,85.79494863914204,False,0,6,False,False,0.6166666666666669,0.6166666666666669,0.6166666666666669,nan,nan,nan,0.0,0.0,0.0,0.0,4.416683397702625,680,31.902853651425964,0.9970544918998527,49.471642867026674,81.74857406793244,2.198733320253317,5,85.79494863914204,0,0,CORRIDOR
42,0.7166666666666672,True,True,LIDAR_BRAKING,False,True,70.19072902978665,False,0,6,False,False,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,nan,nan,7.822373063063103,6.4098866841063105,0.0,0.0,5.538022144139949,680,26.65355458034334,0.9823269513991163,48.235992129463256,81.74857406793244,2.2765243459293316,0,70.19072902978665,0,0,CORRIDOR
48,0.8166666666666675,True,True,LIDAR_BRAKING,False,True,46.63207801785093,False,0,6,False,False,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,nan,nan,13.463603872534256,12.051120175987938,0.0,0.0,6.260648694497892,680,18.693355225233432,0.9602356406480118,44.55707679208383,81.74857406793244,2.395665854064284,0,51.872612030006394,0,0,CORRIDOR
54,0.9166666666666679,True,True,LIDAR_BRAKING,False,True,26.970377232074462,False,0,6,False,False,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,nan,nan,16.929615427782505,15.517134435391277,0.0,0.0,6.49603202139065,680,12.808895914071504,0.9528718703976435,43.574859789144696,81.75855440206774,2.487982834589324,0,39.886698351947615,0,0,CORRIDOR
60,1.016666666666668,True,True,LIDAR_BRAKING,False,True,13.763640680474992,False,0,6,False,False,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,nan,nan,18.805280633420505,17.392801401298826,0.0,0.0,6.369657404046349,680,9.792055543696682,0.9558173784977909,43.06825154749113,81.75855440206774,2.5742435171494495,0,32.4096711145782,0,0,CORRIDOR
66,1.1166666666666676,True,True,LIDAR_BRAKING,False,True,6.059328408339286,False,0,6,False,False,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,nan,nan,19.69469533281165,18.28221699042112,0.0,0.0,6.006411843490465,680,8.500751281041824,0.9410898379970545,42.3618721905946,81.75855440206774,2.649618165280812,0,28.40792497230094,0,0,CORRIDOR
72,1.2166666666666672,True,True,LIDAR_BRAKING,False,True,2.0929475948490355,False,0,6,False,False,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,nan,nan,20.045873830194857,18.633395845518038,0.0,0.0,5.554805872786195,680,7.836591762876165,0.9455081001472754,41.93829562553128,81.75855440206774,2.717918633235242,0,25.53968622641126,0,0,CORRIDOR
78,1.3166666666666669,True,True,LIDAR_BRAKING,False,True,0.32612144251851904,True,4,6,False,False,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,nan,nan,20.139290664204314,18.72681277694947,0.0,0.0,5.11281569131122,680,7.330722425627323,0.9337260677466863,41.6546049909584,81.75855440206774,2.7823201617515534,0,27.553603853805342,0,0,CORRIDOR
84,1.4166666666666665,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.778658145234795,680,6.878322991731382,0.9278350515463918,41.34267561159352,81.75855440206774,2.842080354395528,0,27.182857912171265,0,0,CORRIDOR
90,1.5166666666666662,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.548648239713604,680,6.45982631760677,0.9189985272459499,40.500786993766845,81.75976367975265,2.898665187019478,0,26.512386625479298,0,0,CORRIDOR
96,1.6166666666666658,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.388641545666533,680,6.075283292978104,0.9131075110456554,40.23839350245468,81.75976367975265,2.938308146363462,0,24.454799966231526,0,0,CORRIDOR
102,1.7166666666666655,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.437477586848003,680,5.727223113736961,0.9013254786450663,39.83335857100373,81.75986318902062,2.9499783946006155,0,24.919394652353215,0,0,CORRIDOR
108,1.816666666666665,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,5.054809794746413,680,5.4084474942880405,0.8880706921944035,39.34378004732763,81.75986318902062,2.9474343567514376,0,24.368439578282253,0,0,CORRIDOR
114,1.9166666666666647,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,5.541643534971975,680,5.118391358271698,0.8703976435935199,38.769888472419865,81.75986318902062,2.9384647368340073,0,21.509886765858774,0,0,CORRIDOR
120,2.0166666666666644,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,5.233484072822868,680,4.847121446226583,0.8571428571428571,38.53140908233526,81.75988709159321,2.9286787041437634,0,18.500632934896046,0,0,CORRIDOR
126,2.116666666666664,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.962897877643802,680,4.602401662463834,0.833578792341679,38.214006268363896,81.75988709159321,2.91810478358713,0,16.30525800092103,0,0,CORRIDOR
132,2.2166666666666637,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.789844816336662,680,4.388499797139879,0.8041237113402062,37.83393301463951,81.75988709159321,2.906790525294323,0,15.685056592436126,0,0,CORRIDOR
138,2.3166666666666633,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.662657989153041,680,4.212119867778906,0.7849779086892489,37.672302116263275,81.75988709159321,2.8959586377963347,0,15.315331352529453,0,0,CORRIDOR
144,2.416666666666663,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.585967179743904,680,4.070275200064034,0.7731958762886598,37.23859864524218,81.75988709159321,2.894598981197085,0,14.42676828342996,0,0,CORRIDOR
150,2.5166666666666626,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.532383708238206,680,3.968133393879468,0.7702503681885126,37.12732499902342,81.75989962389787,2.880934207459384,0,13.5090329344796,0,0,CORRIDOR
156,2.6166666666666623,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.504348643837601,680,3.884477334904793,0.7717231222385862,37.37358762340692,81.75989962389787,2.873677817339905,0,12.865378433422519,0,0,CORRIDOR
162,2.716666666666662,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.496482778200903,680,3.8204872982945273,0.7658321060382917,37.09104115656444,81.75989962389787,2.8684542925561343,0,12.511141776735046,0,0,CORRIDOR
168,2.8166666666666615,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.499991671617943,680,3.7708387092035225,0.7525773195876289,36.45405670293456,81.75989962389787,2.8562450390816996,0,12.165891981490047,0,0,CORRIDOR
174,2.916666666666661,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.511625939025517,680,3.7204451636732143,0.7496318114874816,36.13855944952415,81.75989962389787,2.8722884959572927,0,11.812089061720103,0,0,CORRIDOR
180,3.016666666666661,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.528022138042306,680,3.6743446780512334,0.7422680412371134,35.734854564637324,81.75989962389787,2.903543883641029,0,11.53794624854812,0,0,CORRIDOR
186,3.1166666666666605,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.545216814171048,680,3.6345443983017782,0.7422680412371134,35.31743158642883,81.75989962389787,2.9303132741379554,0,11.289156655389222,0,0,CORRIDOR
192,3.21666666666666,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.568186021105934,680,3.5957315317424827,0.7319587628865979,35.23988794002869,81.75989962389787,2.9500701739987174,0,11.059092572351846,0,0,CORRIDOR
198,3.3166666666666598,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.573434220721921,680,3.54806960469751,0.7231222385861561,34.82465022676546,81.75989962389787,2.976735127725454,0,10.81844857543605,0,0,CORRIDOR
