frame,timestamp,shadow_lidar_geometry_change,lidar_side_wall_loss,lidar_free_span_growth,lidar_range_profile_change,lidar_left_support_baseline,lidar_left_support_current,lidar_left_support_delta,lidar_left_support_changed,lidar_right_support_baseline,lidar_right_support_current,lidar_right_support_delta,lidar_right_support_changed,lidar_free_span_baseline,lidar_free_span_current,lidar_free_span_delta,lidar_free_span_changed,lidar_forward_baseline,lidar_forward_current,lidar_forward_delta,lidar_profile_change_score,lidar_profile_change_threshold,lidar_profile_changed,lidar_range_delta_diagnostic_threshold,wall_loss_sectors,free_space_increase_sectors,largest_range_increase_sector
0,0.016666666666666666,False,0.16312056737588654,0.0,0.0,0.8439716312056738,0.8439716312056738,0.0,False,0.8368794326241135,0.8368794326241135,0.0,False,33.0,33.0,0.0,False,150.0,150.0,0.0,0.08156028368794327,0.012338797689551723,False,1.8508196534327586,[],[],[]
6,0.11666666666666665,False,0.17021276595744683,0.0,1.600720888998902,0.851063829787234,0.8368794326241135,-0.014184397163120588,True,0.8439716312056738,0.8297872340425532,-0.014184397163120588,True,33.0,33.0,0.0,False,150.0,150.0,0.0,0.13122226111935806,0.012338797689551723,False,1.8508196534327586,"[(-74,-73),(71,72)]",[],"[(-74,-73)]"
12,0.21666666666666665,True,0.2056737588652482,0.0,6.117672669371158,0.8368794326241135,0.8014184397163121,-0.03546099290780136,True,0.8297872340425532,0.7943262411347518,-0.03546099290780136,True,33.0,33.0,0.0,False,150.0,150.0,0.0,0.18884025222354034,0.012338797689551723,True,1.8508196534327586,"[(-82,-75),(73,80)]","[(-18,-18)]","[(-82,-75)]"
18,0.31666666666666665,True,0.24113475177304966,0.002777777777777778,8.334540076681911,0.8368794326241135,0.7588652482269503,-0.07801418439716312,True,0.8297872340425532,0.7588652482269503,-0.07092198581560283,True,33.0,34.0,1.0,True,150.0,150.0,0.0,0.24415819114279025,0.012338797689551723,True,1.8508196534327586,"[(-91,-75),(73,90)]","[(-163,-163),(-93,-92),(91,93)]","[(73,93)]"
24,0.41666666666666663,True,0.23404255319148937,0.0,6.576833943819704,0.8368794326241135,0.7659574468085106,-0.07092198581560283,True,0.8297872340425532,0.7659574468085106,-0.06382978723404253,True,33.0,33.0,0.0,False,150.0,150.0,0.0,0.26102315197987214,0.012338797689551723,True,1.8508196534327586,"[(-95,-75),(73,93)]","[(-105,-96),(-24,-18),(94,104),(157,163)]","[(73,104)]"
30,0.5166666666666666,True,0.23404255319148937,0.0,5.892726496720442,0.8368794326241135,0.7659574468085106,-0.07092198581560283,True,0.8297872340425532,0.7659574468085106,-0.06382978723404253,True,33.0,33.0,0.0,False,150.0,150.0,0.0,0.2671752742414156,0.012338797689551723,True,1.8508196534327586,"[(-98,-75),(73,96)]","[(-115,-99),(-24,-18),(97,114),(157,163)]","[(73,114)]"
36,0.6166666666666669,True,0.23404255319148937,0.0,6.383220180383132,0.8368794326241135,0.7730496453900709,-0.06382978723404253,True,0.8297872340425532,0.7659574468085106,-0.06382978723404253,True,33.0,33.0,0.0,False,150.0,150.0,0.0,0.2718863143177296,0.012338797689551723,True,1.8508196534327586,"[(-101,-75),(73,100)]","[(-163,-159),(-122,-102),(101,124)]","[(73,124)]"
42,0.7166666666666672,True,0.23404255319148937,0.0,5.817657700372664,0.8368794326241135,0.7659574468085106,-0.07092198581560283,True,0.8297872340425532,0.7659574468085106,-0.06382978723404253,True,33.0,33.0,0.0,False,150.0,150.0,0.0,0.272356626089185,0.012338797689551723,True,1.8508196534327586,"[(-163,-163),(-104,-75),(73,104)]","[(-162,-152),(-129,-105),(105,131)]","[(73,131)]"
48,0.8166666666666675,True,0.23404255319148937,0.0,5.623909058327389,0.8368794326241135,0.7659574468085106,-0.07092198581560283,True,0.8297872340425532,0.7730496453900709,-0.05673758865248224,True,33.0,33.0,0.0,False,150.0,150.0,0.0,0.2719459531680951,0.012338797689551723,True,1.8508196534327586,"[(-107,-76),(75,107)]","[(-135,-108),(-75,-75),(73,74),(108,136)]","[(73,136)]"
54,0.9166666666666679,True,0.23404255319148937,0.0,4.8293827112653025,0.8368794326241135,0.7659574468085106,-0.07092198581560283,True,0.8297872340425532,0.7730496453900709,-0.05673758865248224,True,33.0,33.0,0.0,False,150.0,150.0,0.0,0.2690921955506766,0.012338797689551723,True,1.8508196534327586,"[(-110,-79),(77,109)]","[(-139,-111),(-78,-75),(-24,-18),(73,76),(110,140),(163,163)]","[(73,140)]"
60,1.016666666666668,True,0.23404255319148937,0.0,3.8875220538098763,0.8368794326241135,0.7659574468085106,-0.07092198581560283,True,0.8297872340425532,0.7659574468085106,-0.06382978723404253,True,33.0,33.0,0.0,False,150.0,150.0,0.0,0.2645257812171159,0.012338797689551723,True,1.8508196534327586,"[(-113,-81),(79,111)]","[(-142,-114),(-80,-75),(-24,-18),(73,78),(112,143)]","[(73,143)]"
66,1.1166666666666676,True,0.23404255319148937,0.0,3.86708985754192,0.8368794326241135,0.7659574468085106,-0.07092198581560283,True,0.8297872340425532,0.7659574468085106,-0.06382978723404253,True,33.0,33.0,0.0,False,150.0,150.0,0.0,0.26217446672944233,0.012338797689551723,True,1.8508196534327586,"[(-115,-83),(82,114)]","[(-145,-116),(-82,-75),(-24,-18),(73,81),(115,145)]","[(73,145)]"
72,1.2166666666666672,True,0.23404255319148937,0.0,3.8754566262133063,0.8368794326241135,0.7659574468085106,-0.07092198581560283,True,0.8297872340425532,0.7659574468085106,-0.06382978723404253,True,33.0,33.0,0.0,False,150.0,150.0,0.0,0.26102669871451023,0.012338797689551723,True,1.8508196534327586,"[(-117,-85),(84,116)]","[(-147,-118),(-84,-75),(-24,-18),(73,83),(117,148)]","[(73,148)]"
78,1.3166666666666669,True,0.24113475177304966,0.002777777777777778,3.7485015153156773,0.8368794326241135,0.7588652482269503,-0.07801418439716312,True,0.8297872340425532,0.7659574468085106,-0.06382978723404253,True,33.0,34.0,1.0,True,150.0,150.0,0.0,0.26496461918372105,0.012338797689551723,True,1.8508196534327586,"[(-119,-87),(86,119)]","[(-163,-157),(-149,-120),(-86,-78),(-23,-18),(77,85),(120,150)]","[(77,150)]"
84,1.4166666666666665,True,0.24113475177304966,0.002777777777777778,3.426614610293224,0.8368794326241135,0.7588652482269503,-0.07801418439716312,True,0.8297872340425532,0.7659574468085106,-0.06382978723404253,True,33.0,34.0,1.0,True,150.0,150.0,0.0,0.26586062306825164,0.012338797689551723,True,1.8508196534327586,"[(-121,-89),(88,121)]","[(-163,-122),(-88,-84),(83,87),(122,151)]","[(-163,-84)]"
90,1.5166666666666662,True,0.24113475177304966,0.002777777777777778,2.9017993113949,0.8368794326241135,0.7588652482269503,-0.07801418439716312,True,0.8297872340425532,0.7588652482269503,-0.07092198581560283,True,33.0,34.0,1.0,True,150.0,150.0,0.0,0.2645592406808559,0.012338797689551723,True,1.8508196534327586,"[(-163,-163),(-123,-90),(90,123)]","[(-162,-124),(124,153)]","[(-163,-90)]"
96,1.6166666666666658,True,0.21985815602836878,0.0,4.443288080507529,0.8368794326241135,0.7872340425531915,-0.049645390070921946,True,0.8297872340425532,0.7801418439716312,-0.049645390070921946,True,33.0,33.0,0.0,False,150.0,147.8266304987868,-2.1733695012131875,0.25701965862297077,0.012338797689551723,True,1.8508196534327586,"[(-163,-163),(-125,-95),(96,125)]","[(-162,-126),(126,154)]","[(-163,-95)]"
