frame,time,profile_junction_detected,detection_latched,phase,forward_propulsion_enabled,leader_braking,leader_speed,stationary,stationary_dwell,stationary_dwell_target,anchor_active,pointcloud_ready,first_detection_time,detection_latch_time,hold_entry_time,braking_start_time,stationary_confirmation_time,anchor_entry_time,distance_since_detection_eval,distance_during_braking_eval,distance_since_anchor_eval,anchor_heading_drift_eval,leader_gap,connected_component_size,follower_mean_speed,follower_moving_fraction,mean_lateral_sph_force,lateral_span,min_robot_distance,overlap_pairs,max_speed,nan_inf_state_count,outside_free_space_robot_count,GT_phase_eval_only
0,0.016666666666666666,False,False,LOCAL_FORWARD,True,False,1.799992790879454,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,2.674696244435989,680,0.783162297370203,0.28424153166421207,147.31150374750166,75.64908377430557,2.6596023862678146,0,1.8,0,0,CORRIDOR_ONLY
6,0.11666666666666665,False,False,LOCAL_FORWARD,True,False,35.799365270424715,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,2.754473970950776,680,13.676764597217103,1.0,157.3063847851603,77.99947357068339,2.6602904825954763,0,35.799365270424715,0,0,CORRIDOR_ONLY
12,0.21666666666666665,False,False,LOCAL_FORWARD,True,False,74.70761113595074,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,2.8978715508090658,680,26.529589551568602,0.9985272459499264,157.766944161472,81.74306965655248,2.617382846708036,0,75.86092663950708,0,0,CORRIDOR_ONLY
18,0.31666666666666665,False,False,LOCAL_FORWARD,True,False,90.70103164960253,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,3.0308055360986668,680,32.003652852520425,0.9985272459499264,109.4218317082928,81.74857406793244,2.317780723730619,0,90.70103164960253,0,0,CORRIDOR_ONLY
24,0.41666666666666663,False,False,LOCAL_FORWARD,True,False,91.83054442580818,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,3.2951930165349252,680,32.53181412691242,0.9896907216494846,70.0060365491804,81.74857406793244,2.2656447881579074,0,91.83054442580818,0,0,CORRIDOR_ONLY
30,0.5166666666666666,False,False,LOCAL_FORWARD,True,False,86.60232856960926,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,3.700260890984066,680,32.178992011598304,0.9852724594992637,56.940047124364234,81.74857406793244,2.174539661254136,11,86.60232856960926,0,0,CORRIDOR_ONLY
36,0.6166666666666669,False,False,LOCAL_FORWARD,True,False,85.79494863914196,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,4.416683397702541,680,31.902853651425986,0.9970544918998527,49.47164286702665,81.74857406793244,2.1987333202533503,5,85.79494863914196,0,0,CORRIDOR_ONLY
42,0.7166666666666672,False,False,LOCAL_FORWARD,True,False,81.50258074131256,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,5.690763205350316,680,32.26308337807069,1.0,48.30167059151655,81.74857406793244,2.276326530340588,0,81.50258074131256,0,0,CORRIDOR_ONLY
48,0.8166666666666675,False,False,LOCAL_FORWARD,True,False,70.30429010010621,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,6.954695841265848,680,32.56980734601487,1.0,44.515769606932885,81.74857406793244,2.3954333433826434,0,70.30429010010621,0,0,CORRIDOR_ONLY
54,0.9166666666666679,False,False,LOCAL_FORWARD,True,False,58.311735955522366,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,7.656365242315009,680,32.64940604762324,1.0,43.54249403490625,81.75856209339722,2.4887599431026337,0,62.13050064302017,0,0,CORRIDOR_ONLY
