scan_index,cumulative_local_advance,GT_branch_id_eval_only,GT_branch_angle_deg_eval_only,GT_local_angle_deg_eval_only,visible_as_opening_eval_only
0,0.0,0,0,0.0,True
0,0.0,1,-90,90.0,False
0,0.0,2,90,-90.0,False
1,18.91954079655875,0,0,0.0,True
1,18.91954079655875,1,-90,90.0,False
1,18.91954079655875,2,90,-90.0,False
2,39.2383827186883,0,0,0.0,True
2,39.2383827186883,1,-90,90.0,False
2,39.2383827186883,2,90,-90.0,False
3,55.53109575861822,0,0,0.0,True
3,55.53109575861822,1,-90,90.0,False
3,55.53109575861822,2,90,-90.0,False
