frame,timestamp,endpoint_id,segment_id,x_local,y_local,endpoint_type,wall_tangent_local,range,associated_branch_eval_only,nearest_mouth_boundary_error_eval_only
6,0.11666666666666665,0,[0],-141.98483036763352,-43.40911894508895,SCAN_LIMIT,[0.0],148.47236666166046,NONE,316.18276264917967
6,0.11666666666666665,1,[0],141.9848303676335,-43.40911894508895,SCAN_LIMIT,[0.0],148.47236666166043,NONE,32.268815375923765
6,0.11666666666666665,2,[1],-141.55722487912547,40.590881054911065,SCAN_LIMIT,[0.0],147.26190118388814,NONE,315.7551657268865
6,0.11666666666666665,3,[1],141.55722487912539,40.590881054911065,SCAN_LIMIT,[0.0],147.26190118388806,NONE,32.69560950535518
12,0.21666666666666665,0,[0],-142.16658545720122,-43.4646870524811,SCAN_LIMIT,[0.0],148.662426460521,NONE,310.26364276801957
12,0.21666666666666665,1,[0],142.16658545720122,-43.4646870524811,SCAN_LIMIT,[0.0],148.662426460521,NONE,26.001059713197538
12,0.21666666666666665,2,[1],-141.3634358587893,40.53531294751889,SCAN_LIMIT,[0.0],147.06030257535625,NONE,309.46050989956535
12,0.21666666666666665,3,[1],141.36343585878922,40.535312947518904,SCAN_LIMIT,[0.0],147.06030257535616,NONE,26.80190099743405
18,0.31666666666666665,0,[0],-142.32451263523683,-43.51297023624277,SCAN_LIMIT,[0.0],148.8275696087181,NONE,301.91964751262884
18,0.31666666666666665,1,[0],142.3245126352368,-43.51297023624277,SCAN_LIMIT,[0.0],148.8275696087181,NONE,17.379459806346425
18,0.31666666666666665,2,[1],-141.19505238634423,40.48702976375722,SCAN_LIMIT,[0.0],146.88513334396322,NONE,300.7902121380239
18,0.31666666666666665,3,[1],141.19505238634414,40.487029763757235,SCAN_LIMIT,[0.0],146.88513334396313,NONE,18.501872940938437
24,0.41666666666666663,0,[0],-142.46881464829607,-43.557087789031215,SCAN_LIMIT,[0.0],148.9784650342187,NONE,292.7943060275358
24,0.41666666666666663,1,[0],142.46881464829605,-43.557087789031215,SCAN_LIMIT,[0.0],148.97846503421863,LEFT,8.100622255475788
24,0.41666666666666663,2,[1],-141.04119619552287,40.442912210968814,SCAN_LIMIT,[0.0],146.72507683544796,NONE,291.3667210439113
24,0.41666666666666663,3,[1],141.0411961955228,40.44291221096883,SCAN_LIMIT,[0.0],146.72507683544788,RIGHT,9.490592454564565
30,0.5166666666666666,0,[0],-142.69205361698621,-43.62533879105678,SCAN_LIMIT,[0.0],149.21190418350457,NONE,284.1810487838127
30,0.5166666666666666,1,[0],134.26498700092878,-43.62533879105678,WALL_TERMINATION,[0.0],141.17456186931858,LEFT,7.4889692535785715
30,0.5166666666666666,2,[1],-140.80317666525158,40.37466120894319,SCAN_LIMIT,[0.0],146.47746525238273,NONE,282.29221892385266
30,0.5166666666666666,3,[1],132.05956633568164,40.3746612089432,WALL_TERMINATION,[0.0],138.09359988249,RIGHT,9.632312895866383
36,0.6166666666666669,0,[0],-142.90493198610292,-43.69042223991465,SCAN_LIMIT,[0.0],149.43450933922435,NONE,275.80342967500445
36,0.6166666666666669,1,[0],126.8861995194101,-43.69042223991465,WALL_TERMINATION,[0.0],134.19746876890628,LEFT,6.329343082824363
36,0.6166666666666669,2,[1],-140.5762037056497,40.309577760085325,SCAN_LIMIT,[0.0],146.24134541055307,NONE,273.4747631446496
36,0.6166666666666669,3,[1],124.06012386270008,40.309577760085325,WALL_TERMINATION,[0.0],130.4445337759496,RIGHT,9.054762234569793
42,0.7166666666666672,0,[0],-142.99383500370197,-43.71760262006893,SCAN_LIMIT,[0.0],149.5274744918545,NONE,267.5083725912863
42,0.7166666666666672,1,[0],120.11312603132991,-43.71760262006893,WALL_TERMINATION,[0.0],127.82171890513914,LEFT,4.827697714850614
42,0.7166666666666672,2,[1],-140.48141445531053,40.28239737993103,SCAN_LIMIT,[0.0],146.14273620689946,NONE,264.9960229274672
42,0.7166666666666672,3,[1],116.98857664965556,40.28239737993104,WALL_TERMINATION,[0.0],123.72953812726776,RIGHT,7.779949109946731
48,0.8166666666666675,0,[0],-142.97324396429838,-43.71130730756038,SCAN_LIMIT,[0.0],149.50594261169275,NONE,259.9471348108455
48,0.8166666666666675,1,[0],113.8718486703954,-43.71130730756038,WALL_TERMINATION,[0.0],121.97326061948746,LEFT,3.684425426346293
48,0.8166666666666675,2,[1],-140.50336881908223,40.28869269243968,SCAN_LIMIT,[0.0],146.1655753191458,NONE,257.4773334709119
48,0.8166666666666675,3,[1],110.69227343182469,40.28869269243968,WALL_TERMINATION,[0.0],117.79625697097376,RIGHT,6.584991662128786
54,0.9166666666666679,0,[0],-142.96830029329664,-43.70979587565587,SCAN_LIMIT,[0.0],149.50077305567936,NONE,253.65489603599704
54,0.9166666666666679,1,[0],108.18554113734595,-43.70979587565587,WALL_TERMINATION,[0.0],116.6818647720025,LEFT,3.196231440859767
54,0.9166666666666679,2,[1],-140.50863980853606,40.29020412434412,SCAN_LIMIT,[0.0],146.17105872650112,NONE,251.1953127583286
54,0.9166666666666679,3,[1],104.95957017860971,40.29020412434412,WALL_TERMINATION,[0.0],112.42691813111223,RIGHT,6.058759814930354
60,1.016666666666668,0,[0],-143.0035486666284,-43.720572384854925,SCAN_LIMIT,[0.0],149.53763198910198,NONE,248.1216703776556
60,1.016666666666668,1,[0],102.99921388802933,-43.720572384854925,WALL_TERMINATION,[0.0],111.89426487184834,LEFT,2.9078644411892234
