frame,timestamp,gap_id,endpoint_a,endpoint_b,gap_center_local,gap_width,gap_width_over_W_hat,free_continuation,accepted,rejection_reason,matched_branch_eval_only,endpoint_error_eval_only,center_error_eval_only,same_lateral_side_runtime,runtime_candidate_created,runtime_rejection_reason
30,0.5166666666666666,0,1,3,"[133.1622766683052, -1.6253387910567874]",84.0289466809545,1.0003446033446965,16.827804502321243,True,NONE,NONE,64.40823823643554,62.72791673231865,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
36,0.6166666666666669,0,1,3,"[125.47316169105508, -1.690422239914664]",84.04752645746004,1.0005657911602386,24.515451819362028,True,NONE,NONE,63.610863045577545,62.03607599190775,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
42,0.7166666666666672,0,1,3,"[118.55085134049273, -1.717602620068945]",84.05809187007826,1.0006915698818841,31.436706724568097,True,NONE,NONE,62.37943298128789,60.92596502123265,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
48,0.8166666666666675,0,1,3,"[112.28206105111005, -1.7113073075603502]",84.06015523836332,1.0007161337900397,37.70489856371243,True,NONE,NONE,61.35521520799883,59.97226019621193,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
54,0.9166666666666679,0,1,3,"[106.57255565797783, -1.7097958756558747]",84.06192294152335,1.000737177875278,43.41372967680503,True,NONE,NONE,60.910363790651246,59.54286631908668,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
60,1.016666666666668,0,1,3,"[101.347147820704, -1.7205723848549361]",84.064958747169,1.0007733184186787,48.63824813706526,True,NONE,NONE,60.65637871325622,59.28905945923121,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
66,1.1166666666666676,0,1,3,"[94.32482058537141, -1.7291541566601367]",84.00713275893494,1.0000849137968446,55.659331396475665,True,NONE,NONE,61.92439909317001,60.42126641276792,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
72,1.2166666666666672,0,1,3,"[90.0534525679201, -1.7339990283489293]",84.00353764714644,1.0000421148469816,59.92985471293527,True,NONE,NONE,60.88056732115713,59.44837106234371,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
78,1.3166666666666669,0,1,3,"[86.09153769913351, -1.7364635490102422]",84.00153480983711,1.0000182715456798,63.890951874623724,True,NONE,NONE,59.69936934747641,58.30864058979022,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
84,1.4166666666666665,0,1,3,"[78.96206232010888, -1.7376231932924142]",84.00007817729326,1.0000009306820625,71.01882110143818,True,NONE,NONE,61.2100238710447,59.72566709723234,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
90,1.5166666666666662,0,1,3,"[75.73911739386023, -1.7380832786029643]",84.00000726258736,1.0000000864593734,74.2409422109521,True,NONE,NONE,60.04521988361698,58.63875337263913,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
