frame,timestamp,branch_eval_only,lidar_free_evidence,lidar_free_continuation_depth,angular_opening_present_eval_only,angular_opening_center_eval_only,angular_opening_width_eval_only,wall_segment_support,wall_segment_boundary_support_count_eval_only,wall_termination_count,valid_termination_count,pair_count,gap_count,accepted_gap_count,partial_present,complete_present,candidate_present,first_failure_stage
6,0.11666666666666665,LEFT,False,-174.74852941824454,False,nan,nan,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
6,0.11666666666666665,FORWARD,False,-104.19551247973135,True,-0.5,38.0,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
6,0.11666666666666665,RIGHT,False,-177.04941968970198,False,nan,nan,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
12,0.21666666666666665,LEFT,False,-168.71689251039285,False,nan,nan,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
12,0.21666666666666665,FORWARD,False,-98.09493471380691,True,-0.5,38.0,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
12,0.21666666666666665,RIGHT,False,-171.09330699174916,False,nan,nan,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
18,0.31666666666666665,LEFT,False,-160.3470313130686,False,nan,nan,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
18,0.31666666666666665,FORWARD,False,-89.59328758301703,True,-0.5,38.0,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
18,0.31666666666666665,RIGHT,False,-162.77837554144057,False,nan,nan,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
24,0.41666666666666663,LEFT,False,-151.24584880331423,False,nan,nan,True,1,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
24,0.41666666666666663,FORWARD,False,-80.32392391397244,True,-0.5,38.0,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
24,0.41666666666666663,RIGHT,False,-153.71951993994014,False,nan,nan,True,1,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
30,0.5166666666666666,LEFT,False,-142.56910167245533,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
30,0.5166666666666666,FORWARD,False,-71.48792098273029,True,-0.5,38.0,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
30,0.5166666666666666,RIGHT,False,-145.12012430523595,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
36,0.6166666666666669,LEFT,False,-134.15634963969947,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
36,0.6166666666666669,FORWARD,False,-62.897957183662385,True,-0.5,40.0,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
36,0.6166666666666669,RIGHT,False,-136.77516666927883,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
42,0.7166666666666672,LEFT,False,-125.99666170108517,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
42,0.7166666666666672,FORWARD,False,-54.514273807460484,True,-0.5,42.0,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
42,0.7166666666666672,RIGHT,False,-128.62028197969187,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
48,0.8166666666666675,LEFT,False,-118.70242399059885,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
48,0.8166666666666675,FORWARD,False,-46.97363092159034,True,-0.5,44.0,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
48,0.8166666666666675,RIGHT,False,-121.27990247685972,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
54,0.9166666666666679,LEFT,False,-112.6352743630442,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
54,0.9166666666666679,FORWARD,False,-40.68637651709636,True,-0.5,46.0,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
54,0.9166666666666679,RIGHT,False,-115.17752129749115,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
60,1.016666666666668,LEFT,False,-107.26795687786992,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
60,1.016666666666668,FORWARD,False,-35.1180570868616,True,-0.5,48.0,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
60,1.016666666666668,RIGHT,False,-109.79470202532286,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
66,1.1166666666666676,LEFT,False,-101.98364141000334,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
66,1.1166666666666676,FORWARD,False,-29.618124155061395,True,-1.0,51.0,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
66,1.1166666666666676,RIGHT,False,-104.4894875591039,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
72,1.2166666666666672,LEFT,False,-96.64510226654944,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
72,1.2166666666666672,FORWARD,False,-24.04059495044112,True,-1.0,53.0,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
72,1.2166666666666672,RIGHT,False,-99.12141680996753,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
78,1.3166666666666669,LEFT,False,-91.38749500300224,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
78,1.3166666666666669,FORWARD,False,-18.525683742103553,True,-1.0,55.0,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
78,1.3166666666666669,RIGHT,False,-93.82840964169819,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
84,1.4166666666666665,LEFT,False,-86.4489398754308,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
84,1.4166666666666665,FORWARD,False,-13.323930588769514,True,-1.0,59.0,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
84,1.4166666666666665,RIGHT,False,-88.85199688080974,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
90,1.5166666666666662,LEFT,False,-82.00782809113389,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
90,1.5166666666666662,FORWARD,False,-8.626412606631362,True,-1.0,61.0,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
90,1.5166666666666662,RIGHT,False,-84.37331466054101,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
96,1.6166666666666658,LEFT,False,-78.04925194273156,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
96,1.6166666666666658,FORWARD,False,-4.422020200804496,True,-1.0,65.0,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
96,1.6166666666666658,RIGHT,False,-80.37890244635585,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
102,1.7166666666666655,LEFT,False,-74.31831120992626,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
102,1.7166666666666655,FORWARD,False,-0.443573791405214,True,-1.0,67.0,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
102,1.7166666666666655,RIGHT,False,-76.61348319175411,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
108,1.816666666666665,LEFT,False,-70.4395547144627,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
108,1.816666666666665,FORWARD,False,3.709754789120069,True,-1.0,71.0,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
108,1.816666666666665,RIGHT,False,-72.69979366557713,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
114,1.9166666666666647,LEFT,False,-66.17752688198661,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
114,1.9166666666666647,FORWARD,False,8.298101417084695,True,-1.5,74.0,False,0,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
114,1.9166666666666647,RIGHT,False,-68.39722682536646,False,nan,nan,True,1,1,1,0,0,0,True,False,True,NONE
120,2.0166666666666644,LEFT,False,-61.57520282198324,False,nan,nan,True,2,1,1,0,0,0,True,False,True,NONE
120,2.0166666666666644,FORWARD,False,13.288619231752449,True,-1.0,79.0,True,2,0,0,0,0,0,False,False,False,LIDAR_FREE_EVIDENCE
120,2.0166666666666644,RIGHT,False,-63.74314080141933,False,nan,nan,True,2,1,1,0,0,0,True,False,True,NONE
126,2.116666666666664,LEFT,False,-56.827043419840415,False,nan,nan,True,2,1,1,0,0,0,True,False,True,NONE
126,2.116666666666664,FORWARD,True,18.481933672295867,True,-1.0,85.0,True,2,0,0,0,0,0,False,False,False,VALID_ENDPOINT_SUPPORT
126,2.116666666666664,RIGHT,False,-58.93281131035713,False,nan,nan,True,2,1,1,0,0,0,True,False,True,NONE
132,2.2166666666666637,LEFT,True,47.42592435833069,False,nan,nan,True,2,1,1,1,1,1,True,True,True,NONE
132,2.2166666666666637,FORWARD,True,23.63292477157924,True,-1.0,91.0,True,2,1,2,1,1,1,False,False,False,CANDIDATE_CONSTRUCTION_SAME_LATERAL_SIDE_GATE
132,2.2166666666666637,RIGHT,True,47.7668950953323,False,nan,nan,True,2,1,1,1,1,1,True,True,True,NONE
138,2.3166666666666633,LEFT,False,-47.79255976442754,False,nan,nan,True,2,1,1,0,0,0,True,True,True,NONE
138,2.3166666666666633,FORWARD,True,28.514705635214398,True,-1.0,97.0,True,2,0,1,0,0,0,False,False,False,ENDPOINT_PAIR_OR_GAP_CONSTRUCTION
138,2.3166666666666633,RIGHT,True,46.67863196081039,False,nan,nan,True,2,1,1,1,1,1,True,True,True,NONE
144,2.416666666666663,LEFT,True,48.63398541036955,False,nan,nan,True,2,1,1,1,1,1,True,True,True,NONE
144,2.416666666666663,FORWARD,True,33.05103444484563,True,-1.0,105.0,True,2,1,2,1,1,1,False,False,False,CANDIDATE_CONSTRUCTION_SAME_LATERAL_SIDE_GATE
144,2.416666666666663,RIGHT,True,44.998126777662364,False,nan,nan,True,2,1,1,1,1,1,True,True,True,NONE
150,2.5166666666666626,LEFT,True,49.36814567730366,False,nan,nan,True,2,1,1,1,1,1,True,True,True,NONE
150,2.5166666666666626,FORWARD,True,37.34963239570659,True,-1.5,112.0,True,2,1,2,1,1,1,False,False,False,CANDIDATE_CONSTRUCTION_SAME_LATERAL_SIDE_GATE
150,2.5166666666666626,RIGHT,True,47.19697202853874,False,nan,nan,True,2,1,1,1,1,1,True,True,True,NONE
156,2.6166666666666623,LEFT,True,50.241855074712035,False,nan,nan,True,2,1,1,1,1,1,True,True,True,NONE
156,2.6166666666666623,FORWARD,True,41.59772178284145,True,-1.0,119.0,True,2,1,2,1,1,1,False,False,False,CANDIDATE_CONSTRUCTION_SAME_LATERAL_SIDE_GATE
156,2.6166666666666623,RIGHT,True,49.51029620997541,False,nan,nan,True,2,1,1,1,1,1,True,True,True,NONE
