viewpoint_id,forward_ratio_W,lateral_ratio_W,gap_id,gap_width,gap_width_ratio_W,free_continuation_depth,free_continuation_depth_ratio_W,matched_branch_eval,true_positive_eval,false_positive_eval,center_error_eval,endpoint_error_eval,mouth_overlap_eval
F-0.100_L-0.400,-0.1,-0.4,2,86.70286766033603,1.0321769959563813,37.95589144531937,0.45185585053951627,FALSE,False,True,11.723399018395241,11.723399018395241,0.864786490519294
F-0.100_L-0.300,-0.1,-0.3,2,84.0043714165722,1.0000520406734785,30.062913761012396,0.3578918304882428,INCOMING,True,False,1.5241612379836909,1.5241612379836909,0.9818561675745959
F-0.100_L-0.200,-0.1,-0.2,2,84.00015168082433,1.0000018057240991,32.171145557974526,0.3829898280711253,INCOMING,True,False,2.2835464277993083,2.2835464277993083,0.9728149725672388
F-0.100_L-0.100,-0.1,-0.1,0,84.00694575776551,1.0000826875924465,34.684846090036885,0.412914834405201,INCOMING,True,False,4.024906140481107,4.0249061404811,0.9520884124023871
F-0.100_L+0.000,-0.1,0.0,0,84.04851864455219,1.0005776029113356,34.55478762793375,0.41136651938016366,INCOMING,True,False,3.7170854044055375,3.7170854044055446,0.9557745280422444
F-0.100_L+0.100,-0.1,0.1,1,84.01645890766163,1.0001959393769242,31.573833955066235,0.3758789756555504,INCOMING,True,False,1.159488137638732,1.1594881376387391,0.986199273895689
F-0.100_L+0.200,-0.1,0.2,0,84.43836340190323,1.0052186119274193,33.94269372864598,0.40407968724578547,INCOMING,True,False,4.585555113014465,4.585555113014472,0.9456934629205389
F-0.100_L+0.300,-0.1,0.3,1,84.3587433213906,1.0042707538260787,35.882813165957046,0.42717634721377434,INCOMING,True,False,8.262511729613152,8.262511729613145,0.9020550638345267
F-0.100_L+0.400,-0.1,0.4,1,94.48279884359623,1.1247952243285266,46.285751411253344,0.5510208501339684,FALSE,False,True,21.649257551286865,21.649257551286873,0.7708656198137784
F+0.000_L-0.500,0.0,-0.5,2,112.95121967281925,1.344657377057372,68.06178550133352,0.8102593512063514,FALSE,False,True,39.37113116515212,39.37113116515213,0.6514324388953326
F+0.000_L-0.400,0.0,-0.4,2,84.96719810304843,1.011514263131529,42.11765954214364,0.5014007088350434,INCOMING,True,False,7.67147790769647,7.67147790769647,0.9097124763559641
F+0.000_L-0.300,0.0,-0.3,2,84.07867346944137,1.000936588921921,40.37629817440512,0.4806702163619657,INCOMING,True,False,3.660014223486698,3.660014223486698,0.9564691725920612
F+0.000_L-0.200,0.0,-0.2,2,84.00446512934349,1.000053156301708,41.24943036377921,0.49106464718784776,INCOMING,True,False,3.043016212332134,3.043016212332134,0.96377554207807
