viewpoint_id,forward_ratio_W,lateral_ratio_W,angular_detector_outgoing_match_eval,left_wall_topology,right_wall_topology,forward_wall_topology
F-0.100_L-0.500,-0.1,-0.5,1,NO_GAP_TOPOLOGY,NO_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F-0.100_L-0.400,-0.1,-0.4,1,NO_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F-0.100_L-0.300,-0.1,-0.3,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F-0.100_L-0.200,-0.1,-0.2,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F-0.100_L-0.100,-0.1,-0.1,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F-0.100_L+0.000,-0.1,0.0,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F-0.100_L+0.100,-0.1,0.1,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F-0.100_L+0.200,-0.1,0.2,1,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F-0.100_L+0.300,-0.1,0.3,1,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F-0.100_L+0.400,-0.1,0.4,1,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.000_L-0.500,0.0,-0.5,1,NO_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.000_L-0.400,0.0,-0.4,1,NO_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.000_L-0.300,0.0,-0.3,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.000_L-0.200,0.0,-0.2,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.000_L-0.100,0.0,-0.1,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
A0,0.0,0.0,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.000_L+0.100,0.0,0.1,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.000_L+0.200,0.0,0.2,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.000_L+0.300,0.0,0.3,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.000_L+0.400,0.0,0.4,1,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.100_L-0.500,0.1,-0.5,1,NO_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.100_L-0.400,0.1,-0.4,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.100_L-0.300,0.1,-0.3,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.100_L-0.200,0.1,-0.2,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.100_L-0.100,0.1,-0.1,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.100_L+0.000,0.1,0.0,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.100_L+0.100,0.1,0.1,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.100_L+0.200,0.1,0.2,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.100_L+0.300,0.1,0.3,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.100_L+0.400,0.1,0.4,1,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.200_L-0.500,0.2,-0.5,1,NO_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.200_L-0.400,0.2,-0.4,1,NO_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.200_L-0.300,0.2,-0.3,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.200_L-0.200,0.2,-0.2,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
