viewpoint_id,branch_eval,forward_ratio_W,lateral_ratio_W,distance_ratio_W,topology_state,near_boundary_visible_eval,far_opposite_boundary_visible_eval,near_endpoint_error_eval,far_opposite_endpoint_error_eval
F-0.100_L-0.500,LEFT,-0.1,-0.5,0.5099019513592785,NO_GAP_TOPOLOGY,False,False,87.54969981910246,167.53879062982847
F-0.100_L-0.500,RIGHT,-0.1,-0.5,0.5099019513592785,NO_GAP_TOPOLOGY,False,False,119.93727501663089,186.51875606947817
F-0.100_L-0.400,LEFT,-0.1,-0.4,0.41231056256176607,NO_GAP_TOPOLOGY,False,False,24.544981233860337,104.48250619306144
F-0.100_L-0.400,RIGHT,-0.1,-0.4,0.41231056256176607,PARTIAL_GAP_TOPOLOGY,True,False,3.591780579115476,83.00753325453312
F-0.100_L-0.300,LEFT,-0.1,-0.3,0.31622776601683794,PARTIAL_GAP_TOPOLOGY,True,False,4.429837161980525,83.97647150315821
F-0.100_L-0.300,RIGHT,-0.1,-0.3,0.31622776601683794,PARTIAL_GAP_TOPOLOGY,True,False,3.6855360705951066,83.11973570364238
F-0.100_L-0.200,LEFT,-0.1,-0.2,0.223606797749979,PARTIAL_GAP_TOPOLOGY,True,False,4.79988875207665,84.38706611209405
F-0.100_L-0.200,RIGHT,-0.1,-0.2,0.223606797749979,PARTIAL_GAP_TOPOLOGY,True,False,4.655249635266462,84.22747895483876
F-0.100_L-0.100,LEFT,-0.1,-0.1,0.1414213562373095,PARTIAL_GAP_TOPOLOGY,True,False,5.838050669477141,85.5081749615537
F-0.100_L-0.100,RIGHT,-0.1,-0.1,0.1414213562373095,PARTIAL_GAP_TOPOLOGY,True,False,6.862916301246151,86.58813103119597
F-0.100_L+0.000,LEFT,-0.1,0.0,0.1,PARTIAL_GAP_TOPOLOGY,True,False,7.419446080982069,87.16774820382246
F-0.100_L+0.000,RIGHT,-0.1,0.0,0.1,PARTIAL_GAP_TOPOLOGY,True,False,4.732725859983033,84.3130943371143
F-0.100_L+0.100,LEFT,-0.1,0.1,0.1414213562373095,PARTIAL_GAP_TOPOLOGY,True,False,4.464050221878995,84.01476654038295
F-0.100_L+0.100,RIGHT,-0.1,0.1,0.1414213562373095,PARTIAL_GAP_TOPOLOGY,True,False,3.0691480726238574,82.35230793052794
F-0.100_L+0.200,LEFT,-0.1,0.2,0.223606797749979,PARTIAL_GAP_TOPOLOGY,True,False,3.0397528919598895,82.31342691605774
F-0.100_L+0.200,RIGHT,-0.1,0.2,0.223606797749979,NO_GAP_TOPOLOGY,False,False,11.064247902359183,90.90398816767332
F-0.100_L+0.300,LEFT,-0.1,0.3,0.31622776601683794,PARTIAL_GAP_TOPOLOGY,True,False,6.683003154891212,86.3998691843295
F-0.100_L+0.300,RIGHT,-0.1,0.3,0.31622776601683794,NO_GAP_TOPOLOGY,False,False,14.288966030288845,94.16954624394232
F-0.100_L+0.400,LEFT,-0.1,0.4,0.41231056256176607,PARTIAL_GAP_TOPOLOGY,True,False,2.843836180094475,82.0461131321951
F-0.100_L+0.400,RIGHT,-0.1,0.4,0.41231056256176607,NO_GAP_TOPOLOGY,False,False,45.32093335198107,115.98088066617264
F+0.000_L-0.500,LEFT,0.0,-0.5,0.5,NO_GAP_TOPOLOGY,False,False,79.15212450433306,117.11334993315613
F+0.000_L-0.500,RIGHT,0.0,-0.5,0.5,PARTIAL_GAP_TOPOLOGY,True,False,4.131729299909404,83.6393252756493
F+0.000_L-0.400,LEFT,0.0,-0.4,0.4,NO_GAP_TOPOLOGY,False,False,16.187390590402078,96.08417981509136
F+0.000_L-0.400,RIGHT,0.0,-0.4,0.4,PARTIAL_GAP_TOPOLOGY,True,False,3.8413191032816822,83.30360536197419
F+0.000_L-0.300,LEFT,0.0,-0.3,0.3,PARTIAL_GAP_TOPOLOGY,True,False,7.741034384582567,87.5010690834028
F+0.000_L-0.300,RIGHT,0.0,-0.3,0.3,PARTIAL_GAP_TOPOLOGY,True,False,4.331232488256164,83.86567026494171
F+0.000_L-0.200,LEFT,0.0,-0.2,0.2,PARTIAL_GAP_TOPOLOGY,True,False,5.025107173057598,84.63359142262394
F+0.000_L-0.200,RIGHT,0.0,-0.2,0.2,PARTIAL_GAP_TOPOLOGY,True,False,5.829871676847343,85.4994707394371
F+0.000_L-0.100,LEFT,0.0,-0.1,0.1,PARTIAL_GAP_TOPOLOGY,True,False,4.396841896950986,83.93946778529754
F+0.000_L-0.100,RIGHT,0.0,-0.1,0.1,PARTIAL_GAP_TOPOLOGY,True,False,4.0365434713696,83.53018177703547
A0,LEFT,0.0,0.0,0.0,PARTIAL_GAP_TOPOLOGY,True,False,4.864159049675965,84.4576485622698
A0,RIGHT,0.0,0.0,0.0,PARTIAL_GAP_TOPOLOGY,True,False,2.9702568994276635,82.22033077115128
F+0.000_L+0.100,LEFT,0.0,0.1,0.1,PARTIAL_GAP_TOPOLOGY,True,False,6.135891182155857,85.82409629638839
F+0.000_L+0.100,RIGHT,0.0,0.1,0.1,PARTIAL_GAP_TOPOLOGY,True,False,8.840815744009832,88.63418892238401
F+0.000_L+0.200,LEFT,0.0,0.2,0.2,PARTIAL_GAP_TOPOLOGY,True,False,4.02419515247505,83.51596278272024
F+0.000_L+0.200,RIGHT,0.0,0.2,0.2,PARTIAL_GAP_TOPOLOGY,True,False,3.1875140650322336,82.50622842584919
F+0.000_L+0.300,LEFT,0.0,0.3,0.3,PARTIAL_GAP_TOPOLOGY,True,False,3.1137356925699833,82.41076548392482
F+0.000_L+0.300,RIGHT,0.0,0.3,0.3,PARTIAL_GAP_TOPOLOGY,True,False,6.086297463100822,85.77162646460998
F+0.000_L+0.400,LEFT,0.0,0.4,0.4,PARTIAL_GAP_TOPOLOGY,True,False,3.0211661898532913,82.28869452834323
F+0.000_L+0.400,RIGHT,0.0,0.4,0.4,NO_GAP_TOPOLOGY,False,False,36.93097697244216,116.15261188272524
F+0.100_L-0.500,LEFT,0.1,-0.5,0.5099019513592785,NO_GAP_TOPOLOGY,False,False,70.75512482275707,116.52791265070783
F+0.100_L-0.500,RIGHT,0.1,-0.5,0.5099019513592785,PARTIAL_GAP_TOPOLOGY,True,False,3.4355976650527027,82.8175973252725
F+0.100_L-0.400,LEFT,0.1,-0.4,0.41231056256176607,PARTIAL_GAP_TOPOLOGY,True,False,7.920045737362728,87.68617405893868
F+0.100_L-0.400,RIGHT,0.1,-0.4,0.41231056256176607,PARTIAL_GAP_TOPOLOGY,True,False,3.3758585105155157,82.74381065423323
F+0.100_L-0.300,LEFT,0.1,-0.3,0.31622776601683794,PARTIAL_GAP_TOPOLOGY,True,False,9.078402276517592,88.87786491550642
F+0.100_L-0.300,RIGHT,0.1,-0.3,0.31622776601683794,PARTIAL_GAP_TOPOLOGY,True,False,4.103617751821639,83.60717454873621
F+0.100_L-0.200,LEFT,0.1,-0.2,0.223606797749979,PARTIAL_GAP_TOPOLOGY,True,False,4.228040017390631,83.74897790227037
F+0.100_L-0.200,RIGHT,0.1,-0.2,0.223606797749979,PARTIAL_GAP_TOPOLOGY,True,False,5.905225514303,85.57960293710049
