viewpoint_id,source_experiment,source_file,source_grid_stage,raw_360_ranges_persisted,scan_source_type,forward_ratio_W,lateral_ratio_W,forward_displacement,lateral_displacement,world_x_reconstructed,world_y_reconstructed,yaw_deg_reconstructed,source_candidate_valid,source_straight_line_path_clear_eval,viewpoint_geometry_valid,movement_feasibility_proven,inside_consistent,footprint_consistent,viewpoint_validity_consistent,local_transform_roundtrip_error,saved_hit_count,reconstructed_hit_count,saved_max_range_count,reconstructed_max_range_count,saved_opening_count,reconstructed_opening_count,scan_summary_consistent
F-0.100_L-0.700,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,-0.1,-0.7,-8.4,-58.8,57.03794579694353,-161.14884977027222,90.0,False,False,False,False,True,True,True,1.3877787807814457e-17,212,,148,,1,,
F-0.100_L-0.600,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,-0.1,-0.6,-8.4,-50.4,48.637945796943534,-161.14884977027222,90.0,False,False,False,False,True,True,True,1.3877787807814457e-17,215,,145,,1,,
F-0.100_L-0.500,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,-0.1,-0.5,-8.4,-42.0,40.237945796943535,-161.14884977027222,90.0,True,True,True,False,True,True,True,4.163336342344337e-17,291,291,69,69,2,2,True
F-0.100_L-0.400,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,-0.1,-0.4,-8.4,-33.6,31.837945796943533,-161.14884977027222,90.0,True,True,True,False,True,True,True,4.163336342344337e-17,291,291,69,69,2,2,True
F-0.100_L-0.300,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,-0.1,-0.3,-8.4,-25.2,23.43794579694353,-161.14884977027222,90.0,True,True,True,False,True,True,True,6.938893903907228e-17,290,290,70,70,2,2,True
F-0.100_L-0.200,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,-0.1,-0.2,-8.4,-16.8,15.037945796943534,-161.14884977027222,90.0,True,True,True,False,True,True,True,4.163336342344337e-17,289,289,71,71,2,2,True
F-0.100_L-0.100,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,-0.1,-0.1,-8.4,-8.4,6.637945796943534,-161.14884977027222,90.0,True,True,True,False,True,True,True,5.551115123125783e-17,289,289,71,71,2,2,True
F-0.100_L+0.000,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,-0.1,0.0,-8.4,0.0,-1.762054203056467,-161.14884977027222,90.0,True,True,True,False,True,True,True,5.55174528637922e-17,289,289,71,71,2,2,True
F-0.100_L+0.100,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,-0.1,0.1,-8.4,8.4,-10.162054203056467,-161.14884977027222,90.0,True,True,True,False,True,True,True,5.551115123125783e-17,289,289,71,71,2,2,True
F-0.100_L+0.200,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,-0.1,0.2,-8.4,16.8,-18.56205420305647,-161.14884977027222,90.0,True,True,True,False,True,True,True,8.777083671441753e-17,290,290,70,70,2,2,True
F-0.100_L+0.300,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,-0.1,0.3,-8.4,25.2,-26.962054203056468,-161.14884977027222,90.0,True,True,True,False,True,True,True,1.0007415106216802e-16,289,289,71,71,2,2,True
F-0.100_L+0.400,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,-0.1,0.4,-8.4,33.6,-35.362054203056466,-161.14884977027222,90.0,True,True,True,False,True,True,True,8.326672684688674e-17,290,290,70,70,2,2,True
F-0.100_L+0.500,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,-0.1,0.5,-8.4,42.0,-43.762054203056465,-161.14884977027222,90.0,False,False,False,False,True,True,True,8.326672684688674e-17,217,,143,,1,,
F-0.100_L+0.600,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,-0.1,0.6,-8.4,50.4,-52.162054203056464,-161.14884977027222,90.0,False,False,False,False,True,True,True,1.1102230246251565e-16,214,,146,,1,,
F-0.100_L+0.700,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,-0.1,0.7,-8.4,58.8,-60.56205420305646,-161.14884977027222,90.0,False,False,False,False,True,True,True,1.1102230246251565e-16,210,,150,,1,,
