viewpoint_id,grid_stage,forward_ratio_W,lateral_ratio_W,distance_ratio_W,direction_class,viewpoint_geometry_valid,movement_feasibility_proven,left_topology,right_topology,both_side_complete,left_observed_mouth_boundary_count_eval,right_observed_mouth_boundary_count_eval,left_near_boundary_visible_eval,left_far_boundary_visible_eval,left_near_endpoint_error_eval,left_far_endpoint_error_eval,right_near_boundary_visible_eval,right_far_boundary_visible_eval,right_near_endpoint_error_eval,right_far_endpoint_error_eval,left_valid_endpoint_pair,right_valid_endpoint_pair,left_valid_gap,right_valid_gap,left_gt_match_eval,right_gt_match_eval,forward_topology,incoming_topology,wall_segment_count,valid_termination_count,accepted_gap_count,incoming_true_gap_count,side_true_gap_count,false_accepted_gap_count,angular_detector_outgoing_match_eval
F-0.100_L-0.700,COARSE_0.10W,-0.1,-0.7,0.7071067811865475,BACKWARD_LOCAL_RIGHT,False,False,NOT_ANALYZED_INVALID,NOT_ANALYZED_INVALID,False,,,,,,,,,,,,,,,,,,,,,,,,,
F-0.100_L-0.600,COARSE_0.10W,-0.1,-0.6,0.6082762530298219,BACKWARD_LOCAL_RIGHT,False,False,NOT_ANALYZED_INVALID,NOT_ANALYZED_INVALID,False,,,,,,,,,,,,,,,,,,,,,,,,,
F-0.100_L-0.500,COARSE_0.10W,-0.1,-0.5,0.5099019513592785,BACKWARD_LOCAL_RIGHT,True,False,NO_GAP_TOPOLOGY,NO_GAP_TOPOLOGY,False,0,0,False,False,87.54969981910246,167.53879062982847,False,False,119.93727501663089,186.51875606947817,False,False,False,False,False,False,NO_GAP_TOPOLOGY,NO_GAP_TOPOLOGY,2,2,0,0,0,0,1
F-0.100_L-0.400,COARSE_0.10W,-0.1,-0.4,0.41231056256176607,BACKWARD_LOCAL_RIGHT,True,False,NO_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,0,1,False,False,24.544981233860337,104.48250619306144,True,False,3.591780579115476,83.00753325453312,False,False,False,False,False,False,NO_GAP_TOPOLOGY,NO_GAP_TOPOLOGY,2,3,1,0,0,1,1
F-0.100_L-0.300,COARSE_0.10W,-0.1,-0.3,0.31622776601683794,BACKWARD_LOCAL_RIGHT,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,4.429837161980525,83.97647150315821,True,False,3.6855360705951066,83.11973570364238,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,3,1,1,0,0,1
F-0.100_L-0.200,COARSE_0.10W,-0.1,-0.2,0.223606797749979,BACKWARD_LOCAL_RIGHT,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,4.79988875207665,84.38706611209405,True,False,4.655249635266462,84.22747895483876,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,3,1,1,0,0,1
F-0.100_L-0.100,COARSE_0.10W,-0.1,-0.1,0.1414213562373095,BACKWARD_LOCAL_RIGHT,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,5.838050669477141,85.5081749615537,True,False,6.862916301246151,86.58813103119597,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,2,1,1,0,0,1
F-0.100_L+0.000,COARSE_0.10W,-0.1,0.0,0.1,BACKWARD_CENTERLINE,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,7.419446080982069,87.16774820382246,True,False,4.732725859983033,84.3130943371143,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,2,1,1,0,0,1
F-0.100_L+0.100,COARSE_0.10W,-0.1,0.1,0.1414213562373095,BACKWARD_LOCAL_LEFT,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,4.464050221878995,84.01476654038295,True,False,3.0691480726238574,82.35230793052794,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,3,1,1,0,0,1
F-0.100_L+0.200,COARSE_0.10W,-0.1,0.2,0.223606797749979,BACKWARD_LOCAL_LEFT,True,False,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY,False,1,0,True,False,3.0397528919598895,82.31342691605774,False,False,11.064247902359183,90.90398816767332,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,2,1,1,0,0,1
