viewpoint_id,movement_safety_class,forward_displacement_over_W,branch_eval,topology_state,near_boundary_visible_eval,far_boundary_visible_eval,near_endpoint_error_eval,far_endpoint_error_eval
V0,SAFE_EXISTING,0.0,LEFT,PARTIAL_GAP_TOPOLOGY,True,False,4.864159049675965,84.4576485622698
V0,SAFE_EXISTING,0.0,RIGHT,PARTIAL_GAP_TOPOLOGY,True,False,2.9702568994276635,82.22033077115128
V1,SAFE_EXISTING,0.11055128298726015,LEFT,PARTIAL_GAP_TOPOLOGY,True,False,5.626784407435826,85.28279894186616
V1,SAFE_EXISTING,0.11055128298726015,RIGHT,PARTIAL_GAP_TOPOLOGY,True,False,4.270460916963189,83.79704384942173
V2,SAFE_EXISTING,0.20998331537459303,LEFT,PARTIAL_GAP_TOPOLOGY,True,False,5.114719099502734,84.7310856258845
V2,SAFE_EXISTING,0.20998331537459303,RIGHT,PARTIAL_GAP_TOPOLOGY,True,False,5.830050388220212,85.499660944474
V3,SAFE_EXISTING,0.3114405583952157,LEFT,PARTIAL_GAP_TOPOLOGY,True,False,3.7944243863722815,83.24856762774624
V3,SAFE_EXISTING,0.3114405583952157,RIGHT,PARTIAL_GAP_TOPOLOGY,True,False,5.610716010440224,85.26560910715588
H1,HISTORICAL_GEOMETRY_ONLY,0.2252326285304613,LEFT,PARTIAL_GAP_TOPOLOGY,True,False,4.109334250120521,83.61371791967447
H1,HISTORICAL_GEOMETRY_ONLY,0.2252326285304613,RIGHT,PARTIAL_GAP_TOPOLOGY,True,False,4.486881203413347,84.04028040473689
H2,HISTORICAL_GEOMETRY_ONLY,0.4671236037939083,LEFT,PARTIAL_GAP_TOPOLOGY,True,False,3.489332132623718,82.88340620903715
H2,HISTORICAL_GEOMETRY_ONLY,0.4671236037939083,RIGHT,PARTIAL_GAP_TOPOLOGY,True,False,4.910153165784876,84.50804302547441
H3,HISTORICAL_GEOMETRY_ONLY,0.6610844733168836,LEFT,PARTIAL_GAP_TOPOLOGY,True,False,3.3602371521864765,82.72440124728034
H3,HISTORICAL_GEOMETRY_ONLY,0.6610844733168836,RIGHT,PARTIAL_GAP_TOPOLOGY,True,False,3.097594063139281,82.38967250757331
