map_case,phase,sample_count,mean_lateral_ratio,component_ge2_fraction,mean_largest_fraction
M0_STRAIGHT,CORRIDOR,299,1.6651915407415478,0.0,1.0
M0_STRAIGHT,OPENING_APPROACH,0,nan,nan,nan
M0_STRAIGHT,BOUNDARY_CROSSING,0,nan,nan,nan
M0_STRAIGHT,JUNCTION_REGION,0,nan,nan,nan
M1_CROSS_BASELINE,CORRIDOR,149,1.6300407933102286,0.0,1.0
M1_CROSS_BASELINE,OPENING_APPROACH,12,3.647538503540859,0.0,1.0
M1_CROSS_BASELINE,BOUNDARY_CROSSING,42,4.692537121183647,0.8095238095238095,0.5952380952380952
M1_CROSS_BASELINE,JUNCTION_REGION,96,5.378579482219574,1.0,0.5
M2_T_JUNCTION,CORRIDOR,149,1.6310557109180828,0.0,1.0
M2_T_JUNCTION,OPENING_APPROACH,12,3.651406349094858,0.0,1.0
M2_T_JUNCTION,BOUNDARY_CROSSING,51,4.857419158464732,0.8235294117647058,0.5882352941176471
M2_T_JUNCTION,JUNCTION_REGION,87,5.604958851601032,1.0,0.5
M3_ANGLED_Y,CORRIDOR,149,1.5555771613030132,0.0,1.0
M3_ANGLED_Y,OPENING_APPROACH,11,2.617583411716161,0.0,1.0
M3_ANGLED_Y,BOUNDARY_CROSSING,46,1.9304141908764725,0.782608695652174,0.7772963449593885
M3_ANGLED_Y,JUNCTION_REGION,93,1.6175483542224567,0.27956989247311825,0.9306215290086256
M4_ASYMMETRIC_CROSS,CORRIDOR,149,1.6300407933102286,0.0,1.0
M4_ASYMMETRIC_CROSS,OPENING_APPROACH,12,3.6466397185750643,0.0,1.0
M4_ASYMMETRIC_CROSS,BOUNDARY_CROSSING,42,4.44563720840285,0.8095238095238095,0.5952380952380952
M4_ASYMMETRIC_CROSS,JUNCTION_REGION,96,4.934555796341526,1.0,0.5
M5_UNEQUAL_WIDTH,CORRIDOR,149,1.6300407933102286,0.0,1.0
M5_UNEQUAL_WIDTH,OPENING_APPROACH,12,3.647538503540859,0.0,1.0
M5_UNEQUAL_WIDTH,BOUNDARY_CROSSING,42,4.73710638921907,0.8095238095238095,0.5952380952380952
M5_UNEQUAL_WIDTH,JUNCTION_REGION,96,5.777415558286397,1.0,0.5075757575757577
