map_case,phase,sample_count,mean_lateral_ratio,component_ge2_fraction,mean_largest_fraction
M0_STRAIGHT,CORRIDOR_ONLY,299,1.4428115068135294,0.0,1.0
M0_STRAIGHT,CORRIDOR,0,nan,nan,nan
M0_STRAIGHT,OPENING_APPROACH,0,nan,nan,nan
M0_STRAIGHT,BOUNDARY_CROSSING,0,nan,nan,nan
M0_STRAIGHT,JUNCTION_REGION,0,nan,nan,nan
M1_CROSS_BASELINE,CORRIDOR_ONLY,0,nan,nan,nan
M1_CROSS_BASELINE,CORRIDOR,35,1.1152228049789705,0.0,1.0
M1_CROSS_BASELINE,OPENING_APPROACH,38,1.34908128227601,0.0,1.0
M1_CROSS_BASELINE,BOUNDARY_CROSSING,7,1.4330915824386246,0.0,1.0
M1_CROSS_BASELINE,JUNCTION_REGION,219,1.5946618504305874,0.0,1.0
M2_T_JUNCTION,CORRIDOR_ONLY,0,nan,nan,nan
M2_T_JUNCTION,CORRIDOR,35,1.1152228049789705,0.0,1.0
M2_T_JUNCTION,OPENING_APPROACH,38,1.34908128227601,0.0,1.0
M2_T_JUNCTION,BOUNDARY_CROSSING,7,1.4330915824386246,0.0,1.0
M2_T_JUNCTION,JUNCTION_REGION,219,1.890898623185255,0.0,1.0
M3_ANGLED_Y,CORRIDOR_ONLY,0,nan,nan,nan
M3_ANGLED_Y,CORRIDOR,35,1.1152228049789705,0.0,1.0
M3_ANGLED_Y,OPENING_APPROACH,38,1.34908128227601,0.0,1.0
M3_ANGLED_Y,BOUNDARY_CROSSING,7,1.432937596833756,0.0,1.0
M3_ANGLED_Y,JUNCTION_REGION,219,6.518460347709872,0.0821917808219178,0.9519389848454769
M4_ASYMMETRIC_CROSS,CORRIDOR_ONLY,0,nan,nan,nan
M4_ASYMMETRIC_CROSS,CORRIDOR,35,1.1152228049789705,0.0,1.0
M4_ASYMMETRIC_CROSS,OPENING_APPROACH,38,1.34908128227601,0.0,1.0
M4_ASYMMETRIC_CROSS,BOUNDARY_CROSSING,7,1.4330145454774195,0.0,1.0
M4_ASYMMETRIC_CROSS,JUNCTION_REGION,219,1.5786349939392694,0.0,1.0
M5_UNEQUAL_WIDTH,CORRIDOR_ONLY,0,nan,nan,nan
M5_UNEQUAL_WIDTH,CORRIDOR,35,1.1152228049789705,0.0,1.0
M5_UNEQUAL_WIDTH,OPENING_APPROACH,38,1.349141271260799,0.0,1.0
M5_UNEQUAL_WIDTH,BOUNDARY_CROSSING,7,1.437181324667057,0.0,1.0
M5_UNEQUAL_WIDTH,JUNCTION_REGION,219,1.2161797361622506,0.4200913242009132,0.8655555337697037
