threshold,phase,sample_count,boundary_count_mean,boundary_count_std,boundary_count_min,boundary_count_max,boundary_fraction_mean,boundary_fraction_std,boundary_fraction_min,boundary_fraction_max,max_gap_mean,max_gap_median,boundary_available_fraction,boundary_forward_zero_overlap_fraction,front_cohort_boundary_fraction
90,SPH_CORRIDOR,12,110.66666666666667,17.636767151480893,101,150,0.1627450980392157,0.02593642228158955,0.14852941176470588,0.22058823529411764,177.9795404607492,179.88761322297748,0.6046686746987951,0.017319277108433735,0.3682228915662651
90,SPH_OPENING_APPROACH,28,134.10714285714286,4.151929721004833,130,147,0.19747373176074556,0.006046275749283813,0.19145802650957292,0.2161764705882353,179.08063225631687,180.0,0.4910785619174434,0.05193075898801598,0.2178428761651132
90,SPH_BOUNDARY_CROSSING,1,129.0,0.0,129,129,0.18998527245949925,0.0,0.18998527245949925,0.18998527245949925,178.5826418529487,180.0,0.4883720930232558,0.05426356589147287,0.17054263565891473
90,SPH_JUNCTION_REGION,58,114.1896551724138,5.402607596949011,105,126,0.1681732771316845,0.00795671221936526,0.15463917525773196,0.18556701030927836,175.59776383760612,180.0,0.5452211988524838,0.012230107202174241,0.2784236750717198
90,SPH_POST_BOUNDARY,0,,,,,,,,,,,,,
120,SPH_CORRIDOR,12,107.41666666666667,14.913407465171138,100,145,0.15796568627450977,0.021931481566428143,0.14705882352941177,0.21323529411764705,180.30452256256137,180.0,0.6152055857253685,0.017843289371605897,0.3770364623739333
120,SPH_OPENING_APPROACH,28,125.53571428571429,4.895202774562218,121,141,0.18485167262781405,0.007141623974642946,0.17820324005891017,0.2073529411764706,184.19075451393314,180.0,0.4594594594594595,0.05547652916073969,0.20625889046941678
120,SPH_BOUNDARY_CROSSING,1,118.0,0.0,118,118,0.17378497790868924,0.0,0.17378497790868924,0.17378497790868924,185.67260984174584,180.0,0.5,0.059322033898305086,0.17796610169491525
120,SPH_JUNCTION_REGION,58,104.37931034482759,3.7638369372082243,96,110,0.15372505205423798,0.005543206093090171,0.14138438880706922,0.16200294550810015,182.42049227247063,180.0,0.5137099438387843,0.013379583746283449,0.2609844730756525
120,SPH_POST_BOUNDARY,0,,,,,,,,,,,,,
150,SPH_CORRIDOR,12,104.41666666666667,12.665295978468968,98,136,0.15355392156862743,0.018625435262454366,0.14411764705882352,0.2,181.48126188895466,180.0,0.6041500399042299,0.018355945730247406,0.37829209896249
150,SPH_OPENING_APPROACH,28,116.57142857142857,5.314592925068078,111,132,0.1716510315466393,0.007754983730836049,0.1634756995581738,0.19411764705882353,188.01406276016507,180.0,0.4185049019607843,0.05974264705882353,0.17463235294117646
150,SPH_BOUNDARY_CROSSING,1,110.0,0.0,110,110,0.16200294550810015,0.0,0.16200294550810015,0.16200294550810015,189.71466603045297,180.0,0.4636363636363636,0.06363636363636363,0.18181818181818182
150,SPH_JUNCTION_REGION,58,96.39655172413794,3.2954496065625976,88,100,0.14196841196485702,0.00485338675487864,0.12960235640648013,0.14727540500736377,186.32198743253824,180.0,0.481845823645144,0.014487569307816132,0.2509390091218029
150,SPH_POST_BOUNDARY,0,,,,,,,,,,,,,
180,SPH_CORRIDOR,12,53.75,16.345871038277526,42,97,0.07904411764705882,0.024038045644525774,0.061764705882352944,0.1426470588235294,188.33622544910347,180.0,0.2310077519379845,0.03565891472868217,0.20310077519379846
180,SPH_OPENING_APPROACH,28,89.85714285714286,3.767476284068741,84,97,0.13231635437680225,0.005541341501295615,0.12371134020618557,0.1426470588235294,192.0087146661397,180.0,0.2742448330683625,0.07750397456279809,0.14507154213036566
180,SPH_BOUNDARY_CROSSING,1,90.0,0.0,90,90,0.1325478645066274,0.0,0.1325478645066274,0.1325478645066274,192.95648813433957,180.0,0.36666666666666664,0.07777777777777778,0.17777777777777778
180,SPH_JUNCTION_REGION,58,68.01724137931035,2.029874969058905,64,72,0.10017266771621551,0.0029895065818246014,0.09425625920471281,0.10603829160530191,192.7068153365347,180.465050665387,0.4329531051964512,0.02053231939163498,0.24714828897338403
180,SPH_POST_BOUNDARY,0,,,,,,,,,,,,,
