threshold,phase,sample_count,component_count_mean,component_count_std,component_count_max,largest_component_size_mean,largest_component_fraction_mean,component_lifetime_mean,component_retention_mean,angular_separation_mean,angular_separation_max
120,SPH_CORRIDOR,12,1.1666666666666667,0.3726779962499649,2,97.75,0.9313176132521974,7.214285714285714,0.8280574985112283,48.921957643315,311.5901021821973
120,SPH_OPENING_APPROACH,28,2.2142857142857144,0.5578749768504754,4,65.25,0.5197229414123495,27.306451612903224,0.9307078102706049,51.42231307738348,307.91402201552813
120,SPH_BOUNDARY_CROSSING,1,4.0,0.0,4,57.0,0.4830508474576271,41.0,0.7029713901689708,25.940692621965802,270.43058803426567
120,SPH_JUNCTION_REGION,58,2.0689655172413794,1.1724137931034482,5,92.6896551724138,0.8857271627492797,67.69166666666666,0.8689883438496936,15.511836576485287,338.9999034776503
120,SPH_POST_BOUNDARY,0,,,,,,,,,
150,SPH_CORRIDOR,12,1.1666666666666667,0.3726779962499649,2,94.75,0.9271593327253381,7.214285714285714,0.826424807439845,49.88690514466256,310.6899100834538
150,SPH_OPENING_APPROACH,28,5.892857142857143,1.7796325004715705,8,64.14285714285714,0.5511394675393999,28.46060606060606,0.9082854647819063,10.123753609249851,307.0828723525079
150,SPH_BOUNDARY_CROSSING,1,7.0,0.0,7,57.0,0.5181818181818182,41.0,0.7968341182626897,1.477830137808036,258.639701349454
150,SPH_JUNCTION_REGION,58,5.637931034482759,1.410530297222179,9,56.1551724137931,0.5832021353795996,68.6788990825688,0.9402411432628232,13.480099406881372,288.556158541389
150,SPH_POST_BOUNDARY,0,,,,,,,,,
