frame,time,map_case,left_wall_range,right_wall_range,width_observation,estimated_corridor_width,estimated_offset,corridor_model_initialized,corridor_model_update_enabled,corridor_model_frozen,opening_candidate_count,opening_group_count,junction_detected,opening_groups_json,leader_speed,lidar_x_eval,lidar_y_eval,GT_corridor_width_eval_only,GT_phase_eval_only,GT_opening_within_sensor_range_eval_only,profile_max_error,nan_inf_state_count
0,0.016666666666666666,M0_STRAIGHT,40.599878930278855,43.400121069721145,84.0,nan,nan,False,False,False,0,0,False,[],1.799992790879454,-1.4001210697211428,-56.11000036445194,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
6,0.11666666666666665,M0_STRAIGHT,40.59088105491111,43.40911894508889,84.0,84.0,1.409118945088892,True,True,False,0,0,False,[],35.799365270424715,-1.4091189450888946,-54.19160676275653,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
12,0.21666666666666665,M0_STRAIGHT,40.53531294751899,43.46468705248101,84.0,84.0,1.4646870524810112,True,True,False,0,0,False,[],74.70761113595074,-1.4646870524810078,-48.090611113130194,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
18,0.31666666666666665,M0_STRAIGHT,40.48702976375732,43.51297023624268,84.0,84.0,1.5129702362426798,True,True,False,0,0,False,[],90.70103164960253,-1.5129702362426791,-39.58851052565637,84.0,CORRIDOR_ONLY,False,2.5579538487363607e-13,0
24,0.41666666666666663,M0_STRAIGHT,40.44291221096886,43.55708778903114,84.0,84.0,1.5570877890311365,True,True,False,0,0,False,[],91.83054442580818,-1.5570877890311379,-30.3186605656316,84.0,CORRIDOR_ONLY,False,2.5579538487363607e-13,0
30,0.5166666666666666,M0_STRAIGHT,40.37466120894308,43.62533879105692,84.0,84.0,1.6253387910569188,True,True,False,0,0,False,[],86.60232856960926,-1.6253387910569186,-21.481957312704125,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
36,0.6166666666666669,M0_STRAIGHT,40.309577760085205,43.690422239914795,84.0,84.0,1.6904222399147955,True,True,False,0,0,False,[],85.79494863914196,-1.6904222399147937,-12.89124605212723,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
42,0.7166666666666672,M0_STRAIGHT,40.282397379930906,43.717602620069094,84.0,84.0,1.7176026200690941,True,True,False,0,0,False,[],81.50258074131256,-1.7176026200690946,-4.507061081598024,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
48,0.8166666666666675,M0_STRAIGHT,40.288692692439696,43.711307307560304,84.0,84.0,1.711307307560304,True,True,False,0,0,False,[],70.30429010010621,-1.7113073075603027,3.0338031393864084,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
54,0.9166666666666679,M0_STRAIGHT,40.29020412434396,43.70979587565604,84.0,84.0,1.7097958756560416,True,True,False,0,0,False,[],58.311735955522366,-1.7097958756560423,9.321289108397265,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
60,1.016666666666668,M0_STRAIGHT,40.27942761514492,43.72057238485508,84.0,84.0,1.7205723848550818,True,True,False,0,0,False,[],54.7949434929637,-1.720572384855082,14.889938981472326,84.0,CORRIDOR_ONLY,False,2.5579538487363607e-13,0
66,1.1166666666666676,M0_STRAIGHT,40.270845843339735,43.729154156660265,84.0,84.0,1.7291541566602646,True,True,False,0,0,False,[],55.364950335487556,-1.7291541566602666,20.39019917920523,84.0,CORRIDOR_ONLY,False,1.9895196601282805e-13,0
72,1.2166666666666672,M0_STRAIGHT,40.26600097165107,43.73399902834893,84.0,84.0,1.7339990283489328,True,True,False,0,0,False,[],55.879706672721156,-1.7339990283489326,25.968043342398726,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
78,1.3166666666666669,M0_STRAIGHT,40.26353645098975,43.73646354901025,84.0,84.0,1.736463549010253,True,True,False,0,0,False,[],54.26456211937448,-1.736463549010251,31.483262626270488,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
84,1.4166666666666665,M0_STRAIGHT,40.26237680670749,43.73762319329251,84.0,84.0,1.7376231932925066,True,True,False,0,0,False,[],50.11485083963523,-1.737623193292506,36.68531306522541,84.0,CORRIDOR_ONLY,False,2.5579538487363607e-13,0
90,1.5166666666666662,M0_STRAIGHT,40.26191672139698,43.73808327860302,84.0,84.0,1.7380832786030211,True,True,False,0,0,False,[],44.71274723514146,-1.7380832786030214,41.38310984335222,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
96,1.6166666666666658,M0_STRAIGHT,40.26146866567113,43.73853133432887,84.0,84.0,1.7385313343288686,True,True,False,0,0,False,[],40.50059086154094,-1.7385313343288678,45.58776657370219,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
102,1.7166666666666655,M0_STRAIGHT,40.25985081295408,43.74014918704592,84.0,84.0,1.7401491870459225,True,True,False,0,0,False,[],39.87545241785106,-1.7401491870459238,49.56649051512116,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
108,1.816666666666665,M0_STRAIGHT,40.25543198270349,43.74456801729651,84.0,84.0,1.7445680172965083,True,True,False,0,0,False,[],43.14484590204801,-1.744568017296511,53.720157484727956,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
114,1.9166666666666647,M0_STRAIGHT,40.24942727499595,43.75057272500405,84.0,84.0,1.750572725004048,True,True,False,0,0,False,[],47.80785865506235,-1.7505727250040453,58.30891504001498,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
120,2.0166666666666644,M0_STRAIGHT,40.24545700857663,43.75454299142337,84.0,84.0,1.7545429914233708,True,True,False,0,0,False,[],51.12775309131851,-1.7545429914233706,63.29987852802625,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
126,2.116666666666664,M0_STRAIGHT,40.243785912846974,43.756214087153026,84.0,84.0,1.756214087153026,True,True,False,0,0,False,[],52.173041136871625,-1.7562140871530287,68.49365991459298,84.0,CORRIDOR_ONLY,False,2.5579538487363607e-13,0
