frame,time,yaw_eval_only,psi_current_deg,psi_stable_deg,orientation_error_eval_only,left_wall_orientation_deg,right_wall_orientation_deg,parallel_error_deg,left_wall_perp_distance,right_wall_perp_distance,estimated_corridor_width,estimated_offset,orientation_initialized,orientation_frozen,opening_candidate_count,opening_group_count,junction_detected,opening_groups_json,GT_phase_eval_only,GT_opening_visible_eval_only,noise_std,dropout,occlusion
0,0.016666666666666666,0.0,0.0,nan,nan,0.0,0.0,0.0,40.59987893027889,43.4001210697211,nan,nan,False,False,0,0,False,[],CORRIDOR,False,0.0,0.0,0.0
6,0.11666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.59088105491117,43.40911894508883,84.0,1.409118945088828,True,False,0,0,False,[],CORRIDOR,False,0.0,0.0,0.0
12,0.21666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.53531294751893,43.464687052481075,84.0,1.4646870524810716,True,False,0,0,False,[],CORRIDOR,False,0.0,0.0,0.0
18,0.31666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.48702976375726,43.512970236242744,84.0,1.5129702362427402,True,False,0,0,False,[],CORRIDOR,False,0.0,0.0,0.0
24,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.442912210968885,43.5570877890311,84.0,1.5570877890311081,True,False,0,0,False,[],CORRIDOR,False,0.0,0.0,0.0
30,0.5166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.37466120894306,43.62533879105694,84.0,1.5570877890311081,True,True,2,0,False,[],CORRIDOR,True,0.0,0.0,0.0
36,0.6166666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.309577760085205,43.6904222399148,84.0,1.5570877890311081,True,True,4,2,True,"[{""group_id"":0,""start_angle_deg"":-18.5,""end_angle_deg"":-16.5,""center_angle_deg"":-17.5,""angular_width_deg"":2.0,""beam_count"":2,""start_body_angle_deg"":-18.5,""end_body_angle_deg"":-16.5,""center_body_angle_deg"":-17.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":4.590157163371302,""max_delta_range"":8.614823665967094},{""group_id"":1,""start_angle_deg"":15.5,""end_angle_deg"":17.5,""center_angle_deg"":16.5,""angular_width_deg"":2.0,""beam_count"":2,""start_body_angle_deg"":15.5,""end_body_angle_deg"":17.5,""center_body_angle_deg"":16.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":7.9438299313386125,""max_delta_range"":12.129005273229978}]",CORRIDOR,True,0.0,0.0,0.0
42,0.7166666666666672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.28239737993091,43.717602620069094,84.0,1.5570877890311081,True,True,6,2,True,"[{""group_id"":0,""start_angle_deg"":-19.5,""end_angle_deg"":-16.5,""center_angle_deg"":-18.0,""angular_width_deg"":3.0,""beam_count"":3,""start_body_angle_deg"":-19.5,""end_body_angle_deg"":-16.5,""center_body_angle_deg"":-18.0,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":8.23947895197937,""max_delta_range"":15.719045239659266},{""group_id"":1,""start_angle_deg"":15.5,""end_angle_deg"":18.5,""center_angle_deg"":17.0,""angular_width_deg"":3.0,""beam_count"":3,""start_body_angle_deg"":15.5,""end_body_angle_deg"":18.5,""center_body_angle_deg"":17.0,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":11.907552666948371,""max_delta_range"":19.643423781884138}]",CORRIDOR,True,0.0,0.0,0.0
48,0.8166666666666675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.288692692439774,43.711307307560226,84.0,1.5570877890311081,True,True,8,2,True,"[{""group_id"":0,""start_angle_deg"":-20.5,""end_angle_deg"":-16.5,""center_angle_deg"":-18.5,""angular_width_deg"":4.0,""beam_count"":4,""start_body_angle_deg"":-20.5,""end_body_angle_deg"":-16.5,""center_body_angle_deg"":-18.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":11.744091135419936,""max_delta_range"":22.1966873572745},{""group_id"":1,""start_angle_deg"":15.5,""end_angle_deg"":19.5,""center_angle_deg"":17.5,""angular_width_deg"":4.0,""beam_count"":4,""start_body_angle_deg"":15.5,""end_body_angle_deg"":19.5,""center_body_angle_deg"":17.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":15.47726010821594,""max_delta_range"":26.251125483645595}]",CORRIDOR,True,0.0,0.0,0.0
54,0.9166666666666679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.29020412434408,43.70979587565591,84.0,1.5570877890311081,True,True,10,2,True,"[{""group_id"":0,""start_angle_deg"":-21.5,""end_angle_deg"":-16.5,""center_angle_deg"":-19.0,""angular_width_deg"":5.0,""beam_count"":5,""start_body_angle_deg"":-21.5,""end_body_angle_deg"":-16.5,""center_body_angle_deg"":-19.0,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":15.00528873837022,""max_delta_range"":28.030956922584167},{""group_id"":1,""start_angle_deg"":15.5,""end_angle_deg"":20.5,""center_angle_deg"":18.0,""angular_width_deg"":5.0,""beam_count"":5,""start_body_angle_deg"":15.5,""end_body_angle_deg"":20.5,""center_body_angle_deg"":18.0,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":18.817635565389462,""max_delta_range"":32.199323897773795}]",CORRIDOR,True,0.0,0.0,0.0
