map_case,frame,time,group_id,start_angle_deg,end_angle_deg,center_angle_deg,angular_width_deg,beam_count,mean_range,max_range,mean_delta_range,max_delta_range,junction_detected
M1_CROSS_BASELINE,0,0.016666666666666666,0,-71.5,-23.5,-47.5,48.0,48,136.0882873960568,150.0,71.77228714992239,104.09913439065754,True
M1_CROSS_BASELINE,0,0.016666666666666666,1,22.5,70.5,46.5,48.0,48,135.183762750706,150.0,73.74735855185536,106.79451127718413,True
M1_CROSS_BASELINE,6,0.11666666666666665,0,-74.5,-24.5,-49.5,50.0,50,136.267779899775,150.0,73.92224443911599,104.84151805017484,True
M1_CROSS_BASELINE,6,0.11666666666666665,1,22.5,73.5,48.0,51.0,51,134.76828564049137,150.0,74.44771839693293,107.55445029232911,True
M1_CROSS_BASELINE,12,0.21666666666666665,0,-82.5,-25.5,-54.0,57.0,57,135.07647988811144,150.0,75.89104706454657,106.10816058351169,True
M1_CROSS_BASELINE,12,0.21666666666666665,1,24.5,81.5,53.0,57.0,57,134.18883060755115,150.0,78.02771768189477,108.95940927773412,True
M1_CROSS_BASELINE,18,0.31666666666666665,0,-163.5,-16.5,-90.0,147.0,147,99.3027436781606,150.0,33.878944238142495,106.53531294751899,True
M1_CROSS_BASELINE,18,0.31666666666666665,1,26.5,93.5,60.0,67.0,67,130.18813066610437,150.0,77.94070755045884,109.46468705248101,True
M1_CROSS_BASELINE,24,0.41666666666666663,0,-163.5,-16.5,-90.0,147.0,147,101.06907124143699,150.0,35.645271801418886,106.53531294751899,True
M1_CROSS_BASELINE,24,0.41666666666666663,1,29.5,106.5,68.0,77.0,77,120.34672580918966,150.0,71.28644117358482,109.46468705248101,True
M1_CROSS_BASELINE,30,0.5166666666666666,0,-163.5,-16.5,-90.0,147.0,147,102.49227464606015,150.0,37.06847520604205,106.53531294751899,True
M1_CROSS_BASELINE,30,0.5166666666666666,1,32.5,116.5,74.5,84.0,84,115.1391524998438,150.0,67.78484647041444,109.46468705248101,True
M1_CROSS_BASELINE,36,0.6166666666666669,0,-163.5,-16.5,-90.0,147.0,147,103.40746681874852,150.0,37.98366737873044,106.53531294751899,True
M1_CROSS_BASELINE,36,0.6166666666666669,1,36.5,125.5,81.0,89.0,89,111.75134000600734,150.0,65.4865310060348,109.46468705248101,True
M1_CROSS_BASELINE,42,0.7166666666666672,0,-163.5,-16.5,-90.0,147.0,147,103.84117626012605,150.0,38.41737682010795,106.53531294751899,True
M1_CROSS_BASELINE,42,0.7166666666666672,1,40.5,132.5,86.5,92.0,92,110.00738598018914,150.0,64.1103256320408,109.46468705248101,True
M1_CROSS_BASELINE,48,0.8166666666666675,0,-163.5,-16.5,-90.0,147.0,147,103.90983283338277,150.0,38.48603339336468,106.53531294751899,True
M1_CROSS_BASELINE,48,0.8166666666666675,1,46.5,137.5,92.0,91.0,91,110.56116413997312,150.0,64.895346029592,109.46468705248101,True
M1_CROSS_BASELINE,54,0.9166666666666679,0,-163.5,-16.5,-90.0,147.0,147,103.73269895641066,150.0,38.30889951639256,106.53531294751899,True
M1_CROSS_BASELINE,54,0.9166666666666679,1,51.5,141.5,96.5,90.0,90,111.16299652614228,150.0,65.19996542362156,109.46468705248101,True
M1_CROSS_BASELINE,60,1.016666666666668,0,-163.5,-16.5,-90.0,147.0,147,103.3850591504194,150.0,37.961259710401286,106.53531294751899,True
M1_CROSS_BASELINE,60,1.016666666666668,1,56.5,144.5,100.5,88.0,88,112.39239785034778,150.0,65.93612634546784,109.46468705248101,True
M1_CROSS_BASELINE,66,1.1166666666666676,0,-163.5,-16.5,-90.0,147.0,147,102.87014163925612,150.0,37.446342199238025,106.53531294751899,True
M1_CROSS_BASELINE,66,1.1166666666666676,1,62.5,147.5,105.0,85.0,85,114.52242331330672,150.0,67.19000505749743,109.46468705248101,True
M1_CROSS_BASELINE,72,1.2166666666666672,0,-163.5,-16.5,-90.0,147.0,147,102.18755152821615,150.0,36.76375208819807,106.53531294751899,True
M1_CROSS_BASELINE,72,1.2166666666666672,1,68.5,149.5,109.0,81.0,81,117.3531988062938,150.0,69.069161203647,109.46468705248101,True
M1_CROSS_BASELINE,78,1.3166666666666669,0,-163.5,-16.5,-90.0,147.0,147,101.33611564239406,150.0,35.91231620237596,106.53531294751899,True
M1_CROSS_BASELINE,78,1.3166666666666669,1,75.5,151.5,113.5,76.0,76,121.45262325664103,150.0,71.75369437719958,109.46468705248101,True
M1_CROSS_BASELINE,84,1.4166666666666665,0,-163.5,-16.5,-90.0,147.0,147,100.43675304035774,150.0,35.012953600339635,106.53531294751899,True
M1_CROSS_BASELINE,84,1.4166666666666665,1,82.5,152.5,117.5,70.0,70,126.84403362642513,150.0,75.78384196576194,109.46468705248101,True
M1_CROSS_BASELINE,90,1.5166666666666662,0,-163.5,-16.5,-90.0,147.0,147,99.61783025858803,150.0,34.19403081856992,106.53531294751899,True
M1_CROSS_BASELINE,90,1.5166666666666662,1,89.5,154.5,122.0,65.0,65,132.95147816536593,150.0,79.54604861259398,109.46468705248101,True
M1_CROSS_BASELINE,96,1.6166666666666658,0,-153.5,-94.5,-124.0,59.0,59,134.8861021026413,150.0,76.20204964341642,105.64140360413344,True
M1_CROSS_BASELINE,96,1.6166666666666658,1,95.5,155.5,125.5,60.0,60,133.3732779001423,150.0,78.96895266724417,109.97051282525626,True
M1_CROSS_BASELINE,102,1.7166666666666655,0,-154.5,-99.5,-127.0,55.0,55,135.3949670897032,150.0,74.65514368475255,105.12575121309779,True
M1_CROSS_BASELINE,102,1.7166666666666655,1,100.5,156.5,128.5,56.0,56,133.88671791512365,150.0,77.44295743764847,109.44744343341385,True
M1_CROSS_BASELINE,108,1.816666666666665,0,-155.5,-104.5,-130.0,51.0,51,135.98454003491807,150.0,72.85457292131876,104.24366449259605,True
M1_CROSS_BASELINE,108,1.816666666666665,1,105.5,157.5,131.5,52.0,52,134.4839516135197,150.0,75.67576422702881,108.5931968523949,True
M1_CROSS_BASELINE,114,1.9166666666666647,0,-156.5,-109.5,-133.0,47.0,47,136.84781253455813,150.0,70.9442280916305,102.96106848146218,True
M1_CROSS_BASELINE,114,1.9166666666666647,1,111.5,158.5,135.0,47.0,47,135.05599481028298,150.0,73.09958455848599,107.07662189504876,True
M1_CROSS_BASELINE,120,2.0166666666666644,0,-157.5,-114.5,-136.0,43.0,43,138.01555635086072,150.0,68.89280151779693,101.22592050889575,True
M1_CROSS_BASELINE,120,2.0166666666666644,1,117.5,159.5,138.5,42.0,42,135.93141937012763,150.0,70.21064462612614,104.92861380049538,True
M1_CROSS_BASELINE,126,2.116666666666664,0,-157.5,-119.5,-138.5,38.0,38,139.9436345908528,150.0,68.25580002259407,98.95662907562311,True
