frame,time,map_case,lidar_x_eval,lidar_y_eval,corridor_width,max_range,local_lateral_offset,opening_group_count,junction_detected,detector_state,leader_speed,measured_profile_summary,expected_profile_summary,max_abs_valid_profile_delta,GT_phase_eval_only,nan_inf_state_count,noise_std,dropout,occlusion
0,0.016666666666666666,M0_STRAIGHT,-1.4001210697211428,-56.11000036445194,84.0,150.0,1.4001210697211448,0,False,LIDAR_PROFILE_CLEAR,1.799992790879454,"{""min"":40.599878930278855,""mean"":79.11392351851745,""max"":150.0}","{""min"":40.599878930278855,""mean"":79.11392351851745,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
6,0.11666666666666665,M0_STRAIGHT,-1.4091189450888946,-54.19160676275653,84.0,150.0,1.409118945088892,0,False,LIDAR_PROFILE_CLEAR,35.799365270424715,"{""min"":40.59088105491111,""mean"":79.11374216357615,""max"":150.0}","{""min"":40.59088105491111,""mean"":79.11374216357615,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
12,0.21666666666666665,M0_STRAIGHT,-1.4646870524810078,-48.090611113130194,84.0,150.0,1.4646870524810112,0,False,LIDAR_PROFILE_CLEAR,74.70761113595074,"{""min"":40.53531294751899,""mean"":79.11262217130653,""max"":150.0}","{""min"":40.53531294751899,""mean"":79.11262217130653,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
18,0.31666666666666665,M0_STRAIGHT,-1.5129702362426791,-39.58851052565637,84.0,150.0,1.5129702362426798,0,False,LIDAR_PROFILE_CLEAR,90.70103164960253,"{""min"":40.48702976375732,""mean"":79.1116490089099,""max"":150.0}","{""min"":40.48702976375732,""mean"":79.1116490089099,""max"":150.0}",2.5579538487363607e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
24,0.41666666666666663,M0_STRAIGHT,-1.5570877890311379,-30.3186605656316,84.0,150.0,1.5570877890311365,0,False,LIDAR_PROFILE_CLEAR,91.83054442580818,"{""min"":40.44291221096886,""mean"":79.11075980608481,""max"":150.0}","{""min"":40.44291221096886,""mean"":79.11075980608481,""max"":150.0}",2.5579538487363607e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
30,0.5166666666666666,M0_STRAIGHT,-1.6253387910569186,-21.481957312704125,84.0,150.0,1.6253387910569188,0,False,LIDAR_PROFILE_CLEAR,86.60232856960926,"{""min"":40.37466120894308,""mean"":79.10938418617889,""max"":150.0}","{""min"":40.37466120894308,""mean"":79.1093841861789,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
36,0.6166666666666669,M0_STRAIGHT,-1.6904222399147937,-12.89124605212723,84.0,150.0,1.6904222399147955,0,False,LIDAR_PROFILE_CLEAR,85.79494863914196,"{""min"":40.309577760085205,""mean"":79.10807240927984,""max"":150.0}","{""min"":40.309577760085205,""mean"":79.10807240927984,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
42,0.7166666666666672,M0_STRAIGHT,-1.7176026200690946,-4.507061081598024,84.0,150.0,1.7176026200690941,0,False,LIDAR_PROFILE_CLEAR,81.50258074131256,"{""min"":40.282397379930906,""mean"":79.10752458037065,""max"":150.0}","{""min"":40.282397379930906,""mean"":79.10752458037065,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
48,0.8166666666666675,M0_STRAIGHT,-1.7113073075603027,3.0338031393864084,84.0,150.0,1.711307307560304,0,False,LIDAR_PROFILE_CLEAR,70.30429010010621,"{""min"":40.288692692439696,""mean"":79.10765146432757,""max"":150.0}","{""min"":40.288692692439696,""mean"":79.10765146432757,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
54,0.9166666666666679,M0_STRAIGHT,-1.7097958756560423,9.321289108397265,84.0,150.0,1.7097958756560416,0,False,LIDAR_PROFILE_CLEAR,58.311735955522366,"{""min"":40.29020412434396,""mean"":79.10768192770178,""max"":150.0}","{""min"":40.29020412434396,""mean"":79.10768192770178,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
60,1.016666666666668,M0_STRAIGHT,-1.720572384855082,14.889938981472326,84.0,150.0,1.7205723848550818,0,False,LIDAR_PROFILE_CLEAR,54.7949434929637,"{""min"":40.27942761514492,""mean"":79.10746472384936,""max"":150.0}","{""min"":40.27942761514492,""mean"":79.10746472384936,""max"":150.0}",2.5579538487363607e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
66,1.1166666666666676,M0_STRAIGHT,-1.7291541566602666,20.39019917920523,84.0,150.0,1.7291541566602646,0,False,LIDAR_PROFILE_CLEAR,55.364950335487556,"{""min"":40.270845843339735,""mean"":79.10729175560314,""max"":150.0}","{""min"":40.270845843339735,""mean"":79.10729175560316,""max"":150.0}",1.9895196601282805e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
72,1.2166666666666672,M0_STRAIGHT,-1.7339990283489326,25.968043342398726,84.0,150.0,1.7339990283489328,0,False,LIDAR_PROFILE_CLEAR,55.879706672721156,"{""min"":40.26600097165107,""mean"":79.10719410572639,""max"":150.0}","{""min"":40.26600097165107,""mean"":79.10719410572639,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
78,1.3166666666666669,M0_STRAIGHT,-1.736463549010251,31.483262626270488,84.0,150.0,1.736463549010253,0,False,LIDAR_PROFILE_CLEAR,54.26456211937448,"{""min"":40.26353645098975,""mean"":79.10714443255559,""max"":150.0}","{""min"":40.26353645098975,""mean"":79.1071444325556,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
84,1.4166666666666665,M0_STRAIGHT,-1.737623193292506,36.68531306522541,84.0,150.0,1.7376231932925066,0,False,LIDAR_PROFILE_CLEAR,50.11485083963523,"{""min"":40.26237680670749,""mean"":79.10712105956897,""max"":150.0}","{""min"":40.26237680670749,""mean"":79.10712105956895,""max"":150.0}",2.5579538487363607e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
90,1.5166666666666662,M0_STRAIGHT,-1.7380832786030214,41.38310984335222,84.0,150.0,1.7380832786030211,0,False,LIDAR_PROFILE_CLEAR,44.71274723514146,"{""min"":40.26191672139698,""mean"":79.10711178640824,""max"":150.0}","{""min"":40.26191672139698,""mean"":79.10711178640824,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
96,1.6166666666666658,M0_STRAIGHT,-1.7385313343288678,45.58776657370219,84.0,150.0,1.7385313343288686,0,False,LIDAR_PROFILE_CLEAR,40.50059086154094,"{""min"":40.26146866567113,""mean"":79.10710275570747,""max"":150.0}","{""min"":40.26146866567113,""mean"":79.10710275570747,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
102,1.7166666666666655,M0_STRAIGHT,-1.7401491870459238,49.56649051512116,84.0,150.0,1.7401491870459225,0,False,LIDAR_PROFILE_CLEAR,39.87545241785106,"{""min"":40.25985081295408,""mean"":79.10707014738911,""max"":150.0}","{""min"":40.25985081295408,""mean"":79.10707014738911,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
