source,scan_index,cumulative_width_ratio,outgoing_match,opening_count,candidate
SAFE_FORWARD,0,0.0,1,2,
SAFE_FORWARD,1,0.11055128298726015,1,2,
SAFE_FORWARD,2,0.20998331537459303,1,2,
SAFE_FORWARD,3,0.3114405583952157,1,2,
UNSAFE_FORWARD,0,0.0,1,2,
UNSAFE_FORWARD,1,0.2252326285304613,1,2,
UNSAFE_FORWARD,2,0.4671236037939083,1,2,
UNSAFE_FORWARD,3,0.6610844733168836,1,2,
VIRTUAL_0.10W,,0.0,1,2,A0
VIRTUAL_0.10W,,0.1,1,2,F
VIRTUAL_0.10W,,0.1,1,2,L
VIRTUAL_0.10W,,0.1,1,2,R
VIRTUAL_0.10W,,0.1,1,2,FL
VIRTUAL_0.10W,,0.1,1,2,FR
