case,candidate,opening_id,center_angle_body,center_angle_corridor,angular_width,confidence,GT_match_eval_only,GT_branch_type_eval_only,center_error_eval_only,IoU_eval_only,wall_support,wall_fitted_points,line_residual,tangent_support,tangent_deg
M1_CROSS_BASELINE,A0,0,-179.5,-179.5,38.0,0.9363853748788096,-180.0,INCOMING,0.5,,2,6,3.304743322323415e-14,True,179.9999999999999
M1_CROSS_BASELINE,A0,1,-1.0,-1.0,45.0,0.955129169385331,0,OUTGOING,1.0,0.5462959141663949,2,4,2.512147933894047e-15,True,2.842170943040401e-14
M1_CROSS_BASELINE,F,0,-179.5,-179.5,38.0,0.9363853748788096,-180.0,INCOMING,0.5,,2,6,3.304743322323415e-14,True,179.9999999999999
M1_CROSS_BASELINE,F,1,-1.0,-1.0,49.0,0.9744816918967101,0,OUTGOING,1.0,0.5238158040810506,2,4,0.0,True,0.0
M1_CROSS_BASELINE,L,0,-175.0,-175.0,39.0,0.9376685974956276,-180.0,INCOMING,5.0,,2,6,1.3290524792877821e-14,True,179.99999999999994
M1_CROSS_BASELINE,L,1,-4.5,-4.5,46.0,0.9605913346234016,0,OUTGOING,4.5,0.5330894504385106,2,4,2.5121479338940478e-15,True,0.0
M1_CROSS_BASELINE,R,0,3.0,3.0,45.0,0.9657545611880984,0,OUTGOING,3.0,0.5457390144181002,2,4,2.5121479338940403e-15,True,-1.1368683772161603e-13
M1_CROSS_BASELINE,R,1,177.5,177.5,38.0,0.9457167151285826,-180.0,INCOMING,2.5,,2,6,3.084728056565728e-14,True,179.9999999999999
M1_CROSS_BASELINE,FL,0,-176.5,-176.5,38.0,0.9405382102359514,-180.0,INCOMING,3.5,,2,5,1.4730377596445767e-14,True,-179.9999999999999
M1_CROSS_BASELINE,FL,1,-3.5,-3.5,48.0,0.9685154042040895,0,OUTGOING,3.5,0.5271339098608543,2,4,3.5527136788004958e-15,True,0.0
M1_CROSS_BASELINE,FR,0,2.0,2.0,47.0,0.9697723334999879,0,OUTGOING,2.0,0.5389442278173654,2,4,2.5121479338940403e-15,True,-1.1368683772161603e-13
M1_CROSS_BASELINE,FR,1,178.5,178.5,38.0,0.9412165490193203,-180.0,INCOMING,1.5,,2,6,9.652843762970783e-15,True,-179.99999999999977
M0_STRAIGHT,A0,0,-179.5,nan,38.0,0.9363887873862786,-180.0,INCOMING,0.5,,2,6,3.0230378980083246e-14,True,179.9999999999999
M0_STRAIGHT,A0,1,-0.5,nan,38.0,0.9363887873862786,,FALSE,nan,,2,6,0.0,True,0.0
M0_STRAIGHT,F,0,-179.5,nan,38.0,0.9363887873862786,-180.0,INCOMING,0.5,,2,6,3.0230378980083246e-14,True,179.9999999999999
M0_STRAIGHT,F,1,-0.5,nan,38.0,0.9363887873862786,,FALSE,nan,,2,6,0.0,True,0.0
M0_STRAIGHT,L,0,-175.0,nan,39.0,0.9376450533647878,-180.0,INCOMING,5.0,,2,6,1.56436513554655e-14,True,179.9999999999999
M0_STRAIGHT,L,1,-5.0,nan,39.0,0.9376450533647878,,FALSE,nan,,2,6,8.48922380674e-15,True,2.842170943040401e-14
M0_STRAIGHT,R,0,2.5,nan,38.0,0.9457109603065157,,FALSE,nan,,2,6,6.080474355835468e-15,True,0.0
M0_STRAIGHT,R,1,177.5,nan,38.0,0.9457109603065152,-180.0,INCOMING,2.5,,2,6,3.177568941678021e-14,True,179.9999999999999
M0_STRAIGHT,FL,0,-176.5,nan,38.0,0.9405140369967091,-180.0,INCOMING,3.5,,2,5,1.579772555461855e-14,True,-179.9999999999999
M0_STRAIGHT,FL,1,-3.5,nan,38.0,0.9405140369967091,,FALSE,nan,,2,5,7.203087035218119e-15,True,5.684341886080802e-14
M0_STRAIGHT,FR,0,1.5,nan,38.0,0.9412187855751646,,FALSE,nan,,2,6,4.099564549203673e-15,True,0.0
M0_STRAIGHT,FR,1,178.5,nan,38.0,0.9412187855751648,-180.0,INCOMING,1.5,,2,6,9.61939453485063e-15,True,-179.99999999999977
