map_case,metric,before,after,delta
M1_CROSS_BASELINE,leader_max_front_pack_gap,14.743830117985436,11.832205386749948,-2.911624731235488
M1_CROSS_BASELINE,leader_max_normalized_gap,0.39004841581972055,0.31302130652777643,-0.07702710929194412
M1_CROSS_BASELINE,leader_disconnected_sample_count,37.0,0,-37.0
M1_CROSS_BASELINE,leader_disconnected_duration,3.7,0.0,-3.7
M1_CROSS_BASELINE,leader_min_component_size,1.0,680,679.0
M1_CROSS_BASELINE,max_disconnected_robot_count,679.0,0,-679.0
M1_CROSS_BASELINE,leader_max_hop,8.0,9,1.0
M1_CROSS_BASELINE,mean_communication_edge_count,46724.01,46738.09,14.07999999999447
M1_CROSS_BASELINE,mean_support_edge_count,9598.6,9598.01,-0.5900000000001455
M1_CROSS_BASELINE,leader_mean_forward_speed,23.84491779740389,23.88898362916999,0.044065831766097574
M1_CROSS_BASELINE,leader_max_forward_speed,91.55625344884334,91.55625344884334,0.0
M1_CROSS_BASELINE,leader_min_drive_scale,1.0,0.5,-0.5
M1_CROSS_BASELINE,min_inter_robot_distance,0.02516461704636165,0.006731616424915459,-0.01843300062144619
M1_CROSS_BASELINE,max_overlap_pair_count,68.0,70,2.0
M1_CROSS_BASELINE,max_speed,91.56642944324835,91.56642944324835,0.0
M1_CROSS_BASELINE,max_lateral_span,346.0150727813155,349.17435266236834,3.1592798810528393
M1_CROSS_BASELINE,min_boundary_largest_component_fraction,0.5,0.5029239766081871,0.0029239766081871066
M1_CROSS_BASELINE,max_boundary_second_component_fraction,0.5,0.49707602339181284,-0.002923976608187162
M1_CROSS_BASELINE,max_boundary_component_count,4.0,5,1.0
M1_CROSS_BASELINE,max_nan_inf_state_count,0.0,0,0.0
M1_CROSS_BASELINE,max_outside_free_space_robot_count,0.0,0,0.0
