case,direction,magnitude_ratio,magnitude_absolute,forward_offset,lateral_offset,candidate_valid,candidate_inside_free_space_eval,candidate_walkable_eval,wall_clearance_eval,opening_count,outgoing_match_count_eval,outgoing_total_eval,plus90_visible_eval,minus90_visible_eval,new_side_branch_count_eval,incoming_match_eval,false_opening_count_eval,valid_lidar_hits,max_range_count,wall_support_count,tangent_support_count,opening_center_error_eval,opening_IoU_eval,visibility_gain_vs_A0_eval
M1_CROSS_BASELINE,L,0.1,8.4,0.0,8.4,True,True,True,31.837945796943533,2,1,3,False,False,0,1,0,285,75,10,2,4.5,0.5330894504385106,0
M1_CROSS_BASELINE,L,0.2,16.8,0.0,16.8,True,True,True,23.437945796943534,2,1,3,False,False,0,1,0,288,72,18,2,9.5,0.5299098629745067,0
M1_CROSS_BASELINE,L,0.3,25.2,0.0,25.2,True,True,True,15.037945796943536,2,1,3,False,False,0,1,0,288,72,43,2,19.5,0.41633407392383404,0
M1_CROSS_BASELINE,L,0.4,33.6,0.0,33.6,True,True,True,6.637945796943534,2,1,3,False,False,0,1,0,288,72,65,2,29.0,0.34552230742223566,0
M1_CROSS_BASELINE,L,0.5,42.0,0.0,42.0,False,False,False,1.762054203056465,1,1,3,False,False,0,0,0,222,138,43,1,90.0,0.009570771818267083,0
M1_CROSS_BASELINE,L,0.6,50.4,0.0,50.4,False,False,False,10.162054203056464,1,1,3,False,False,0,0,0,219,141,48,1,89.5,0.0210884273290902,0
M1_CROSS_BASELINE,R,0.1,8.4,0.0,-8.4,True,True,True,35.362054203056466,2,1,3,False,False,0,1,0,287,73,10,2,3.0,0.5457390144181002,0
M1_CROSS_BASELINE,R,0.2,16.8,0.0,-16.8,True,True,True,26.962054203056468,2,1,3,False,False,0,1,0,286,74,12,2,7.0,0.5432761436627099,0
M1_CROSS_BASELINE,R,0.3,25.2,0.0,-25.2,True,True,True,18.562054203056466,2,1,3,False,False,0,1,0,287,73,35,2,16.0,0.44096354294782303,0
M1_CROSS_BASELINE,R,0.4,33.6,0.0,-33.6,True,True,True,10.162054203056464,2,1,3,False,False,0,1,0,288,72,55,2,24.5,0.3746672255667747,0
M1_CROSS_BASELINE,R,0.5,42.0,0.0,-42.0,True,True,True,1.762054203056465,2,1,3,False,False,0,1,0,289,71,93,2,38.5,0.28816707968448335,0
M1_CROSS_BASELINE,R,0.6,50.4,0.0,-50.4,False,False,False,6.637945796943534,1,1,3,False,False,0,0,0,220,140,46,1,89.5,0.016823397262326144,0
