case,direction,magnitude_ratio,candidate_valid,opening_id,start_angle_deg,end_angle_deg,center_angle_deg,angular_width_deg,confidence,matched_GT_branch_eval_only,center_error_deg_eval_only,GT_mouth_IoU_eval_only,wall_support,tangent_support
M1_CROSS_BASELINE,L,0.1,True,0,165.5,-155.5,-175.0,39.0,0.9376685974956276,INCOMING,5.0,,6,True
M1_CROSS_BASELINE,L,0.1,True,1,-27.5,18.5,-4.5,46.0,0.9605913346234016,0,4.5,0.5330894504385106,4,True
M1_CROSS_BASELINE,L,0.2,True,0,168.5,-147.5,-169.5,44.0,0.9277268241916317,INCOMING,10.5,,12,True
M1_CROSS_BASELINE,L,0.2,True,1,-32.5,13.5,-9.5,46.0,0.9389887361051883,0,9.5,0.5299098629745067,6,True
M1_CROSS_BASELINE,L,0.3,True,0,171.5,-131.5,-160.0,57.0,0.8619874479789846,INCOMING,20.0,,24,True
M1_CROSS_BASELINE,L,0.3,True,1,-48.5,9.5,-19.5,58.0,0.8687181323132708,0,19.5,0.41633407392383404,19,True
M1_CROSS_BASELINE,L,0.4,True,0,175.5,-116.5,-150.5,68.0,0.8013589126237798,INCOMING,29.5,,34,True
M1_CROSS_BASELINE,L,0.4,True,1,-63.5,5.5,-29.0,69.0,0.8014194812734705,0,29.0,0.34552230742223566,31,True
M1_CROSS_BASELINE,L,0.5,False,0,-2.5,-177.5,90.0,185.0,0.9662632466013628,0,90.0,0.009570771818267083,43,True
M1_CROSS_BASELINE,L,0.6,False,0,-7.5,-173.5,89.5,194.0,0.9585083268936119,0,89.5,0.0210884273290902,48,True
M1_CROSS_BASELINE,R,0.1,True,0,-19.5,25.5,3.0,45.0,0.9657545611880984,0,3.0,0.5457390144181002,4,True
M1_CROSS_BASELINE,R,0.1,True,1,158.5,-163.5,177.5,38.0,0.9457167151285826,INCOMING,2.5,,6,True
M1_CROSS_BASELINE,R,0.2,True,0,-15.5,29.5,7.0,45.0,0.9543077309563983,0,7.0,0.5432761436627099,4,True
