metric,map_case,m0_corridor_mean,junction_opening_mean,absolute_difference,relative_change,effect_direction
local_front_lateral_span,M1_CROSS_BASELINE,64.04376762470527,nan,nan,nan,NO_DATA
local_front_lateral_span,M2_T_JUNCTION,64.04376762470527,nan,nan,nan,NO_DATA
local_front_lateral_span,M3_ANGLED_Y,64.04376762470527,nan,nan,nan,NO_DATA
local_front_lateral_span,M4_ASYMMETRIC_CROSS,64.04376762470527,nan,nan,nan,NO_DATA
local_front_lateral_span,M5_UNEQUAL_WIDTH,64.04376762470527,nan,nan,nan,NO_DATA
local_front_lateral_velocity_variance,M1_CROSS_BASELINE,113.57752035752401,nan,nan,nan,NO_DATA
local_front_lateral_velocity_variance,M2_T_JUNCTION,113.57752035752401,nan,nan,nan,NO_DATA
local_front_lateral_velocity_variance,M3_ANGLED_Y,113.57752035752401,nan,nan,nan,NO_DATA
local_front_lateral_velocity_variance,M4_ASYMMETRIC_CROSS,113.57752035752401,nan,nan,nan,NO_DATA
local_front_lateral_velocity_variance,M5_UNEQUAL_WIDTH,113.57752035752401,nan,nan,nan,NO_DATA
motion_bearing_spread,M1_CROSS_BASELINE,121.58130567676756,nan,nan,nan,NO_DATA
motion_bearing_spread,M2_T_JUNCTION,121.58130567676756,nan,nan,nan,NO_DATA
motion_bearing_spread,M3_ANGLED_Y,121.58130567676756,nan,nan,nan,NO_DATA
motion_bearing_spread,M4_ASYMMETRIC_CROSS,121.58130567676756,nan,nan,nan,NO_DATA
motion_bearing_spread,M5_UNEQUAL_WIDTH,121.58130567676756,nan,nan,nan,NO_DATA
boundary_angular_spread,M1_CROSS_BASELINE,354.51905838642426,nan,nan,nan,NO_DATA
boundary_angular_spread,M2_T_JUNCTION,354.51905838642426,nan,nan,nan,NO_DATA
boundary_angular_spread,M3_ANGLED_Y,354.51905838642426,nan,nan,nan,NO_DATA
boundary_angular_spread,M4_ASYMMETRIC_CROSS,354.51905838642426,nan,nan,nan,NO_DATA
boundary_angular_spread,M5_UNEQUAL_WIDTH,354.51905838642426,nan,nan,nan,NO_DATA
mean_neighbor_degree,M1_CROSS_BASELINE,44.775,nan,nan,nan,NO_DATA
mean_neighbor_degree,M2_T_JUNCTION,44.775,nan,nan,nan,NO_DATA
mean_neighbor_degree,M3_ANGLED_Y,44.775,nan,nan,nan,NO_DATA
mean_neighbor_degree,M4_ASYMMETRIC_CROSS,44.775,nan,nan,nan,NO_DATA
mean_neighbor_degree,M5_UNEQUAL_WIDTH,44.775,nan,nan,nan,NO_DATA
lidar_left_wall_support,M1_CROSS_BASELINE,0.9588652482269504,nan,nan,nan,NO_DATA
lidar_left_wall_support,M2_T_JUNCTION,0.9588652482269504,nan,nan,nan,NO_DATA
lidar_left_wall_support,M3_ANGLED_Y,0.9588652482269504,nan,nan,nan,NO_DATA
lidar_left_wall_support,M4_ASYMMETRIC_CROSS,0.9588652482269504,nan,nan,nan,NO_DATA
lidar_left_wall_support,M5_UNEQUAL_WIDTH,0.9588652482269504,nan,nan,nan,NO_DATA
lidar_right_wall_support,M1_CROSS_BASELINE,1.0,nan,nan,nan,NO_DATA
lidar_right_wall_support,M2_T_JUNCTION,1.0,nan,nan,nan,NO_DATA
lidar_right_wall_support,M3_ANGLED_Y,1.0,nan,nan,nan,NO_DATA
lidar_right_wall_support,M4_ASYMMETRIC_CROSS,1.0,nan,nan,nan,NO_DATA
lidar_right_wall_support,M5_UNEQUAL_WIDTH,1.0,nan,nan,nan,NO_DATA
lidar_forward_range,M1_CROSS_BASELINE,150.0,nan,nan,nan,NO_DATA
lidar_forward_range,M2_T_JUNCTION,150.0,nan,nan,nan,NO_DATA
lidar_forward_range,M3_ANGLED_Y,150.0,nan,nan,nan,NO_DATA
lidar_forward_range,M4_ASYMMETRIC_CROSS,150.0,nan,nan,nan,NO_DATA
lidar_forward_range,M5_UNEQUAL_WIDTH,150.0,nan,nan,nan,NO_DATA
lidar_free_space_angular_span,M1_CROSS_BASELINE,32.6,nan,nan,nan,NO_DATA
lidar_free_space_angular_span,M2_T_JUNCTION,32.6,nan,nan,nan,NO_DATA
lidar_free_space_angular_span,M3_ANGLED_Y,32.6,nan,nan,nan,NO_DATA
lidar_free_space_angular_span,M4_ASYMMETRIC_CROSS,32.6,nan,nan,nan,NO_DATA
lidar_free_space_angular_span,M5_UNEQUAL_WIDTH,32.6,nan,nan,nan,NO_DATA
lidar_range_profile_change,M1_CROSS_BASELINE,2.240324723657474,nan,nan,nan,NO_DATA
lidar_range_profile_change,M2_T_JUNCTION,2.240324723657474,nan,nan,nan,NO_DATA
lidar_range_profile_change,M3_ANGLED_Y,2.240324723657474,nan,nan,nan,NO_DATA
lidar_range_profile_change,M4_ASYMMETRIC_CROSS,2.240324723657474,nan,nan,nan,NO_DATA
lidar_range_profile_change,M5_UNEQUAL_WIDTH,2.240324723657474,nan,nan,nan,NO_DATA
