map_case,frame,timestamp,profile_junction_detected,junction_detection_latched,braking_active,leader_speed,stationary_dwell_steps,provisional_fixed_anchor,pointcloud_ready,pointcloud_called,pointcloud_opening_count,primary_pointcloud_call_count,pointcloud_called_before_ready_count,anchor_entry_time,anchor_x_eval_only,anchor_y_eval_only,anchor_heading_local_deg,detection_to_anchor_distance_eval_only,anchor_drift_eval_only,GT_phase_eval_only,nan_inf,outside
M1_CROSS_BASELINE,0,0.016666666666666666,False,False,False,1.799992790879454,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,6,0.11666666666666665,False,False,False,35.799365270424715,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,12,0.21666666666666665,False,False,False,74.70761113595074,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,18,0.31666666666666665,False,False,False,90.70103164960238,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,24,0.41666666666666663,False,False,False,91.83054442580814,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,30,0.5166666666666666,False,False,False,86.6023285696093,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,36,0.6166666666666669,True,True,False,85.79494863914204,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,42,0.7166666666666672,True,True,True,70.19072902978665,0,False,False,False,0,0,0,nan,nan,nan,nan,7.822373063063103,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,48,0.8166666666666675,True,True,True,46.63207801785093,0,False,False,False,0,0,0,nan,nan,nan,nan,13.463603872534256,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,54,0.9166666666666679,True,True,True,26.970377232074462,0,False,False,False,0,0,0,nan,nan,nan,nan,16.929615427782505,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,60,1.016666666666668,True,True,True,13.763640680474992,0,False,False,False,0,0,0,nan,nan,nan,nan,18.805280633420505,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,66,1.1166666666666676,True,True,True,6.059328408339286,0,False,False,False,0,0,0,nan,nan,nan,nan,19.69469533281165,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,72,1.2166666666666672,True,True,True,2.0929475948490355,0,False,False,False,0,0,0,nan,nan,nan,nan,20.045873830194857,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,78,1.3166666666666669,True,True,True,0.32612144251851904,4,False,False,False,0,0,0,nan,nan,nan,nan,20.139290664204314,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,84,1.4166666666666665,True,True,False,0.0,6,True,True,True,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,90,1.5166666666666662,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,96,1.6166666666666658,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,102,1.7166666666666655,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,108,1.816666666666665,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,114,1.9166666666666647,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,120,2.0166666666666644,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,126,2.116666666666664,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,132,2.2166666666666637,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,138,2.3166666666666633,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,144,2.416666666666663,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,150,2.5166666666666626,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,156,2.6166666666666623,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,162,2.716666666666662,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,168,2.8166666666666615,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,174,2.916666666666661,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,180,3.016666666666661,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,186,3.1166666666666605,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
