scan_index,cumulative_local_advance,GT_branch_id_eval_only,GT_branch_angle_deg_eval_only,GT_local_angle_deg_eval_only,visible_as_opening_eval_only
0,0.0,0,0,0.0,True
0,0.0,1,-90,90.0,False
0,0.0,2,90,-90.0,False
1,9.286307770929852,0,0,0.0,True
1,9.286307770929852,1,-90,90.0,False
1,9.286307770929852,2,90,-90.0,False
2,17.638598491465814,0,0,0.0,True
2,17.638598491465814,1,-90,90.0,False
2,17.638598491465814,2,90,-90.0,False
3,26.16100690519812,0,0,0.0,True
3,26.16100690519812,1,-90,90.0,False
3,26.16100690519812,2,90,-90.0,False
