orientation_deg,branch_id_eval,branch_label_eval,is_outgoing_eval,detected_eval,opening_group_id,opening_center_deg,opening_width_deg,detector_confidence,opening_group_count,center_error_deg_eval,orientation_valid
-90,0,AXIAL_FORWARD,True,True,1,89.0,45.0,0.955129169385331,2,1.0,True
-90,1,MINUS90,True,False,,,,,2,,True
-90,2,PLUS90,True,False,,,,,2,,True
-90,INCOMING,INCOMING,False,True,0,-89.5,38.0,0.9363853748788096,2,0.5,True
-75,0,AXIAL_FORWARD,True,True,1,74.0,45.0,0.955129169385331,2,1.0,True
-75,1,MINUS90,True,False,,,,,2,,True
-75,2,PLUS90,True,False,,,,,2,,True
-75,INCOMING,INCOMING,False,True,0,-104.5,38.0,0.9363853748788096,2,0.5,True
-60,0,AXIAL_FORWARD,True,True,1,59.0,45.0,0.955129169385331,2,1.0,True
-60,1,MINUS90,True,False,,,,,2,,True
-60,2,PLUS90,True,False,,,,,2,,True
-60,INCOMING,INCOMING,False,True,0,-119.5,38.0,0.9363853748788096,2,0.5,True
-45,0,AXIAL_FORWARD,True,True,1,44.0,45.0,0.955129169385331,2,1.0,True
-45,1,MINUS90,True,False,,,,,2,,True
-45,2,PLUS90,True,False,,,,,2,,True
-45,INCOMING,INCOMING,False,True,0,-134.5,38.0,0.9363853748788096,2,0.5,True
-30,0,AXIAL_FORWARD,True,True,1,29.0,45.0,0.955129169385331,2,1.0,True
-30,1,MINUS90,True,False,,,,,2,,True
-30,2,PLUS90,True,False,,,,,2,,True
-30,INCOMING,INCOMING,False,True,0,-149.5,38.0,0.9363853748788096,2,0.5,True
-15,0,AXIAL_FORWARD,True,True,1,14.0,45.0,0.955129169385331,2,1.0,True
-15,1,MINUS90,True,False,,,,,2,,True
-15,2,PLUS90,True,False,,,,,2,,True
-15,INCOMING,INCOMING,False,True,0,-164.5,38.0,0.9363853748788096,2,0.5,True
0,0,AXIAL_FORWARD,True,True,1,-1.0,45.0,0.955129169385331,2,1.0,True
0,1,MINUS90,True,False,,,,,2,,True
0,2,PLUS90,True,False,,,,,2,,True
0,INCOMING,INCOMING,False,True,0,-179.5,38.0,0.9363853748788096,2,0.5,True
15,0,AXIAL_FORWARD,True,True,0,-16.0,45.0,0.955129169385331,2,1.0,True
15,1,MINUS90,True,False,,,,,2,,True
15,2,PLUS90,True,False,,,,,2,,True
15,INCOMING,INCOMING,False,True,1,165.5,38.0,0.9363853748788096,2,0.5,True
30,0,AXIAL_FORWARD,True,True,0,-31.0,45.0,0.955129169385331,2,1.0,True
30,1,MINUS90,True,False,,,,,2,,True
30,2,PLUS90,True,False,,,,,2,,True
30,INCOMING,INCOMING,False,True,1,150.5,38.0,0.9363853748788096,2,0.5,True
45,0,AXIAL_FORWARD,True,True,0,-46.0,45.0,0.955129169385331,2,1.0,True
45,1,MINUS90,True,False,,,,,2,,True
45,2,PLUS90,True,False,,,,,2,,True
45,INCOMING,INCOMING,False,True,1,135.5,38.0,0.9363853748788096,2,0.5,True
60,0,AXIAL_FORWARD,True,True,0,-61.0,45.0,0.955129169385331,2,1.0,True
60,1,MINUS90,True,False,,,,,2,,True
60,2,PLUS90,True,False,,,,,2,,True
60,INCOMING,INCOMING,False,True,1,120.5,38.0,0.9363853748788096,2,0.5,True
75,0,AXIAL_FORWARD,True,True,0,-76.0,45.0,0.955129169385331,2,1.0,True
75,1,MINUS90,True,False,,,,,2,,True
75,2,PLUS90,True,False,,,,,2,,True
75,INCOMING,INCOMING,False,True,1,105.5,38.0,0.9363853748788096,2,0.5,True
90,0,AXIAL_FORWARD,True,True,0,-91.0,45.0,0.955129169385331,2,1.0,True
90,1,MINUS90,True,False,,,,,2,,True
90,2,PLUS90,True,False,,,,,2,,True
90,INCOMING,INCOMING,False,True,1,90.5,38.0,0.9363853748788096,2,0.5,True
