angle_deg,range_m,hit,local_x_m,local_y_m
-180.000000,2.907295,1,-2.907295,-0.000000
-179.000000,2.759620,1,-2.759200,-0.048162
-178.000000,2.602596,1,-2.601011,-0.090829
-177.000000,2.458516,1,-2.455147,-0.128669
-176.000000,2.358224,1,-2.352479,-0.164501
-175.000000,2.239298,1,-2.230776,-0.195168
-174.000000,2.177213,1,-2.165286,-0.227581
-173.000000,2.130011,1,-2.114134,-0.259583
-172.000000,1.996505,1,-1.977075,-0.277860
-171.000000,1.920382,1,-1.896739,-0.300414
-170.000000,1.886981,1,-1.858314,-0.327671
-169.000000,1.821253,1,-1.787791,-0.347511
-168.000000,1.756428,1,-1.718046,-0.365182
-167.000000,1.672086,1,-1.629231,-0.376137
-166.000000,1.649486,1,-1.600489,-0.399047
-165.000000,1.624877,1,-1.569511,-0.420549
-164.000000,1.520340,1,-1.461445,-0.419063
-163.000000,1.506319,1,-1.440500,-0.440405
-162.000000,1.468932,1,-1.397037,-0.453925
-161.000000,1.506399,1,-1.424328,-0.490435
-160.000000,1.509918,1,-1.418858,-0.516422
-159.000000,1.579220,1,-1.474329,-0.565942
-158.000000,1.570426,1,-1.456074,-0.588292
-157.000000,1.639897,1,-1.509533,-0.640759
-156.000000,1.660969,1,-1.517370,-0.675577
-155.000000,1.676433,1,-1.519364,-0.708491
-154.000000,1.633657,1,-1.468321,-0.716148
-153.000000,1.721544,1,-1.533907,-0.781564
-152.000000,1.766312,1,-1.559561,-0.829233
-151.000000,1.802845,1,-1.576804,-0.874037
-150.000000,1.786945,1,-1.547540,-0.893472
-149.000000,1.853763,1,-1.588985,-0.954759
-148.000000,1.875961,1,-1.590905,-0.994108
-147.000000,1.920390,1,-1.610574,-1.045919
-146.000000,2.018097,1,-1.673078,-1.128505
-145.000000,2.006111,1,-1.643310,-1.150658
-144.000000,2.076075,1,-1.679580,-1.220286
-143.000000,2.153159,1,-1.719589,-1.295803
-142.000000,2.161800,1,-1.703522,-1.330937
-141.000000,2.232014,1,-1.734600,-1.404652
-140.000000,2.298412,1,-1.760686,-1.477391
-139.000000,2.360763,1,-1.781691,-1.548800
-138.000000,2.390253,1,-1.776304,-1.599392
-137.000000,2.502284,1,-1.830055,-1.706554
-136.000000,2.619096,1,-1.884020,-1.819377
-135.000000,2.616154,1,-1.849900,-1.849900
-134.000000,2.779143,1,-1.930555,-1.999148
-133.000000,2.855046,1,-1.947136,-2.088048
-132.000000,2.938508,1,-1.966246,-2.183737
-131.000000,3.133254,1,-2.055600,-2.364697
-130.000000,3.221999,1,-2.071061,-2.468194
-129.000000,3.300855,1,-2.077296,-2.565246
-128.000000,3.490271,1,-2.148825,-2.750371
-127.000000,3.672056,1,-2.209899,-2.932634
-126.000000,3.833778,1,-2.253438,-3.101592
-125.000000,4.065572,1,-2.331916,-3.330322
-124.000000,4.273384,1,-2.389646,-3.542796
-123.000000,4.554962,1,-2.480810,-3.820112
-122.000000,4.872785,1,-2.582183,-4.132356
-121.000000,5.146687,1,-2.650740,-4.411572
-120.000000,5.562859,1,-2.781429,-4.817577
-119.000000,6.000000,0,-2.908858,-5.247718
-118.000000,6.000000,0,-2.816829,-5.297686
-117.000000,6.000000,0,-2.723943,-5.346039
-116.000000,6.000000,0,-2.630227,-5.392764
-115.000000,6.000000,0,-2.535710,-5.437847
-114.000000,6.000000,0,-2.440420,-5.481273
-113.000000,6.000000,0,-2.344387,-5.523029
-112.000000,6.000000,0,-2.247640,-5.563103
-111.000000,6.000000,0,-2.150208,-5.601483
-110.000000,6.000000,0,-2.052121,-5.638156
-109.000000,6.000000,0,-1.953409,-5.673111
-108.000000,6.000000,0,-1.854102,-5.706339
-107.000000,6.000000,0,-1.754230,-5.737829
-106.000000,6.000000,0,-1.653824,-5.767570
-105.000000,6.000000,0,-1.552914,-5.795555
-104.000000,6.000000,0,-1.451531,-5.821774
-103.000000,6.000000,0,-1.349706,-5.846220
-102.000000,6.000000,0,-1.247470,-5.868886
-101.000000,6.000000,0,-1.144854,-5.889763
-100.000000,6.000000,0,-1.041889,-5.908847
-99.000000,5.375073,1,-0.840847,-5.308897
-98.000000,4.798158,1,-0.667775,-4.751463
-97.000000,4.283462,1,-0.522023,-4.251534
-96.000000,3.913253,1,-0.409046,-3.891816
-95.000000,3.601415,1,-0.313884,-3.587710
-94.000000,3.361022,1,-0.234453,-3.352834
-93.000000,3.134531,1,-0.164049,-3.130235
-92.000000,2.858072,1,-0.099745,-2.856331
-91.000000,2.697127,1,-0.047071,-2.696716
-90.000000,2.584635,1,0.000000,-2.584635
-89.000000,2.367278,1,0.041315,-2.366918
-88.000000,2.289770,1,0.079912,-2.288375
-87.000000,2.189935,1,0.114612,-2.186933
-86.000000,2.130532,1,0.148618,-2.125342
-85.000000,2.022782,1,0.176297,-2.015085
-84.000000,1.909662,1,0.199614,-1.899201
-83.000000,1.832888,1,0.223373,-1.819226
-82.000000,1.767145,1,0.245939,-1.749948
-81.000000,1.756585,1,0.274790,-1.734958
-80.000000,1.639176,1,0.284640,-1.614273
-79.000000,1.588430,1,0.303087,-1.559246
-78.000000,1.557577,1,0.323838,-1.523540
-77.000000,1.496377,1,0.336612,-1.458025
-76.000000,1.450284,1,0.350856,-1.407205
-75.000000,1.381888,1,0.357659,-1.334801
-74.000000,1.376713,1,0.379474,-1.323382
-73.000000,1.327911,1,0.388244,-1.269888
-72.000000,1.342569,1,0.414877,-1.276859
-71.000000,1.295569,1,0.421796,-1.224984
-70.000000,1.245506,1,0.425988,-1.170393
-69.000000,1.238253,1,0.443750,-1.156009
-68.000000,1.181566,1,0.442622,-1.095529
-67.000000,1.198357,1,0.468235,-1.103093
-66.000000,1.143028,1,0.464911,-1.044208
-65.000000,1.161289,1,0.490782,-1.052486
-64.000000,1.123502,1,0.492511,-1.009796
-63.000000,1.192039,1,0.541175,-1.062115
-62.000000,1.151435,1,0.540566,-1.016657
-61.000000,1.162563,1,0.563622,-1.016801
-60.000000,1.237203,1,0.618602,-1.071449
-59.000000,1.243307,1,0.640351,-1.065722
-58.000000,1.300537,1,0.689179,-1.102918
-57.000000,1.389708,1,0.756889,-1.165507
-56.000000,1.325712,1,0.741329,-1.099065
-55.000000,1.361911,1,0.781160,-1.115612
-54.000000,1.418556,1,0.833806,-1.147636
-53.000000,1.460897,1,0.879190,-1.166724
-52.000000,1.476638,1,0.909109,-1.163606
-51.000000,1.513870,1,0.952709,-1.176498
-50.000000,1.581741,1,1.016723,-1.211684
-49.000000,1.619615,1,1.062563,-1.222339
-48.000000,1.619353,1,1.083559,-1.203414
-47.000000,1.697625,1,1.157777,-1.241564
-46.000000,1.754324,1,1.218656,-1.261955
-45.000000,1.778912,1,1.257881,-1.257881
-44.000000,1.880081,1,1.352417,-1.306014
-43.000000,1.913258,1,1.399268,-1.304839
-42.000000,2.040433,1,1.516337,-1.365316
-41.000000,2.095587,1,1.581559,-1.374829
-40.000000,2.178088,1,1.668512,-1.400048
-39.000000,2.251316,1,1.749601,-1.416799
-38.000000,2.368306,1,1.866250,-1.458075
-37.000000,2.425301,1,1.936932,-1.459583
