map_case,frame,timestamp,wall_reference,range_ceiling,dynamic_span,open_threshold,open_support_count,opening_group_count,junction_detected,leader_x_eval_only,leader_y_eval_only,runtime_gt_map_used
M1_PRE_CORRIDOR_55PCT,0,0.016666666666666666,45.634678537822005,150.0,104.365321462178,103.03560534201992,96,2,True,-1.4001210697211428,-216.11000036445193,False
M1_PRE_CORRIDOR_55PCT,6,0.11666666666666665,45.639251044562116,150.0,104.36074895543788,103.03766297005296,96,2,True,-1.4091189450888937,-214.19160676275652,False
M1_PRE_CORRIDOR_55PCT,12,0.21666666666666665,45.66748943809402,150.0,104.33251056190598,103.05037024714233,98,2,True,-1.4646870524810047,-208.0906111131302,False
M1_PRE_CORRIDOR_55PCT,18,0.31666666666666665,45.70625431324787,150.0,104.29374568675213,103.06781444096154,98,2,True,-1.512970236242673,-199.58851052565635,False
M1_PRE_CORRIDOR_55PCT,24,0.41666666666666663,45.75259562427489,150.0,104.24740437572511,103.08866803092371,98,2,True,-1.5570877890311259,-190.31866056563157,False
M1_PRE_CORRIDOR_55PCT,30,0.5166666666666666,45.720506585566945,150.0,104.27949341443306,103.07422796350514,98,2,True,-1.6253387910568955,-181.48195731270405,False
M1_PRE_CORRIDOR_55PCT,36,0.6166666666666669,45.69623394539399,150.0,104.303766054606,103.0633052754273,98,2,True,-1.690422239914758,-172.89124605212714,False
M1_PRE_CORRIDOR_55PCT,42,0.7166666666666672,45.70985878773712,150.0,104.29014121226288,103.06943645448172,98,2,True,-1.7176026200690448,-164.50706108159798,False
M1_PRE_CORRIDOR_55PCT,48,0.8166666666666675,45.70670310558895,150.0,104.29329689441104,103.06801639751504,98,2,True,-1.7113073075602405,-156.96619686061356,False
M1_PRE_CORRIDOR_55PCT,54,0.9166666666666679,45.70594546271232,150.0,104.29405453728768,103.06767545822055,98,2,True,-1.7097958756559746,-150.67871089160275,False
M1_PRE_CORRIDOR_55PCT,60,1.016666666666668,45.71134745628314,150.0,104.28865254371686,103.07010635532743,98,2,True,-1.7205723848550107,-145.11006101852766,False
M1_PRE_CORRIDOR_55PCT,66,1.1166666666666676,45.71564928308641,150.0,104.2843507169136,103.07204217738888,100,2,True,-1.7291541566601936,-139.60980082079473,False
M1_PRE_CORRIDOR_55PCT,72,1.2166666666666672,45.71807789565753,150.0,104.28192210434247,103.07313505304589,102,2,True,-1.7339990283488587,-134.03195665760123,False
M1_PRE_CORRIDOR_55PCT,78,1.3166666666666669,45.71931329800552,150.0,104.28068670199448,103.07369098410248,103,2,True,-1.736463549010176,-128.51673737372934,False
M1_PRE_CORRIDOR_55PCT,84,1.4166666666666665,45.71989459857711,150.0,104.28010540142289,103.0739525693597,106,2,True,-1.7376231932924309,-123.31468693477427,False
M1_PRE_CORRIDOR_55PCT,90,1.5166666666666662,45.72012522779512,150.0,104.27987477220488,103.07405635250781,108,2,True,-1.738083278602946,-118.61689015664723,False
M1_PRE_CORRIDOR_55PCT,96,1.6166666666666658,45.720349826884274,150.0,104.27965017311573,103.07415742209793,112,2,True,-1.7385313343287923,-114.41223342629699,False
M1_PRE_CORRIDOR_55PCT,102,1.7166666666666655,45.7211608158432,150.0,104.2788391841568,103.07452236712945,114,2,True,-1.7401491870458499,-110.43350948487776,False
M1_PRE_CORRIDOR_55PCT,108,1.816666666666665,45.723375864535065,150.0,104.27662413546494,103.07551913904078,118,2,True,-1.7445680172964442,-106.27984251527074,False
