map_case,frame,timestamp,threshold_mode,noise_model,noise_fraction,noise_sigma,noise_seed,tau,worst_wall_range,w_tau_lower_bound,w_tau_upper_bound,threshold_interval_valid,threshold_alpha,selected_threshold,frozen55_threshold,frozen55_opening_count,frozen55_junction_detected,w_tau_opening_count,w_tau_junction_detected,active_opening_count,active_opening_present,active_junction_detected,current_junction_evidence,junction_confirmed,confirmation_frame,confirmation_time,system_state,state_transition,active_open_support_count,smoothing_window,interval_threshold_count,interval_junction_stable,interval_opening_count_stable,interval_junction_consistency,interval_opening_count_consistency,anchor_stop_on_detect,anchor_fixed,anchor_fix_frame,anchor_fix_time,post_fix_position_drift,post_fix_max_position_drift,post_fix_max_normal_motion,leader_x_eval_only,leader_y_eval_only,runtime_gt_map_used,left_lateral_range,right_lateral_range,estimated_corridor_width,estimated_lateral_offset,adaptive_worst_wall_range,adaptive_margin_ratio,adaptive_lower_bound,adaptive_upper_bound,adaptive_selected_threshold,adaptive_estimate_valid,adaptive_fallback_used,adaptive_estimate_source
M1_PRE_CORRIDOR_55PCT,0,0.016666666666666666,w-tau,none,0.05,2.5,17,7.5,100.0,104.05179430126633,142.5,True,0.05,105.97420458620302,103.03560534201992,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,94,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.4001210697211428,-216.11000036445193,False,40.61844563155516,43.41996834770542,84.03841397926058,1.4007613580751297,94.59254027387847,0.1,104.05179430126633,142.5,105.97420458620302,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,6,0.11666666666666665,w-tau,none,0.05,2.5,17,7.5,100.0,104.05633998655614,142.5,True,0.05,105.97852298722833,103.03766297005296,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,94,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.4091189450888937,-214.19160676275652,False,40.609443641375535,43.42897033788505,84.03841397926058,1.4097633482547565,94.59667271505103,0.1,104.05633998655614,142.5,105.97852298722833,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,12,0.21666666666666665,w-tau,none,0.05,2.5,17,7.5,100.0,104.08442921383015,142.5,True,0.05,106.00520775313863,103.05037024714233,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,94,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.4646870524810047,-208.0906111131302,False,40.55385012217241,43.48456385708816,84.03841397926058,1.4653568674578743,94.62220837620922,0.1,104.08442921383015,142.5,106.00520775313863,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,18,0.31666666666666665,w-tau,none,0.05,2.5,17,7.5,100.0,104.10885898360533,142.5,True,0.05,106.02841603442506,103.06781444096154,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,94,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.512970236242673,-199.58851052565635,False,40.50554485806289,43.53286912119769,84.03841397926058,1.5136621315674006,94.64441725782302,0.1,104.10885898360533,142.5,106.02841603442506,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,24,0.41666666666666663,w-tau,none,0.05,2.5,17,7.5,100.0,104.13119977037947,142.5,True,0.05,106.04963978186049,103.08866803092371,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,94,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.5570877890311259,-190.31866056563157,False,40.461407129908274,43.577006849352315,84.03841397926058,1.5577998597220208,94.66472706398133,0.1,104.13119977037947,142.5,106.04963978186049,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,30,0.5166666666666666,w-tau,none,0.05,2.5,17,7.5,100.0,104.16579669299733,142.5,True,0.05,106.08250685834747,103.07422796350514,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,94,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.6253387910568955,-181.48195731270405,False,40.39312491606612,43.64528906319447,84.03841397926058,1.6260820735641737,94.69617881181576,0.1,104.16579669299733,142.5,106.08250685834747,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,36,0.6166666666666669,w-tau,none,0.05,2.5,17,7.5,100.0,104.1988276919456,142.5,True,0.05,106.11388630734831,103.0633052754273,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,94,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.690422239914758,-172.89124605212714,False,40.32801170394332,43.710402275317264,84.03841397926058,1.6911952856869732,94.7262069926778,0.1,104.1988276919456,142.5,106.11388630734831,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,42,0.7166666666666672,w-tau,none,0.05,2.5,17,7.5,100.0,104.21263368745394,142.5,True,0.05,106.12700200308124,103.06943645448172,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,94,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.7176026200690448,-164.50706108159798,False,40.300818893949035,43.73759508531155,84.03841397926058,1.7183880956812558,94.7387578976854,0.1,104.21263368745394,142.5,106.12700200308124,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,48,0.8166666666666675,w-tau,none,0.05,2.5,17,7.5,100.0,104.20943544673828,142.5,True,0.05,106.12396367440137,103.06801639751504,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,94,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.7113073075602405,-156.96619686061356,False,40.307117085362655,43.73129689389793,84.03841397926058,1.7120899042676356,94.7358504061257,0.1,104.20943544673828,142.5,106.12396367440137,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,54,0.9166666666666679,w-tau,none,0.05,2.5,17,7.5,100.0,104.20866763999425,142.5,True,0.05,106.12323425799454,103.06767545822055,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,94,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.7097958756559746,-150.67871089160275,False,40.308629208458754,43.72978477080183,84.03841397926058,1.710577781171537,94.73515239999476,0.1,104.20866763999425,142.5,106.12323425799454,True,False,CURRENT_LOCAL_LIDAR
