map_case,frame,timestamp,noise_model,frozen55_threshold,w_tau_lower_bound,w_tau_upper_bound,w_tau_selected_threshold,threshold_interval_valid,frozen55_opening_count,w_tau_opening_count,frozen55_junction_detected,w_tau_junction_detected,active_threshold_mode,active_opening_count,active_junction_detected,current_junction_evidence,junction_confirmed,confirmation_frame,anchor_fixed
M1_PRE_CORRIDOR_55PCT,0,0.016666666666666666,truncated-gaussian,103.25598150277645,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,6,0.11666666666666665,truncated-gaussian,103.04011288506885,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,12,0.21666666666666665,truncated-gaussian,103.21353778663564,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,18,0.31666666666666665,truncated-gaussian,103.0098567295884,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,24,0.41666666666666663,truncated-gaussian,103.08872707510315,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,30,0.5166666666666666,truncated-gaussian,103.16395807257291,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,36,0.6166666666666669,truncated-gaussian,102.9658980918305,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,42,0.7166666666666672,truncated-gaussian,102.89933378891001,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,48,0.8166666666666675,truncated-gaussian,103.38647527343815,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,54,0.9166666666666679,truncated-gaussian,103.30307050114033,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,60,1.016666666666668,truncated-gaussian,103.10578455567611,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,66,1.1166666666666676,truncated-gaussian,103.60971797053458,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,72,1.2166666666666672,truncated-gaussian,102.9354193963236,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,78,1.3166666666666669,truncated-gaussian,103.33606952691595,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,84,1.4166666666666665,truncated-gaussian,103.45758132394603,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,90,1.5166666666666662,truncated-gaussian,103.07447097075581,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,96,1.6166666666666658,truncated-gaussian,102.995251265062,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,102,1.7166666666666655,truncated-gaussian,103.26442244986458,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,108,1.816666666666665,truncated-gaussian,103.16971584634543,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,114,1.9166666666666647,truncated-gaussian,102.81555570194615,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,120,2.0166666666666644,truncated-gaussian,102.92835172501711,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,126,2.116666666666664,truncated-gaussian,103.05476759886022,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,132,2.2166666666666637,truncated-gaussian,103.14435404850066,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,138,2.3166666666666633,truncated-gaussian,102.80596190160131,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,144,2.416666666666663,truncated-gaussian,103.15695237800259,107.5,142.5,125.0,True,2,2,False,False,w-tau,2,False,False,False,,False
M1_PRE_CORRIDOR_55PCT,150,2.5166666666666626,truncated-gaussian,103.39763520345139,107.5,142.5,125.0,True,2,3,False,True,w-tau,3,True,True,True,150,True
M1_PRE_CORRIDOR_55PCT,156,2.6166666666666623,truncated-gaussian,103.07134635753587,107.5,142.5,125.0,True,2,3,False,True,w-tau,3,True,True,True,150,True
M1_PRE_CORRIDOR_55PCT,162,2.716666666666662,truncated-gaussian,103.09120257579676,107.5,142.5,125.0,True,2,3,False,True,w-tau,3,True,True,True,150,True
M1_PRE_CORRIDOR_55PCT,168,2.8166666666666615,truncated-gaussian,103.10367757907244,107.5,142.5,125.0,True,2,3,False,True,w-tau,3,True,True,True,150,True
M1_PRE_CORRIDOR_55PCT,174,2.916666666666661,truncated-gaussian,102.87501918785519,107.5,142.5,125.0,True,2,4,False,True,w-tau,4,True,True,True,150,True
