case,noise,detector,alpha,threshold,first_detection_frame,first_detection_time,max_opening_count,junction_detected,M0_false_positive,anchor_mode
M1_PRE_CORRIDOR_55PCT,truncated-gaussian,W_TAU_SAFE_INTERVAL,0.05,109.25,,,2,False,False,CLOSED_LOOP_SHARED_TRAJECTORY_DIAGNOSTIC
M1_PRE_CORRIDOR_55PCT,truncated-gaussian,W_TAU_SAFE_INTERVAL,0.1,111.0,,,2,False,False,CLOSED_LOOP_SHARED_TRAJECTORY_DIAGNOSTIC
M1_PRE_CORRIDOR_55PCT,truncated-gaussian,W_TAU_SAFE_INTERVAL,0.15,112.75,,,2,False,False,CLOSED_LOOP_SHARED_TRAJECTORY_DIAGNOSTIC
M1_PRE_CORRIDOR_55PCT,truncated-gaussian,W_TAU_SAFE_INTERVAL,0.2,114.5,,,2,False,False,CLOSED_LOOP_SHARED_TRAJECTORY_DIAGNOSTIC
M1_PRE_CORRIDOR_55PCT,truncated-gaussian,W_TAU_SAFE_INTERVAL,0.25,116.25,,,2,False,False,CLOSED_LOOP_SHARED_TRAJECTORY_DIAGNOSTIC
M1_PRE_CORRIDOR_55PCT,truncated-gaussian,W_TAU_SAFE_INTERVAL,0.3,118.0,,,2,False,False,CLOSED_LOOP_SHARED_TRAJECTORY_DIAGNOSTIC
M1_PRE_CORRIDOR_55PCT,truncated-gaussian,W_TAU_SAFE_INTERVAL,0.35,119.75,,,2,False,False,CLOSED_LOOP_SHARED_TRAJECTORY_DIAGNOSTIC
M1_PRE_CORRIDOR_55PCT,truncated-gaussian,W_TAU_SAFE_INTERVAL,0.4,121.5,,,2,False,False,CLOSED_LOOP_SHARED_TRAJECTORY_DIAGNOSTIC
M1_PRE_CORRIDOR_55PCT,truncated-gaussian,W_TAU_SAFE_INTERVAL,0.45,123.25,,,2,False,False,CLOSED_LOOP_SHARED_TRAJECTORY_DIAGNOSTIC
M1_PRE_CORRIDOR_55PCT,truncated-gaussian,W_TAU_SAFE_INTERVAL,0.5,125.0,150,2.5166666666666626,4,True,False,CLOSED_LOOP_SHARED_TRAJECTORY_DIAGNOSTIC
M1_PRE_CORRIDOR_55PCT,truncated-gaussian,W_TAU_SAFE_INTERVAL,0.55,126.75,150,2.5166666666666626,4,True,False,CLOSED_LOOP_SHARED_TRAJECTORY_DIAGNOSTIC
M1_PRE_CORRIDOR_55PCT,truncated-gaussian,W_TAU_SAFE_INTERVAL,0.6,128.5,150,2.5166666666666626,4,True,False,CLOSED_LOOP_SHARED_TRAJECTORY_DIAGNOSTIC
M1_PRE_CORRIDOR_55PCT,truncated-gaussian,W_TAU_SAFE_INTERVAL,0.65,130.25,144,2.416666666666663,4,True,False,CLOSED_LOOP_SHARED_TRAJECTORY_DIAGNOSTIC
M1_PRE_CORRIDOR_55PCT,truncated-gaussian,W_TAU_SAFE_INTERVAL,0.7,132.0,144,2.416666666666663,4,True,False,CLOSED_LOOP_SHARED_TRAJECTORY_DIAGNOSTIC
M1_PRE_CORRIDOR_55PCT,truncated-gaussian,W_TAU_SAFE_INTERVAL,0.75,133.75,138,2.3166666666666633,4,True,False,CLOSED_LOOP_SHARED_TRAJECTORY_DIAGNOSTIC
M1_PRE_CORRIDOR_55PCT,truncated-gaussian,W_TAU_SAFE_INTERVAL,0.8,135.5,138,2.3166666666666633,4,True,False,CLOSED_LOOP_SHARED_TRAJECTORY_DIAGNOSTIC
M1_PRE_CORRIDOR_55PCT,truncated-gaussian,W_TAU_SAFE_INTERVAL,0.85,137.25,138,2.3166666666666633,4,True,False,CLOSED_LOOP_SHARED_TRAJECTORY_DIAGNOSTIC
M1_PRE_CORRIDOR_55PCT,truncated-gaussian,W_TAU_SAFE_INTERVAL,0.9,139.0,132,2.2166666666666637,4,True,False,CLOSED_LOOP_SHARED_TRAJECTORY_DIAGNOSTIC
M1_PRE_CORRIDOR_55PCT,truncated-gaussian,W_TAU_SAFE_INTERVAL,0.95,140.75,132,2.2166666666666637,4,True,False,CLOSED_LOOP_SHARED_TRAJECTORY_DIAGNOSTIC
M1_PRE_CORRIDOR_55PCT,truncated-gaussian,FROZEN_55PCT,,103.25598150277645,,,2,False,False,CLOSED_LOOP_ANCHOR_STOP
