map_case,frame,timestamp,threshold_mode,noise_model,noise_fraction,noise_sigma,noise_seed,tau,worst_wall_range,w_tau_lower_bound,w_tau_upper_bound,threshold_interval_valid,threshold_alpha,selected_threshold,frozen55_threshold,frozen55_opening_count,frozen55_junction_detected,w_tau_opening_count,w_tau_junction_detected,active_opening_count,active_opening_present,active_junction_detected,current_junction_evidence,junction_confirmed,confirmation_frame,confirmation_time,system_state,state_transition,active_open_support_count,smoothing_window,interval_threshold_count,interval_junction_stable,interval_opening_count_stable,interval_junction_consistency,interval_opening_count_consistency,anchor_stop_on_detect,anchor_fixed,anchor_fix_frame,anchor_fix_time,post_fix_position_drift,post_fix_max_position_drift,post_fix_max_normal_motion,leader_x_eval_only,leader_y_eval_only,runtime_gt_map_used
M1_PRE_CORRIDOR_55PCT,0,0.016666666666666666,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.25598150277645,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,79,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.4001210697211428,-216.11000036445193,False
M1_PRE_CORRIDOR_55PCT,6,0.11666666666666665,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.04011288506885,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,79,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.4091189450888937,-214.19160676275652,False
M1_PRE_CORRIDOR_55PCT,12,0.21666666666666665,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.21353778663564,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,78,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.4646870524810047,-208.0906111131302,False
M1_PRE_CORRIDOR_55PCT,18,0.31666666666666665,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.0098567295884,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,78,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.512970236242673,-199.58851052565635,False
M1_PRE_CORRIDOR_55PCT,24,0.41666666666666663,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.08872707510315,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,78,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.5570877890311259,-190.31866056563157,False
M1_PRE_CORRIDOR_55PCT,30,0.5166666666666666,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.16395807257291,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,78,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.6253387910568955,-181.48195731270405,False
M1_PRE_CORRIDOR_55PCT,36,0.6166666666666669,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,102.9658980918305,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,79,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.690422239914758,-172.89124605212714,False
M1_PRE_CORRIDOR_55PCT,42,0.7166666666666672,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,102.89933378891001,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,81,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.7176026200690448,-164.50706108159798,False
M1_PRE_CORRIDOR_55PCT,48,0.8166666666666675,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.38647527343815,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,82,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.7113073075602405,-156.96619686061356,False
M1_PRE_CORRIDOR_55PCT,54,0.9166666666666679,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.30307050114033,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,83,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.7097958756559746,-150.67871089160275,False
M1_PRE_CORRIDOR_55PCT,60,1.016666666666668,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.10578455567611,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,85,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.7205723848550107,-145.11006101852766,False
M1_PRE_CORRIDOR_55PCT,66,1.1166666666666676,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.60971797053458,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,87,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.7291541566601936,-139.60980082079473,False
M1_PRE_CORRIDOR_55PCT,72,1.2166666666666672,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,102.9354193963236,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,89,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.7339990283488587,-134.03195665760123,False
M1_PRE_CORRIDOR_55PCT,78,1.3166666666666669,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.33606952691595,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,90,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.736463549010176,-128.51673737372934,False
