map_case,frame,timestamp,threshold_mode,noise_model,noise_fraction,noise_sigma,noise_seed,tau,worst_wall_range,w_tau_lower_bound,w_tau_upper_bound,threshold_interval_valid,threshold_alpha,selected_threshold,frozen55_threshold,frozen55_opening_count,frozen55_junction_detected,w_tau_opening_count,w_tau_junction_detected,active_opening_count,active_opening_present,active_junction_detected,active_open_support_count,smoothing_window,leader_x_eval_only,leader_y_eval_only,runtime_gt_map_used
M1_PRE_CORRIDOR_55PCT,0,0.016666666666666666,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.21214292576053,2,False,2,False,2,True,False,78,5,-1.4001210697211428,-216.11000036445193,False
M1_PRE_CORRIDOR_55PCT,6,0.11666666666666665,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.11901380095235,2,False,2,False,2,True,False,79,5,-1.4091189450888937,-214.19160676275652,False
M1_PRE_CORRIDOR_55PCT,12,0.21666666666666665,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.39987742625942,2,False,2,False,2,True,False,78,5,-1.4646870524810047,-208.0906111131302,False
M1_PRE_CORRIDOR_55PCT,18,0.31666666666666665,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.10738492895817,2,False,2,False,2,True,False,80,5,-1.512970236242673,-199.58851052565635,False
M1_PRE_CORRIDOR_55PCT,24,0.41666666666666663,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.13615026868894,2,False,2,False,2,True,False,79,5,-1.5570877890311259,-190.31866056563157,False
M1_PRE_CORRIDOR_55PCT,30,0.5166666666666666,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.28573702199705,2,False,2,False,2,True,False,78,5,-1.6253387910568955,-181.48195731270405,False
M1_PRE_CORRIDOR_55PCT,36,0.6166666666666669,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.66781663691805,2,False,2,False,2,True,False,79,5,-1.690422239914758,-172.89124605212714,False
M1_PRE_CORRIDOR_55PCT,42,0.7166666666666672,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.35174048617304,2,False,2,False,2,True,False,79,5,-1.7176026200690448,-164.50706108159798,False
M1_PRE_CORRIDOR_55PCT,48,0.8166666666666675,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.17328535412977,2,False,2,False,2,True,False,81,5,-1.7113073075602405,-156.96619686061356,False
M1_PRE_CORRIDOR_55PCT,54,0.9166666666666679,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.4825075813883,2,False,2,False,2,True,False,82,5,-1.7097958756559746,-150.67871089160275,False
M1_PRE_CORRIDOR_55PCT,60,1.016666666666668,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.14194504010197,2,False,2,False,2,True,False,84,5,-1.7205723848550107,-145.11006101852766,False
M1_PRE_CORRIDOR_55PCT,66,1.1166666666666676,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.57470242224389,2,False,2,False,2,True,False,86,5,-1.7291541566601936,-139.60980082079473,False
M1_PRE_CORRIDOR_55PCT,72,1.2166666666666672,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,102.85113518581932,2,False,2,False,2,True,False,89,5,-1.7339990283488587,-134.03195665760123,False
M1_PRE_CORRIDOR_55PCT,78,1.3166666666666669,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.17828096952132,2,False,2,False,2,True,False,92,5,-1.736463549010176,-128.51673737372934,False
M1_PRE_CORRIDOR_55PCT,84,1.4166666666666665,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.03284322884296,2,False,2,False,2,True,False,93,5,-1.7376231932924309,-123.31468693477427,False
