metric,value
reason,USER_EXIT
robot_count,220
simulation_time,68.550000
total_robot_distance,366463.980141
normal_distance,365136.456167
relay_distance,309.814587
trunk_relay_distance,75.270068
shepherd_distance,873.777575
anchor_distance,68.661744
disconnected_robot_seconds,107.500000
minimum_pair_distance,0.798378
safety_violations,16730
branch_order,UP > RIGHT > LEFT
branch_selection_event_count,3
branch_selection_1,time=10.450000; selected=UP; cost=-0.025756; max_structural_loss=1; predicted_flow=0.720799; density_disturbance=0.059275; velocity_disturbance=0.325350; wall_risk=0.000000; collision_risk=0.005482; rollout_comm=0.132353; rollout_connected_ratio=1.000000; rollout_margin=16.000000; stabilization=0.192312; lambda_mode=0.000000; rollout_lambda=0.500000; predicted_entry_ratio=0.153846; rollout_robot_count=152; proxy_primary_count=65; proxy_context_count=87; transport=0.068315; proxy_mass=0.000000; proxy_quota=0.265152; proxy_actual_mass=0.287624; proxy_robot_count=65; shape=0.441121; shape_confidence=0.513838; flow_prior=0.000203; congestion=0.110514; relay=0.454545; backtrack=0.500000; switch=0.000000; structural_loss=1; ordering_robot_count=212; regional_robot_count=65
branch_selection_1_UP,cost=-0.025756; predicted_flow=0.720799; density_disturbance=0.059275; velocity_disturbance=0.325350; wall_risk=0.000000; collision_risk=0.005482; rollout_comm=0.132353; rollout_connected_ratio=1.000000; rollout_margin=16.000000; stabilization=0.192312; lambda_mode=0.000000; rollout_lambda=0.500000; predicted_entry_ratio=0.153846; rollout_robot_count=152; proxy_primary_count=65; proxy_context_count=87; transport=0.068315; proxy_mass=0.000000; proxy_quota=0.265152; proxy_actual_mass=0.287624; proxy_robot_count=65; shape=0.441121; shape_confidence=0.513838; flow_prior=0.000203; congestion=0.110514; relay=0.454545; backtrack=0.500000; switch=0.000000; structural_loss=1; ordering_robot_count=212; regional_robot_count=65
